id,appeal,jam,flavor,effect
1,4,0,A highly appealing move.,Gives a high number of appeal points wth no other effects.
2,3,0,Affected by how well the appeal in front goes.,"If the Pokemon that appealed before the user earned less than three appeal points, user earns six; if three, user earns three; if more than three, user earns none."
3,6,0,"After this move, the user is more easily startled.","If the user is jammed this turn after using this move, it will receive twice as many jam points."
4,1,4,Badly startles the Pokemon in front.,Attempts to jam the Pokemon that appealed before the user.
5,1,3,Badly startles those that have made appeals.,Attempts to jam all Pokemon that have appealed this turn.
6,4,4,"Jams the others, and misses one turn of appeals.","Attempts to jam the other Pokemon.  The user cannot make an appeal on the next turn, but it cannot be jammed either."
7,8,0,"Makes a great appeal, but allows no more to the end.",User cannot make any more appeals for the remainder of the contest.
8,2,2,Startles all Pokemon that have done their appeals.,Attempts to jam all Pokemon that have appealed this turn.
9,2,3,Startles the Pokemon that appealed before the user.,Attempts to jam the Pokemon that appealed before the user.
10,2,1,Startles the Pokemon that has the judge's attention.,"Attempts to jam all Pokemon that have appealed this turn.  If a Pokemon is in combo standby status, it is jammed 5 points instead of 1."
11,1,0,The appeal works best the more the crowd is excited.,"If the Applause meter is empty or at one, earns one point; if two, earns three points; if three, earns four points; if four, earns six points."
12,2,0,Works well if it's the same type as the one before.,"If the last Pokemon's appeal is the same type as this move, user earns six points instead of two."
13,1,0,An appeal that excites the audience in any contest.,"Always adds a point to the applause meter, regardless of whether the move matches the contest, and can likewise gain the applause bonus."
14,2,1,Badly startles all Pokemon that made good appeals.,Attempts to jam all Pokemon that have appealed this turn for half their appeal points (minimum 1).
15,1,0,Can avoid being startled by others.,Prevents jamming for the rest of this turn.
16,2,0,Can avoid being startled by others once.,Prevents the next jam on this turn.
17,3,0,Can be repeatedly used without boring the judge.,Repeated use does not incur a penalty.
18,2,0,Makes all Pokemon after the user nervous.,Attempts to make all following Pokemon nervous (and thus unable to appeal).
19,1,0,Makes the appeal as good as the one before it.,User earns appeal points equal to the points the previous Pokemon earned plus one.
20,1,0,Makes the appeal as good as those before it.,User earns appeal points equal to half the points ALL the previous Pokemon earned plus one.
21,3,0,Scrambles up the order of appeals on the next turn.,Shuffles the next turn's turn order.
22,3,0,Shifts the judge's attention from others.,Cancels combo standby status for all Pokemon that have appealed this turn.
23,2,1,Startles Pokemon that made a same-type appeal.,"Attempts to jam all Pokemon that have appealed this turn.  If a Pokemon used the same type move as this one, it is jammed for 4 points instead of 1."
24,3,0,Temporarily stops the crowd from getting excited.,Prevents the Applause Meter from rising for the rest of the turn.
25,1,0,The appeal's quality depends on its timing.,"Randomly earns one, two, four, or eight points."
26,1,0,The appeal works better the later it is performed.,"If user appeals first this turn, earns one point; if second, two points; if third, four points; if last, six points."
27,2,0,The appeal works great if performed first.,"If user appeals first this turn, earns six points instead of two."
28,2,0,The appeal works great if performed last.,"If user appeals last this turn, earns six points instead of two."
29,1,0,The appeal works well if the user's condition is good.,"If user has no stars, earns one point; if one, three points; if two, five points; if three, seven points.  This does not include the appeal point bonus the stars give."
30,3,0,The next appeal can be made earlier next turn.,User will go first next turn.
31,3,0,The next appeal can be made later next turn.,User will go last next turn.
32,1,0,Ups the user's condition.  Helps prevent nervousness.,User gains one star.
33,3,0,Worsens the condition of those that made appeals.,Removes all stars from all Pokemon that have appealed this turn.
