pokemon_id,egg_group_id
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
29,1
32,1
33,1
34,1
79,1
80,1
104,1
105,1
108,1
111,1
112,1
115,1
131,1
143,1
152,1
153,1
154,1
158,1
159,1
160,1
179,1
180,1
181,1
199,1
246,1
247,1
248,1
252,1
253,1
254,1
258,1
259,1
260,1
293,1
294,1
295,1
304,1
305,1
306,1
357,1
387,1
388,1
389,1
408,1
409,1
410,1
411,1
443,1
444,1
445,1
459,1
460,1
463,1
464,1
7,2
8,2
9,2
54,2
55,2
60,2
61,2
62,2
79,2
80,2
86,2
87,2
116,2
117,2
131,2
138,2
139,2
140,2
141,2
147,2
148,2
149,2
158,2
159,2
160,2
183,2
184,2
186,2
194,2
195,2
199,2
222,2
223,2
224,2
225,2
226,2
230,2
258,2
259,2
260,2
270,2
271,2
272,2
278,2
279,2
283,2
284,2
341,2
342,2
349,2
350,2
363,2
364,2
365,2
366,2
367,2
368,2
369,2
393,2
394,2
395,2
399,2
400,2
418,2
419,2
422,2
423,2
489,2
490,2
10,3
11,3
12,3
13,3
14,3
15,3
46,3
47,3
48,3
49,3
123,3
127,3
165,3
166,3
167,3
168,3
193,3
204,3
205,3
207,3
212,3
213,3
214,3
265,3
266,3
267,3
268,3
269,3
283,3
284,3
290,3
291,3
313,3
314,3
328,3
329,3
330,3
401,3
402,3
412,3
413,3
414,3
415,3
416,3
451,3
452,3
469,3
472,3
499,3
500,3
16,4
17,4
18,4
21,4
22,4
41,4
42,4
83,4
84,4
85,4
142,4
163,4
164,4
169,4
176,4
177,4
178,4
198,4
227,4
276,4
277,4
278,4
279,4
333,4
334,4
396,4
397,4
398,4
430,4
441,4
468,4
19,5
20,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
32,5
33,5
34,5
37,5
38,5
50,5
51,5
52,5
53,5
54,5
55,5
56,5
57,5
58,5
59,5
77,5
78,5
83,5
86,5
87,5
111,5
112,5
128,5
133,5
134,5
135,5
136,5
155,5
156,5
157,5
161,5
162,5
179,5
180,5
181,5
190,5
194,5
195,5
196,5
197,5
203,5
206,5
209,5
210,5
215,5
216,5
217,5
220,5
221,5
225,5
228,5
229,5
231,5
232,5
234,5
235,5
241,5
255,5
256,5
257,5
261,5
262,5
263,5
264,5
273,5
274,5
275,5
287,5
288,5
289,5
293,5
294,5
295,5
300,5
301,5
303,5
309,5
310,5
320,5
321,5
322,5
323,5
324,5
325,5
326,5
327,5
335,5
336,5
352,5
359,5
363,5
364,5
365,5
390,5
391,5
392,5
393,5
394,5
395,5
399,5
400,5
403,5
404,5
405,5
417,5
418,5
419,5
424,5
427,5
428,5
431,5
432,5
434,5
435,5
448,5
449,5
450,5
461,5
464,5
470,5
471,5
473,5
25,6
26,6
35,6
36,6
39,6
40,6
113,6
176,6
183,6
184,6
187,6
188,6
189,6
209,6
210,6
242,6
285,6
286,6
300,6
301,6
303,6
311,6
312,6
315,6
351,6
361,6
362,6
407,6
417,6
420,6
421,6
468,6
478,6
489,6
490,6
1,7
2,7
3,7
43,7
44,7
45,7
46,7
47,7
69,7
70,7
71,7
102,7
103,7
114,7
152,7
153,7
154,7
182,7
187,7
188,7
189,7
191,7
192,7
270,7
271,7
272,7
273,7
274,7
275,7
285,7
286,7
315,7
331,7
332,7
357,7
387,7
388,7
389,7
407,7
420,7
421,7
455,7
459,7
460,7
465,7
63,8
64,8
65,8
66,8
67,8
68,8
96,8
97,8
106,8
107,8
122,8
124,8
125,8
126,8
237,8
296,8
297,8
302,8
307,8
308,8
313,8
314,8
327,8
331,8
332,8
390,8
391,8
392,8
427,8
428,8
448,8
453,8
454,8
466,8
467,8
72,9
73,9
90,9
91,9
98,9
99,9
120,9
121,9
138,9
139,9
140,9
141,9
222,9
341,9
342,9
345,9
346,9
347,9
348,9
451,9
452,9
74,10
75,10
76,10
81,10
82,10
95,10
100,10
101,10
137,10
185,10
208,10
233,10
292,10
299,10
337,10
338,10
343,10
344,10
361,10
362,10
374,10
375,10
376,10
436,10
437,10
462,10
474,10
476,10
478,10
88,11
89,11
92,11
93,11
94,11
109,11
110,11
200,11
202,11
218,11
219,11
280,11
281,11
282,11
316,11
317,11
351,11
353,11
354,11
355,11
356,11
358,11
422,11
423,11
425,11
426,11
429,11
442,11
475,11
477,11
479,11
118,12
119,12
129,12
130,12
170,12
171,12
211,12
223,12
224,12
318,12
319,12
320,12
321,12
339,12
340,12
369,12
370,12
456,12
457,12
132,13
4,14
5,14
6,14
23,14
24,14
116,14
117,14
129,14
130,14
147,14
148,14
149,14
230,14
252,14
253,14
254,14
333,14
334,14
336,14
349,14
350,14
371,14
372,14
373,14
443,14
444,14
445,14
30,15
31,15
144,15
145,15
146,15
150,15
151,15
172,15
173,15
174,15
175,15
201,15
236,15
238,15
239,15
240,15
243,15
244,15
245,15
249,15
250,15
251,15
298,15
360,15
377,15
378,15
379,15
380,15
381,15
382,15
383,15
384,15
385,15
386,15
406,15
433,15
438,15
439,15
440,15
446,15
447,15
458,15
480,15
481,15
482,15
483,15
484,15
485,15
486,15
487,15
488,15
491,15
492,15
493,15
494,15
495,15
496,15
497,15
498,15
