id,name,forme_name,forme_base_pokemon_id,evolution_chain_id,evolution_parent_pokemon_id,evolution_method_id,evolution_parameter,height,weight,species,color,habitat,gender_rate,capture_rate,base_experience,base_happiness,gen1_internal_id,is_baby,has_dp_fem_sprite,has_dp_fem_back_sprite
1,Bulbasaur,,,1,,,,7,69,Seed,green,grassland,1,45,64,70,153,0,0,0
2,Ivysaur,,,1,1,1,16,10,130,Seed,green,grassland,1,45,141,70,9,0,0,0
3,Venusaur,,,1,2,1,32,20,1000,Seed,green,grassland,1,45,208,70,154,0,0,0
4,Charmander,,,2,,,,6,85,Lizard,red,mountain,1,45,65,70,176,0,0,0
5,Charmeleon,,,2,4,1,16,11,190,Flame,red,mountain,1,45,142,70,178,0,0,0
6,Charizard,,,2,5,1,36,17,905,Flame,red,mountain,1,45,209,70,180,0,0,0
7,Squirtle,,,3,,,,5,90,Tiny Turtle,blue,water's edge,1,45,66,70,177,0,0,0
8,Wartortle,,,3,7,1,16,10,225,Turtle,blue,water's edge,1,45,143,70,179,0,0,0
9,Blastoise,,,3,8,1,36,16,855,Shellfish,blue,water's edge,1,45,210,70,28,0,0,0
10,Caterpie,,,4,,,,3,29,Worm,green,forest,4,255,53,70,123,0,0,0
11,Metapod,,,4,10,1,7,7,99,Cocoon,green,forest,4,120,72,70,124,0,0,0
12,Butterfree,,,4,11,1,10,11,320,Butterfly,white,forest,4,45,160,70,125,0,0,0
13,Weedle,,,5,,,,3,32,Hairy Bug,brown,forest,4,255,52,70,112,0,0,0
14,Kakuna,,,5,13,1,7,6,100,Cocoon,yellow,forest,4,120,71,70,113,0,0,0
15,Beedrill,,,5,14,1,10,10,295,Poison Bee,yellow,forest,4,45,159,70,114,0,0,0
16,Pidgey,,,6,,,,3,18,Tiny Bird,brown,forest,4,255,55,70,36,0,0,0
17,Pidgeotto,,,6,16,1,18,11,300,Bird,brown,forest,4,120,113,70,150,0,0,0
18,Pidgeot,,,6,17,1,36,15,395,Bird,brown,forest,4,45,172,70,151,0,0,0
19,Rattata,,,7,,,,3,35,Mouse,purple,grassland,4,255,57,70,165,0,0,0
20,Raticate,,,7,19,1,20,7,185,Mouse,brown,grassland,4,127,116,70,166,0,0,0
21,Spearow,,,8,,,,3,20,Tiny Bird,brown,rough terrain,4,255,58,70,5,0,0,0
