damage_type_id,target_type_id,damage_factor
7,7,100
17,7,100
16,7,100
13,7,100
2,7,50
10,7,200
3,7,200
8,7,100
12,7,50
5,7,50
15,7,100
1,7,100
4,7,100
14,7,100
6,7,200
9,7,100
11,7,100
7,17,200
17,17,50
16,17,100
13,17,100
2,17,200
10,17,100
3,17,100
8,17,50
12,17,100
5,17,100
15,17,100
1,17,100
4,17,100
14,17,0
6,17,100
9,17,100
11,17,100
7,16,100
17,16,100
16,16,200
13,16,50
2,16,100
10,16,50
3,16,100
8,16,100
12,16,50
5,16,100
15,16,200
1,16,100
4,16,100
14,16,100
6,16,100
9,16,100
11,16,50
7,13,100
17,13,100
16,13,100
13,13,50
2,13,100
10,13,100
3,13,50
8,13,100
12,13,100
5,13,200
15,13,100
1,13,100
4,13,100
14,13,100
6,13,100
9,13,50
11,13,100
7,2,50
17,2,50
16,2,100
13,2,100
2,2,100
10,2,100
3,2,200
8,2,100
12,2,100
5,2,100
15,2,100
1,2,100
4,2,100
14,2,200
6,2,50
9,2,100
11,2,100
7,10,50
17,10,100
16,10,100
13,10,100
2,10,100
10,10,50
3,10,100
8,10,100
12,10,50
5,10,200
15,10,50
1,10,100
4,10,100
14,10,100
6,10,200
9,10,50
11,10,200
7,3,50
17,3,100
16,3,100
13,3,200
2,3,50
10,3,100
3,3,100
8,3,100
12,3,50
5,3,0
15,3,200
1,3,100
4,3,100
14,3,100
6,3,200
9,3,100
11,3,100
7,8,50
17,8,200
16,8,100
13,8,100
2,8,0
10,8,100
3,8,100
8,8,200
12,8,100
5,8,100
15,8,100
1,8,0
4,8,50
14,8,100
6,8,100
9,8,100
11,8,100
7,12,200
17,12,100
16,12,100
13,12,50
2,12,100
10,12,200
3,12,200
8,12,100
12,12,50
5,12,50
15,12,200
1,12,100
4,12,200
14,12,100
6,12,100
9,12,100
11,12,50
7,5,100
17,5,100
16,5,100
13,5,0
2,5,100
10,5,100
3,5,100
8,5,100
12,5,200
5,5,100
15,5,200
1,5,100
4,5,50
14,5,100
6,5,50
9,5,100
11,5,200
7,15,100
17,15,100
16,15,100
13,15,100
2,15,200
10,15,200
3,15,100
8,15,100
12,15,100
5,15,100
15,15,50
1,15,100
4,15,100
14,15,100
6,15,200
9,15,200
11,15,100
7,1,100
17,1,100
16,1,100
13,1,100
2,1,200
10,1,100
3,1,100
8,1,0
12,1,100
5,1,100
15,1,100
1,1,100
4,1,100
14,1,100
6,1,100
9,1,100
11,1,100
7,4,50
17,4,100
16,4,100
13,4,100
2,4,50
10,4,100
3,4,100
8,4,100
12,4,50
5,4,200
15,4,100
1,4,100
4,4,50
14,4,200
6,4,100
9,4,100
11,4,100
7,14,200
17,14,200
16,14,100
13,14,100
2,14,50
10,14,100
3,14,100
8,14,200
12,14,100
5,14,100
15,14,100
1,14,100
4,14,100
14,14,50
6,14,100
9,14,100
11,14,100
7,6,100
17,6,100
16,6,100
13,6,100
2,6,200
10,6,50
3,6,50
8,6,100
12,6,200
5,6,200
15,6,100
1,6,50
4,6,50
14,6,100
6,6,100
9,6,200
11,6,200
7,9,50
17,9,50
16,9,50
13,9,100
2,9,200
10,9,200
3,9,50
8,9,50
12,9,50
5,9,200
15,9,50
1,9,50
4,9,0
14,9,50
6,9,50
9,9,50
11,9,100
7,11,100
17,11,100
16,11,100
13,11,200
2,11,100
10,11,50
3,11,100
8,11,100
12,11,200
5,11,100
15,11,50
1,11,100
4,11,100
14,11,100
6,11,100
9,11,50
11,11,50
