ability_id,version_group_id,language_id,flavor_text
1,5,9,Helps repel wild POKéMON.
1,6,9,Helps repel wild POKéMON.
1,7,9,Helps repel wild POKéMON.
1,8,9,"The stench helps keep
wild Pokémon away."
1,9,9,"The stench helps keep
wild Pokémon away."
1,10,9,"The stench helps keep
wild Pokémon away."
1,11,5,"La puanteur peut
effrayer l’adversaire."
1,11,9,"The stench may cause
the target to flinch."
1,14,9,"The stench may cause
the target to flinch."
2,5,9,Summons rain in battle.
2,6,9,Summons rain in battle.
2,7,9,Summons rain in battle.
2,8,9,"The Pokémon makes it rain
if it appears in battle."
2,9,9,"The Pokémon makes it rain
if it appears in battle."
2,10,9,"The Pokémon makes it rain
if it appears in battle."
2,11,5,"Le Pokémon invoque la pluie
quand il entre au combat."
2,11,9,"The Pokémon makes it rain
if it appears in battle."
2,14,9,"The Pokémon makes it rain
if it appears in battle."
3,5,9,Gradually boosts SPEED.
3,6,9,Gradually boosts SPEED.
3,7,9,Gradually boosts SPEED.
3,8,9,"The Pokémon’s Speed stat
is gradually boosted."
3,9,9,"The Pokémon’s Speed stat
is gradually boosted."
3,10,9,"Its Speed stat is
gradually boosted."
3,11,5,"La Vitesse du Pokémon
augmente progressivement."
3,11,9,"Its Speed stat is
gradually boosted."
3,14,9,"Its Speed stat is
gradually boosted."
4,5,9,Blocks critical hits.
4,6,9,Blocks critical hits.
4,7,9,Blocks critical hits.
4,8,9,"The Pokémon is protected
against critical hits."
4,9,9,"The Pokémon is protected
against critical hits."
4,10,9,"The Pokémon is protected
against critical hits."
4,11,5,"Le Pokémon est protégé
des coups critiques."
4,11,9,"The Pokémon is protected
against critical hits."
4,14,9,"The Pokémon is protected
against critical hits."
5,5,9,Negates 1-hit KO attacks.
5,6,9,Negates 1-hit KO attacks.
5,7,9,Negates 1-hit KO attacks.
5,8,9,"The Pokémon is protected
against 1-hit KO attacks."
5,9,9,"The Pokémon is protected
against 1-hit KO attacks."
5,10,9,"It is protected against
1-hit KO attacks."
5,11,5,"Protège des capacités
mettant K.O. en un coup."
5,11,9,"It cannot be knocked
out with one hit."
5,14,9,"It cannot be knocked
out with one hit."
6,5,9,Prevents self-destruction.
6,6,9,Prevents self-destruction.
6,7,9,Prevents self-destruction.
6,8,9,"Prevents combatants from
self destructing."
6,9,9,"Prevents combatants from
self destructing."
6,10,9,"Prevents combatants
from self-destructing."
6,11,5,"Empêche les combattants
de s’autodétruire."
6,11,9,"Prevents the use of
self-destructing moves."
6,14,9,"Prevents the use of
self-destructing moves."
7,5,9,Prevents paralysis.
7,6,9,Prevents paralysis.
7,7,9,Prevents paralysis.
7,8,9,"The Pokémon is protected
from paralysis."
7,9,9,"The Pokémon is protected
from paralysis."
7,10,9,"The Pokémon is protected
from paralysis."
7,11,5,"Protège le Pokémon de
la paralysie."
7,11,9,"The Pokémon is protected
from paralysis."
7,14,9,"The Pokémon is protected
from paralysis."
8,5,9,Ups evasion in a sandstorm.
8,6,9,Ups evasion in a sandstorm.
8,7,9,Ups evasion in a sandstorm.
8,8,9,"Boosts the Pokémon’s
evasion in a sandstorm."
8,9,9,"Boosts the Pokémon’s
evasion in a sandstorm."
8,10,9,"Boosts the Pokémon’s
evasion in a sandstorm."
8,11,5,"Augmente l’Esquive lors
des tempêtes de sable."
8,11,9,"Boosts the Pokémon’s
evasion in a sandstorm."
8,14,9,"Boosts the Pokémon’s
evasion in a sandstorm."
9,5,9,Paralyzes on contact.
9,6,9,Paralyzes on contact.
9,7,9,Paralyzes on contact.
9,8,9,"Contact with the Pokémon
may cause paralysis."
9,9,9,"Contact with the Pokémon
may cause paralysis."
9,10,9,"Contact with the Pokémon
may cause paralysis."
9,11,5,"Un contact avec le
Pokémon peut paralyser."
9,11,9,"Contact with the Pokémon
may cause paralysis."
9,14,9,"Contact with the Pokémon
may cause paralysis."
10,5,9,Turns electricity into HP.
10,6,9,Turns electricity into HP.
10,7,9,Turns electricity into HP.
10,8,9,"Restores HP if hit by an
Electric-type move."
10,9,9,"Restores HP if hit by an
Electric-type move."
10,10,9,"Restores HP if hit by an
Electric-type move."
10,11,5,"Récupère des PV si touché
par une capacité Électrik."
10,11,9,"Restores HP if hit by an
Electric-type move."
10,14,9,"Restores HP if hit by an
Electric-type move."
11,5,9,Changes water into HP.
11,6,9,Changes water into HP.
11,7,9,Changes water into HP.
11,8,9,"Restores HP if hit by a
Water-type move."
11,9,9,"Restores HP if hit by a
Water-type move."
11,10,9,"Restores HP if hit by a
Water-type move."
11,11,5,"Récupère des PV si touché
par une capacité Eau."
11,11,9,"Restores HP if hit by a
Water-type move."
11,14,9,"Restores HP if hit by a
Water-type move."
12,5,9,Prevents attraction.
12,6,9,Prevents attraction.
12,7,9,Prevents attraction.
12,8,9,"Prevents the Pokémon
from becoming infatuated."
12,9,9,"Prevents the Pokémon
from becoming infatuated."
12,10,9,"Prevents it from
becoming infatuated."
12,11,5,"Empêche le Pokémon de
tomber amoureux."
12,11,9,"Prevents it from
becoming infatuated."
12,14,9,"Prevents it from
becoming infatuated."
13,5,9,Negates weather effects.
13,6,9,Negates weather effects.
13,7,9,Negates weather effects.
13,8,9,"Eliminates the effects of
weather."
13,9,9,"Eliminates the effects of
weather."
13,10,9,"Eliminates the effects of
weather."
13,11,5,"Annule les effets du
climat."
13,11,9,"Eliminates the effects of
weather."
13,14,9,"Eliminates the effects of
weather."
14,5,9,Raises accuracy.
14,6,9,Raises accuracy.
14,7,9,Raises accuracy.
14,8,9,"The Pokémon’s accuracy is
boosted."
14,9,9,"The Pokémon’s accuracy is
boosted."
14,10,9,"The Pokémon’s accuracy
is boosted."
14,11,5,"Augmente la Précision du
Pokémon."
14,11,9,"The Pokémon’s accuracy
is boosted."
14,14,9,"The Pokémon’s accuracy
is boosted."
15,5,9,Prevents sleep.
15,6,9,Prevents sleep.
15,7,9,Prevents sleep.
15,8,9,"Prevents the Pokémon
from falling asleep."
15,9,9,"Prevents the Pokémon
from falling asleep."
15,10,9,"Prevents the Pokémon
from falling asleep."
15,11,5,"Empêche le Pokémon de
s’endormir."
