ability_id,language_id,name
1,1,あくしゅう
1,5,Puanteur
1,6,Duftnote
1,7,Hedor
1,8,Tanfo
2,1,あめふらし
2,5,Crachin
2,6,Niesel
2,7,Llovizna
2,8,Piovischio
3,1,かそく
3,5,Turbo
3,6,Temposchub
3,7,Impulso
3,8,Acceleratore
4,1,カブトアーマー
4,5,Armurbaston
4,6,Kampfpanzer
4,7,Armad. Bat.
4,8,Lottascudo
5,1,がんじょう
5,5,Fermeté
5,6,Robustheit
5,7,Robustez
5,8,Vigore
6,1,しめりけ
6,5,Moiteur
6,6,Feuchtigkeit
6,7,Humedad
6,8,Umidità
7,1,じゅうなん
7,5,Échauffement
7,6,Flexibilität
7,7,Flexibilidad
7,8,Scioltezza
8,1,すながくれ
8,5,Voile Sable
8,6,Sandschleier
8,7,Velo Arena
8,8,Sabbiavelo
9,1,せいでんき
9,5,Statik
9,6,Statik
9,7,Elec. Estát.
9,8,Statico
10,1,ちくでん
10,5,Absorb Volt
10,6,Voltabsorber
10,7,Absor. Elec.
10,8,Assorbivolt
11,1,ちょすい
11,5,Absorb Eau
11,6,H2O-Absorber
11,7,Absor. Agua
11,8,Assorbacqua
12,1,どんかん
12,5,Benêt
12,6,Dösigkeit
12,7,Despiste
12,8,Indifferenza
13,1,ノーてんき
13,5,Ciel Gris
13,6,Wolke Sieben
13,7,Aclimatación
13,8,Antimeteo
14,1,ふくがん
14,5,Œil Composé
14,6,Facettenauge
14,7,Ojocompuesto
14,8,Insettocchi
15,1,ふみん
15,5,Insomnia
15,6,Insomnia
15,7,Insomnio
15,8,Insonnia
16,1,へんしょく
16,5,Déguisement
16,6,Farbwechsel
16,7,Cambio Color
16,8,Cambiacolore
17,1,めんえき
17,5,Vaccin
17,6,Immunität
17,7,Inmunidad
17,8,Immunità
18,1,もらいび
18,5,Torche
18,6,Feuerfänger
18,7,Absor. Fuego
18,8,Fuocardore
19,1,りんぷん
19,5,Écran Poudre
19,6,Puderabwehr
19,7,Polvo Escudo
19,8,Polvoscudo
20,1,マイペース
20,5,Tempo Perso
20,6,Tempomacher
20,7,Ritmo Propio
20,8,Mente Locale
21,1,きゅうばん
21,5,Ventouse
21,6,Saugnapf
21,7,Ventosas
21,8,Ventose
22,1,いかく
22,5,Intimidation
22,6,Bedroher
22,7,Intimidación
22,8,Prepotenza
23,1,かげふみ
23,5,Marque Ombre
23,6,Wegsperre
23,7,Sombratrampa
23,8,Pedinombra
24,1,さめはだ
24,5,Peau Dure
24,6,Rauhaut
24,7,Piel Tosca
24,8,Cartavetro
25,1,ふしぎなまもり
25,5,Garde Mystik
25,6,Wunderwache
25,7,Superguarda
25,8,Magidifesa
26,1,ふゆう
26,5,Lévitation
26,6,Schwebe
26,7,Levitación
26,8,Levitazione
27,1,ほうし
27,5,Pose Spore
27,6,Sporenwirt
27,7,Efec. Espora
27,8,Spargispora
28,1,シンクロ
28,5,Synchro
28,6,Synchro
28,7,Sincronía
28,8,Sincronismo
29,1,クリアボディ
29,5,Corps Sain
29,6,Neutraltorso
29,7,Cuerpo Puro
29,8,Corpochiaro
30,1,しぜんかいふく
30,5,Médic Nature
30,6,Innere Kraft
30,7,Cura Natural
30,8,Alternacura
31,1,ひらいしん
31,5,Paratonnerre
31,6,Blitzfänger
31,7,Pararrayos
31,8,Parafulmine
32,1,てんのめぐみ
32,5,Sérénité
32,6,Edelmut
32,7,Dicha
32,8,Leggiadro
33,1,すいすい
33,5,Glissade
33,6,Wassertempo
33,7,Nado Rápido
33,8,Nuotovelox
34,1,ようりょくそ
34,5,Chlorophyle
34,6,Chlorophyll
34,7,Clorofila
34,8,Clorofilla
35,1,はっこう
35,5,Lumiatirance
35,6,Erleuchtung
35,7,Iluminación
35,8,Risplendi
36,1,トレース
36,5,Calque
36,6,Fährte
36,7,Rastro
36,8,Traccia
37,1,ちからもち
37,5,Coloforce
37,6,Kraftkoloss
37,7,Potencia
37,8,Macroforza
38,1,どくのトゲ
38,5,Point Poison
38,6,Giftdorn
38,7,Punto Tóxico
38,8,Velenopunto
39,1,せいしんりょく
39,5,Attention
39,6,Konzentrator
39,7,Foco Interno
39,8,Fuocodentro
40,1,マグマのよろい
40,5,Armumagma
40,6,Magmapanzer
40,7,Escudo Magma
40,8,Magmascudo
41,1,みずのベール
41,5,Ignifu-Voile
41,6,Aquahülle
41,7,Velo Agua
41,8,Idrovelo
42,1,じりょく
42,5,Magnépiège
42,6,Magnetfalle
42,7,Imán
42,8,Magnetismo
43,1,ぼうおん
43,5,Anti-Bruit
43,6,Lärmschutz
43,7,Insonorizar
43,8,Antisuono
44,1,あめうけざら
44,5,Cuvette
44,6,Regengenuss
44,7,Cura Lluvia
44,8,Copripioggia
45,1,すなおこし
45,5,Sable Volant
45,6,Sandsturm
45,7,Chorro Arena
45,8,Sabbiafiume
46,1,プレッシャー
46,5,Pression
46,6,Erzwinger
46,7,Presión
46,8,Pressione
47,1,あついしぼう
47,5,Isograisse
47,6,Speckschicht
47,7,Sebo
47,8,Grassospesso
48,1,はやおき
48,5,Matinal
48,6,Frühwecker
48,7,Madrugar
48,8,Sveglialampo
49,1,ほのおのからだ
49,5,Corps Ardent
49,6,Flammkörper
49,7,Cuerpo Llama
49,8,Corpodifuoco
50,1,にげあし
50,5,Fuite
50,6,Angsthase
50,7,Fuga
50,8,Fugafacile
51,1,するどいめ
51,5,Regard Vif
51,6,Adlerauge
51,7,Vista Lince
51,8,Sguardofermo
52,1,かいりきバサミ
52,5,Hyper Cutter
52,6,Scherenmacht
52,7,Corte Fuerte
52,8,Ipertaglio
53,1,ものひろい
53,5,Ramassage
53,6,Mitnahme
53,7,Recogida
53,8,Raccolta
54,1,なまけ
54,5,Absentéisme
54,6,Schnarchnase
54,7,Ausente
54,8,Pigrone
55,1,はりきり
55,5,Agitation
55,6,Übereifer
55,7,Entusiasmo
55,8,Tuttafretta
56,1,メロメロボディ
56,5,Joli Sourire
56,6,Charmebolzen
56,7,Gran Encanto
56,8,Incantevole
57,1,プラス
57,5,Plus
57,6,Plus
57,7,Más
57,8,Più
58,1,マイナス
58,5,Minus
58,6,Minus
58,7,Menos
58,8,Meno
59,1,てんきや
59,5,Météo
59,6,Prognose
59,7,Predicción
59,8,Previsioni
60,1,ねんちゃく
60,5,Glue
60,6,Wertehalter
60,7,Viscosidad
60,8,Antifurto
61,1,だっぴ
61,5,Mue
61,6,Expidermis
61,7,Mudar
61,8,Muta
62,1,こんじょう
62,5,Cran
62,6,Adrenalin
62,7,Agallas
62,8,Dentistretti
63,1,ふしぎなうろこ
63,5,Écaille Spé.
63,6,Notschutz
63,7,Escama Esp.
63,8,Pelledura
64,1,ヘドロえき
64,5,Suintement
64,6,Kloakensoße
64,7,Lodo Líquido
64,8,Melma
65,1,しんりょく
65,5,Engrais
65,6,Notdünger
65,7,Espesura
65,8,Erbaiuto
66,1,もうか
66,5,Brasier
66,6,Großbrand
66,7,Mar Llamas
66,8,Aiutofuoco
67,1,げきりゅう
67,5,Torrent
67,6,Sturzbach
67,7,Torrente
67,8,Acquaiuto
68,1,むしのしらせ
68,5,Essaim
68,6,Hexaplaga
68,7,Enjambre
68,8,Aiutinsetto
69,1,いしあたま
69,5,Tête de Roc
69,6,Steinhaupt
69,7,Cabeza Roca
69,8,Testadura
70,1,ひでり
70,5,Sécheresse
70,6,Dürre
70,7,Sequía
70,8,Siccità
71,1,ありじごく
71,5,Piège
71,6,Ausweglos
71,7,Trampa Arena
71,8,Trappoarena
72,1,やるき
72,5,Esprit Vital
72,6,Munterkeit
72,7,Espír. Vital
72,8,Spiritovivo
73,1,しろいけむり
73,5,Écran Fumée
73,6,Pulverrauch
73,7,Humo Blanco
73,8,Fumochiaro
74,1,ヨガパワー
74,5,Force Pure
74,6,Mentalkraft
74,7,Energía Pura
74,8,Forzapura
75,1,シェルアーマー
75,5,Coque Armure
75,6,Panzerhaut
75,7,Caparazón
75,8,Guscioscudo
76,1,エアロック
76,5,Air Lock
76,6,Klimaschutz
76,7,Bucle Aire
76,8,Riparo
77,1,ちどりあし
77,5,Pieds Confus
77,6,Fußangel
77,7,Tumbos
77,8,Intricopiedi
78,1,でんきエンジン
78,5,Motorisé
