ability_id,local_language_id,effect,short_effect
1,9,"This Pokémon's moves have approximately a 10% chance to make the target [flinch]{mechanic:flinch}.

This ability does not stack with a held [King's Rock]{item:kings-rock}.

Overworld: The wild encounter rate is halved while this Pokémon is in the party.",Has a chance of making the opponent [flinch]{mechanic:flinch} when attacking.
2,9,"The [weather]{mechanic:weather} changes to [rain]{mechanic:rain} when this Pokémon enters battle and does not end unless replaced by another weather condition.

If multiple Pokémon with this ability, [Drought]{ability:drought}, [Sand Stream]{ability:sand-stream}, or [Snow Warning]{ability:snow-warning} are sent out at the same time, the abilities will activate in order of [Speed]{mechanic:speed}, respecting [Trick Room]{move:trick-room}.  Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay.",Summons [rain]{mechanic:rain} that lasts indefinitely upon entering battle.
3,9,This Pokémon's [Speed]{mechanic:speed} rises one [stage]{mechanic:stat modifier} after each turn.,Raises [Speed]{mechanic:speed} one [stage]{mechanic:stat modifier} after each turn.
4,9,"Moves cannot score [critical hits]{mechanic:critical hit} against this Pokémon.

This ability functions identically to [Shell Armor]{ability:shell-armor}.",Protects against [critical hits]{mechanic:critical hit}.
5,9,"When this Pokémon is at full [HP]{mechanic:hp}, any hit that would knock it out will instead leave it with 1 HP.  Regardless of its current HP, it is also immune to the one-hit KO moves: [Fissure]{move:fissure}, [Guillotine]{move:guillotine}, [Horn Drill]{move:horn-drill}, and [Sheer Cold]{move:sheer-cold}.

If this Pokémon is holding a [Focus Sash]{item:focus-sash}, this ability takes precedence and the Focus Sash will not be consumed.","Prevents being KOed from full [HP]{mechanic:hp}, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
6,9,"While this Pokémon is in battle, [Selfdestruct]{move:selfdestruct} and [Explosion]{move:explosion} will fail and [Aftermath]{ability:aftermath} will not take effect.","Prevents [Selfdestruct]{move:selfdestruct}, [Explosion]{move:explosion}, and [Aftermath]{ability:aftermath} from working while the Pokémon is in battle."
7,9,"This Pokémon cannot be [paralyzed]{mechanic:paralysis}.

If a Pokémon is paralyzed and acquires this ability, its paralysis is healed; this includes when regaining a lost ability upon leaving battle.",Prevents [paralysis]{mechanic:paralysis}.
8,9,"During a [sandstorm]{mechanic:sandstorm}, this Pokémon has 1.25× its [evasion]{mechanic:evasion}, and it does not take sandstorm damage regardless of type.

The evasion bonus does not count as a [stat modifier]{mechanic:stat modifier}.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in a sandstorm.",Increases [evasion]{mechanic:evasion} to 1.25× during a [sandstorm]{mechanic:sandstorm}.
9,9,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being [paralyzed]{mechanic:paralysis}.

Pokémon that are immune to [Electric]{type:electric}-type moves can still be paralyzed by this ability.

Overworld: If the lead Pokémon has this ability, there is a 50% chance that encounters will be with an [Electric]{type:electric} Pokémon, if applicable.",Has a 30% chance of [paralyzing]{mechanic:paralysis} attacking Pokémon on contact.
10,9,"Whenever an [Electric]{type:electric}-type move hits this Pokémon, it heals for 1/4 of its maximum [HP]{mechanic:hp}, negating any other effect on it.

This ability will not take effect if this Pokémon is [Ground]{type:ground}-type and thus immune to Electric moves.  Electric moves will ignore this Pokémon's [Substitute]{move:substitute}.

This effect includes non-damaging moves, i.e. [Thunder Wave]{move:thunder-wave}.","Absorbs [Electric]{type:electric} moves, healing for 1/4 max [HP]{mechanic:hp}."
11,9,"Whenever a [Water]{type:water}-type move hits this Pokémon, it heals for 1/4 of its maximum [HP]{mechanic:hp}, negating any other effect on it.

Water moves will ignore this Pokémon's [Substitute]{move:substitute}.","Absorbs [Water]{type:water} moves, healing for 1/4 max [HP]{mechanic:hp}."
12,9,"This Pokémon cannot be [infatuated]{mechanic:infatuation} and is immune to [Captivate]{move:captivate}.

If a Pokémon is infatuated and acquires this ability, its infatuation is cleared.",Prevents [infatuation]{mechanic:infatuation} and protects against [Captivate]{move:captivate}.
13,9,"While this Pokémon is in battle, [weather]{mechanic:weather} can still be in play, but will not have any of its effects.

This ability functions identically to [Air Lock]{ability:air-lock}.","Negates all effects of [weather]{mechanic:weather}, but does not prevent the weather itself."
14,9,"This Pokémon's moves have 1.3× their [accuracy]{mechanic:accuracy}.

This ability has no effect on the one-hit KO moves ([Fissure]{move:fissure}, [Guillotine]{move:guillotine}, [Horn Drill]{move:horn-drill}, and [Sheer Cold]{move:sheer-cold}).

Overworld: In Pokémon Emerald and all subsequent games, if the lead Pokémon has this ability, wild Pokémon have 1.5× the chance of holding an item.",Increases moves' [accuracy]{mechanic:accuracy} to 1.3×.
15,9,"This Pokémon cannot be [asleep]{mechanic:sleep}.

This causes [Rest]{move:rest} to fail altogether.  If a Pokémon is asleep and acquires this ability, it will immediately wake up; this includes when regaining a lost ability upon leaving battle.

This ability functions identically to [Vital Spirit]{ability:vital-spirit} in battle.",Prevents [sleep]{mechanic:sleep}.
