characteristic_id,local_language_id,message
1,5,Adore manger
1,9,Loves to eat
2,5,Est fier de sa puissance
2,9,Proud of its power
3,5,Corps robuste
3,9,Sturdy body
4,5,Extrêmement curieux
4,9,Highly curious
5,5,Très volontaire
5,9,Strong willed
6,5,Aime courir
6,9,Likes to run
7,5,S'assoupit souvent
7,9,Takes plenty of siestas
8,5,Aime se démener
8,9,Likes to thrash about
9,5,Sait encaisser les coups
9,9,Capable of taking hits
10,5,Coquin
10,9,Mischievous
11,5,Un peu vaniteux
11,9,Somewhat vain
12,5,Attentif aux sons
12,9,Alert to sounds
13,5,Dort beaucoup
13,9,Nods off a lot
14,5,Un peu coléreux
14,9,A little quick tempered
15,5,Très obstiné
15,9,Highly persistent
16,5,Très astucieux
16,9,Thoroughly cunning
17,5,Esprit rebelle
17,9,Strongly defiant
18,5,Bête et impulsif
18,9,Impetuous and silly
19,5,Éparpille des choses
19,9,Scatters things often
20,5,Aime combattre
20,9,Likes to fight
21,5,Bonne endurance
21,9,Good endurance
22,5,Souvent dans la lune
22,9,Often lost in thought
23,5,A horreur de perdre
23,9,Hates to lose
24,5,Aime faire le pitre
24,9,Somewhat of a clown
25,5,Aime se détendre
25,9,Likes to relax
26,5,S'emporte facilement
26,9,Quick tempered
27,5,Persévérant
27,9,Good perseverance
28,5,Très particulier
28,9,Very finicky
29,5,Assez entêté
29,9,Somewhat stubborn
30,5,Fuit rapidement
30,9,Quick to flee
1,6,Liebt es zu essen
2,6,Stolz auf seine Stärke
3,6,Hat einen robusten Körper
4,6,Sehr neugierig
5,6,Besitzt einen starken Willen
6,6,Lieb es zu rennen
7,6,Nickt of ein
8,6,Prügelt sich gern
9,6,Kann Treffer gut verkraften
10,6,Hinterhältig
11,6,Etwas Eitel
12,6,Achtet auf Geräusche
13,6,Schläft gern
14,6,Besitzt Temperament
15,6,Äußerst ausdauernd
16,6,Äußerst gerissen
17,6,Sehr aufsässig
18,6,Ungestüm und einfältig
19,6,Macht oft Unordnung
20,6,Liebt Kämpfe
21,6,Hat eine gute Ausdauer
22,6,Ist of in Gedanken
23,6,Hasst Niederlagen
24,6,Ein bisschen albern
25,6,Mag es sich zu entspannen
26,6,Impulsiv
27,6,Ist beharrlich
28,6,Sehr pedantisch
29,6,Dickköpfig
30,6,Flüchtet schnell
