conquest_move_effect_id,local_language_id,short_effect,effect
0,9,Inflicts exactly 40 HP in damage.,"Inflicts exactly 40 HP in damage, unaffected by stats or types."
2,9,Has double power if the target has a major status ailment.,Inflicts damage.  Has double power if the target has a major status ailment.
3,9,Doubles in power with each consecutive successful use.,"Inflicts damage.  Every time this move succeeds, its power doubles; if it fails, it resets."
4,9,Ignores the target's stat modifiers.,"Inflicts damage, ignoring the target's stat modifiers."
5,9,Power rises the faster the user is compared to the target.,"Inflicts damage.  The greater the user's Speed compared to the target's, the more power this move has."
6,9,Power rises the slower the user is compared to the target.,"Inflicts damage.  The lower the user's Speed compared to the target's, the more power this move has."
7,9,,
8,9,,
9,9,Has an increased chance for a critical hit.,"Inflicts damage.  This move's critical hit rate is higher than usual."
14,9,Hits 2 to 5 times in one turn.,"Inflicts damage.  Hits two to five times in one turn, with damage calculated separately each time."
15,9,,
16,9,"Digs underground and hits at the beginning of the next turn.","Inflicts damage.  The user digs underground, dodging all moves until it attacks.  At the beginning of the next turn, the user hits the target, even if the target has moved, and cannot move again that turn."
17,9,"Lifts the target into the sky and hits at the beginning of the next turn.","Inflicts damage.  The user carries the target into the sky.  No moves can hit either Pokémon in this state.  At the beginning of the next turn, the user slams the target to the ground, inflicting regular damage.  The user cannot move again that turn."
18,9,,
19,9,,Inflicts damage.
20,9,,
21,9,Heals the user by half the damage dealt.,Inflicts damage.  The user heals for half as many HP as it dealt in damage.
22,9,Teleports randomly.,
23,9,Cannot be used the turn after hitting.,"Inflicts damage.  If the move succeeds, it cannot be used again on the next turn."
25,9,"",""
26,9,,
28,9,Has a $effect_chance% chance to raise the user's Attack.,Inflicts damage.  Has a $effect_chance% chance to raise the user's Attack afterward.
29,9,Lowers the user's Attack.,Inflicts damage.  Lowers the user's Attack afterward.
30,9,Has a $effect_chance% chance to lower each target's Defense.,Inflicts damage.  Has a $effect_chance% chance to lower each target's Defense afterward.
33,9,Has a $effect_chance% chance to lower each target's Speed.,Inflicts damage.  Has a $effect_chance% chance to lower each target's Speed afterward.
36,9,Has a $effect_chance% chance to lower each target's accuracy.,Inflicts damage.  Has a $effect_chance% chance to lower each target's accuracy.
37,9,Has a $effect_chance% chance to paralyze each target.,Inflicts damage.  Has a $effect_chance% chance to paralyze each target.
38,9,Puts each target to sleep.,Puts each target to sleep.
39,9,Has a $effect_chance% chance to poison each target.,Inflicts damage.  Has a $effect_chance% chance to poison each target.
40,9,Has a $effect_chance% chance to badly poison each target.,Inflicts damage.  Has a $effect_chance% chance to badly poison each target.
41,9,Has a $effect_chance% chance to burn each target.,Inflicts damage.  Has a $effect_chance% chance to burn each target.
42,9,Has a $effect_chance% chance to freeze each target.,Inflicts damage.  Has a $effect_chance% chance to freeze each target.
43,9,Has a $effect_chance% chance to confuse each target.,Inflicts damage.  Has a $effect_chance% chance to confuse each target.
44,9,Has a $effect_chance% chance to make each target flinch.,Inflicts damage.  Has a $effect_chance% chance to make each target flinch.
47,9,,
48,9,,
49,9,,
51,9,,
52,9,Never misses.,"Inflicts damage.  Always has 100% accuracy, but still misses Pokémon under the effects of []{move:dig} or []{move:sky-drop}."
58,9,Lowers each target's range.,Inflicts damage.  Lowers each target's range by one tile.
59,9,,
60,9,Inflicts damage with no additional effect.,Inflicts regular damage.
61,9,Has a $effect_chance% chance each to burn each target or make it flinch.,"Inflicts damage.  Has a $effect_chance% chance to burn each target, and a $effect_chance% chance, separately rolled, to make each target flinch."
62,9,Has a $effect_chance% chance to burn each target.  Thaws the user out if frozen.,"Inflicts damage.  Has a $effect_chance% chance to burn each target.  Can be used if the user is frozen, in which case it thaws out."
63,9,,
64,9,,
65,9,Has double power and wakes the target up if it is asleep.,"Inflicts damage.  If the target is asleep, this move has double power and wakes the target up."
66,9,Has a $effect_chance% chance to poison each target and an increased chance for a critical hit.,
67,9,Heals the user by half the damage inflicted.  Only works if each target is asleep.,"Inflicts damage if each target is asleep, and fails otherwise.  Heals the user for half as many HP as it dealt in damage."
68,9,Hits twice in one turn.  Has a $effect_chance% chance to poison each target with each hit.,Inflicts damage.  Hits twice in one turn.  Has a $effect_chance% chance to poison each target with each hit.
