id,identifier,gender_id
1,player-male,2
2,player-female,1
3,nobunaga,2
4,oichi,1
5,hideyoshi,2
6,motochika,2
7,ginchiyo,1
8,motonari,2
9,mitsuhide,2
10,yoshihiro,2
11,nene,1
12,shingen,2
13,masamune,2
14,kenshin,2
15,yoshimoto,2
16,ujiyasu,2
17,no,1
18,kotaro,2
19,ieyasu,2
20,hanbei,2
21,kanbei,2
22,muneshige,2
23,gracia,1
24,hanzo,2
25,kunoichi,1
26,yukimura,2
27,magoichi,2
28,kanetsugu,2
29,aya,1
30,kai,1
31,okuni,1
32,ranmaru,2
33,tadakatsu,2
34,ina,1
35,keiji,2
36,mitsunari,2
37,kiyomasa,2
38,masanori,2
39,tsunehisa,2
40,naoie,2
41,harutaka,2
42,takanobu,2
43,naoshige,2
44,ujisato,2
45,chacha,1
46,go,1
47,hatsu,1
48,kazumasu,2
49,nagahide,2
50,yoshitaka,2
51,urakusai,2
52,narimasa,2
53,tomonori,2
54,murashige,2
55,masahide,2
56,nagayoshi,2
57,kitsuno,1
58,gotoku,1
59,hidenaga,2
60,koroku,2
61,takatora,2
62,yoshitsugu,2
63,yukinaga,2
64,rikyu,2
65,hideyori,2
66,asahi,1
67,kazutoyo,2
68,nagayasu,2
69,harunaga,2
70,hideaki,2
71,naka,1
72,tatsuko,1
73,maa,1
74,chiyo,1
75,hatsume,1
76,nobuchika,2
77,chikayasu,2
78,morichika,2
79,chikamasa,2
80,norishige,2
81,takayori,2
82,tadasumi,2
83,dosetsu,2
84,shoun,2
85,sorin,2
86,sekiso,2
87,akizane,2
88,takatane,2
89,kiyo,1
90,motoharu,2
91,takakage,2
92,terumoto,2
93,takeyoshi,2
94,ekei,2
95,takamoto,2
96,sadatoshi,2
97,hidemitsu,2
98,toshimitsu,2
99,shigemoto,2
100,mitsutada,2
101,yukimasa,2
102,tadaoki,2
103,fujitaka,2
104,hiroko,1
105,tadamoto,2
106,tadatsune,2
107,takahisa,2
108,hisaaki,2
109,masatoshi,2
110,kanemori,2
111,tokitaka,2
112,sandayu,2
113,morikiyo,2
114,kashinkoji,2
115,yasunaga,2
116,seikuro,2
117,katsuyori,2
118,haruyuki,2
119,masakage,2
120,masatoyo,2
121,nobufusa,2
122,masayuki,2
123,yukitaka,2
124,ume,1
125,chiyome,1
126,kei,1
127,kagetsuna,2
128,shigezane,2
129,tsunamoto,2
130,tsunenaga,2
131,munetoki,2
132,munezane,2
133,yoshi,1
134,iroha,1
135,kagekatsu,2
136,yoshikiyo,2
137,tomonobu,2
138,kageie,2
139,takahiro,2
140,sadamitsu,2
141,yataro,2
142,saneyori,2
143,hana,1
144,sen,1
145,ujichika,2
146,ujizane,2
147,sessai,2
148,masatsuna,2
149,yasutomo,2
150,ujihiro,2
151,motozane,2
152,sena,1
153,soun,2
154,tsunashige,2
155,genan,2
156,ujimasa,2
157,ujiteru,2
158,ujikuni,2
159,ujinao,2
160,shizuka,1
161,madoka,1
162,dosan,2
163,yoshitatsu,2
164,ittetsu,2
165,bokuzen,2
166,morinari,2
167,omi,1
168,asa,1
169,shimoyama,2
170,genba,2
171,danzo,2
172,yazaemon,2
173,isuke,2
174,tadatsugu,2
175,naomasa,2
176,yasumasa,2
177,masanobu,2
178,hidetada,2
179,kazumasa,2
180,choan,2
181,tenkai,2
182,munenori,2
183,kame,1
184,toku,1
185,saizo,2
186,sasuke,2
187,katsu,1
188,juzo,2
189,tsuru,1
190,ise,1
191,jinpachi,2
192,kamanosuke,2
193,seikai,2
194,isa,2
195,yoshiteru,2
196,yoshiaki,2
197,hisahide,2
198,jubei,2
199,nobutsuna,2
200,bokuden,2
201,otsu,1
