encounter_method_id,local_language_id,name
1,9,Walking in tall grass or a cave
2,9,Fishing with an Old Rod
3,9,Fishing with a Good Rod
4,9,Fishing with a Super Rod
5,9,Surfing
6,9,Smashing rocks
7,9,Headbutting trees
8,9,Walking in dark grass
9,9,Walking in rustling grass
10,9,Walking in dust clouds
11,9,Walking in bridge shadows
12,9,Fishing in dark spots
13,9,Surfing in dark spots
14,9,Walking in yellow flowers
15,9,Walking in purple flowers
16,9,Walking in red flowers
17,9,Walking on rough terrain
18,9,Receive as a gift
19,9,Receive egg as a gift
