id,version_id,location_area_id,encounter_slot_id,pokemon_id,min_level,max_level
1,12,1,28,72,20,30
2,12,1,29,278,20,30
3,12,1,30,73,20,40
4,12,1,31,279,20,40
5,12,1,32,279,20,40
6,12,1,13,129,4,6
7,12,1,14,129,3,7
8,12,1,15,129,5,10
9,12,1,16,129,5,10
10,12,1,17,129,5,10
11,12,1,18,129,15,20
12,12,1,19,456,15,20
13,12,1,20,129,10,25
14,12,1,21,456,10,25
15,12,1,22,456,10,25
16,12,1,23,130,30,40
17,12,1,24,457,30,40
18,12,1,25,120,20,40
19,12,1,26,457,20,50
20,12,1,27,457,20,50
21,12,2,28,54,20,30
22,12,2,29,54,20,40
23,12,2,30,55,30,40
24,12,2,31,55,30,40
25,12,2,32,55,20,40
26,12,2,13,129,4,6
27,12,2,14,129,3,7
28,12,2,15,129,5,10
29,12,2,16,129,5,10
30,12,2,17,129,5,10
31,12,2,18,129,15,20
32,12,2,19,339,15,20
33,12,2,20,129,10,25
34,12,2,21,339,10,25
35,12,2,22,339,10,25
36,12,2,23,130,30,40
37,12,2,24,340,30,40
38,12,2,25,130,40,55
39,12,2,26,340,20,50
40,12,2,27,340,20,50
41,12,3,28,72,20,30
42,12,3,29,278,20,30
43,12,3,30,73,20,40
44,12,3,31,279,20,40
45,12,3,32,279,20,40
46,12,3,13,129,4,6
47,12,3,14,129,3,7
48,12,3,15,129,5,10
49,12,3,16,129,5,10
50,12,3,17,129,5,10
51,12,3,18,129,15,20
52,12,3,19,223,15,20
53,12,3,20,129,10,25
54,12,3,21,223,10,25
55,12,3,22,223,10,25
56,12,3,23,130,30,40
57,12,3,24,224,30,40
58,12,3,25,130,40,55
59,12,3,26,224,20,50
60,12,3,27,224,20,50
61,12,4,28,73,35,45
62,12,4,29,279,35,45
63,12,4,30,458,30,40
64,12,4,31,458,30,40
65,12,4,32,458,35,45
66,12,4,13,129,4,6
67,12,4,14,129,3,7
68,12,4,15,129,5,10
69,12,4,16,129,5,10
70,12,4,17,129,5,10
71,12,4,18,129,15,20
72,12,4,19,223,15,20
73,12,4,20,129,10,25
74,12,4,21,223,10,25
75,12,4,22,223,10,25
76,12,4,23,130,30,40
77,12,4,24,224,30,40
78,12,4,25,120,20,40
79,12,4,26,224,20,50
80,12,4,27,224,20,50
81,12,5,28,279,35,40
82,12,5,29,73,35,40
83,12,5,30,279,40,45
84,12,5,31,73,40,45
85,12,5,32,73,40,45
86,12,5,13,129,4,6
87,12,5,14,129,3,7
88,12,5,15,129,5,10
89,12,5,16,129,5,10
90,12,5,17,129,5,10
91,12,5,18,129,15,20
92,12,5,19,223,15,20
93,12,5,20,129,10,25
94,12,5,21,223,10,25
95,12,5,22,223,10,25
96,12,5,23,130,30,40
97,12,5,24,224,30,40
98,12,5,25,370,20,30
99,12,5,26,224,20,50
100,12,5,27,224,20,50
101,12,6,1,74,6,6
102,12,6,2,74,6,6
103,12,6,3,41,7,7
104,12,6,4,41,7,7
105,12,6,5,74,7,7
106,12,6,6,74,7,7
107,12,6,7,95,8,8
108,12,6,8,95,8,8
109,12,6,9,74,9,9
110,12,6,10,74,9,9
111,12,6,11,74,5,5
112,12,6,12,74,5,5
113,12,7,1,74,7,7
114,12,7,2,74,7,7
115,12,7,3,41,8,8
