id,nickname,pokemon_form_id,ability_id,nature_id,item_id,level,gender_id,pokeball_id,personality,is_shiny,is_egg,original_trainer_id
1,,1,,,,5,,,,,0,
2,,2,,,,5,,,,,0,
3,,3,,,,5,,,,,0,
4,,25,,,,5,,,,,0,
5,,1,,,,10,,,,,0,
6,,4,,,,10,,,,,0,
7,,7,,,,10,,,,,0,
8,,107,,,,30,,,,,0,
9,,106,,,,30,,,,,0,
10,,131,,,,15,,,,,0,
11,,133,,,,25,,,,,0,
12,,138,,,,30,,,,,0,
13,,140,,,,30,,,,,0,
14,,142,,,,30,,,,,0,
15,,143,,,,30,,,,,0,
16,,143,,,,30,,,,,0,
17,,144,,,,50,,,,,0,
18,,145,,,,50,,,,,0,
19,,146,,,,50,,,,,0,
20,,150,,,,70,,,,,0,
21,,129,,,,,,,,,0,
22,DUX,83,,,,,,,,,0,1
23,MARC,108,,,,,,,,,0,1
24,MARCEL,122,,,,,,,,,0,1
25,MILES,122,,,,,,,,,0,1
26,LOLA,124,,,,,,,,,0,1
27,SPOT,29,,,,,,,,,0,1
28,TERRY,30,,,,,,,,,0,1
29,SPIKE,47,,,,,,,,,0,1
30,GURIO,51,,,,,,,,,0,1
31,RICKY,67,,,,,,,,,0,1
32,SAILOR,86,,,,,,,,,0,1
33,CEZANNE,87,,,,,,,,,0,1
34,STICKY,89,,,,,,,,,0,1
35,DORIS,101,,,,,,,,,0,1
36,BUFFY,112,,,,,,,,,0,1
37,CRINKLES,114,,,,,,,,,0,1
38,,30,,,,17,,,,,0,
39,,33,,,,17,,,,,0,
40,,35,,,,8,,,,,0,
41,,35,,,,12,,,,,0,
42,,37,,,,18,,,,,0,
43,,40,,,,22,,,,,0,
44,,63,,,,9,,,,,0,
45,,63,,,,6,,,,,0,
46,,63,,,,15,,,,,0,
47,,123,,,,25,,,,,0,
48,,123,,,,30,,,,,0,
49,,127,,,,20,,,,,0,
50,,127,,,,30,,,,,0,
51,,137,,,,26,,,,,0,
52,,137,,,,18,,,,,0,
53,,137,,,,26,,,,,0,
54,,147,,,,18,,,,,0,
55,,147,,,,24,,,,,0,
