id,growth_rate_id,baby_trigger_item_id
1,4,
2,4,
3,4,
4,2,
5,2,
6,4,
7,2,
8,2,
9,2,
10,2,
11,2,
12,4,
13,4,
14,3,
15,2,
16,3,
17,2,
18,4,
19,2,
20,2,
21,2,
22,2,
23,2,
24,2,
25,1,
26,4,
27,4,
28,4,
29,4,
30,1,
31,4,
32,2,
33,2,
34,2,
35,2,
36,2,
37,2,
38,2,
39,1,
40,4,
41,2,
42,2,
43,2,
44,2,
45,1,
46,2,
47,2,
48,2,
49,2,
50,1,
51,3,296
52,2,
53,2,
54,2,
55,2,
56,1,
57,2,291
58,2,
59,2,
60,2,
61,2,
62,1,
63,1,
64,1,
65,1,
66,2,
67,2,
68,2,
69,2,
70,2,
71,1,
72,1,293
73,1,
74,1,
75,1,
76,1,
77,1,
78,4,
79,4,
80,4,
81,4,
82,2,
83,2,
84,3,
85,3,
86,1,
87,3,
88,2,
89,4,
90,3,231
91,2,292
92,4,
93,3,
94,4,
95,2,
96,2,
97,4,
98,3,
99,2,
100,2,232
101,2,
102,2,
103,2,
104,4,
105,3,
106,2,
107,4,
108,1,
109,4,
110,2,
111,2,
112,1,
113,3,
114,2,
115,3,
116,1,294
117,1,
118,1,
119,2,
120,1,
121,3,
122,1,
123,1,
124,1,
125,1,
126,1,
127,1,
128,1,
129,4,
130,4,
131,4,
132,4,
133,2,
134,2,
135,2,
136,4,
137,4,
138,4,
139,2,
140,1,
141,2,
142,6,
143,1,
144,5,
145,4,
146,6,
147,2,
148,3,
149,4,
150,3,
151,1,
152,2,
153,1,
154,2,
155,2,
156,5,
157,6,
158,4,295
159,6,
160,1,
161,6,
162,2,
163,2,
164,3,
165,3,
166,4,
167,4,
168,5,
169,5,
170,6,
171,3,
172,3,
173,2,
174,6,
175,2,
176,5,
177,5,
178,5,
179,2,
180,4,
181,3,
182,3,
183,1,
184,3,297
185,4,
186,2,
187,4,
188,5,
189,1,
190,3,
191,1,
192,1,
193,1,
194,1,
195,1,
196,1,
197,1,
198,1,
199,1,
200,1,
201,1,
202,1,
203,4,
204,4,
205,4,
206,4,
207,2,
208,4,
209,4,
211,5,
212,5,
213,2,
214,4,
215,2,
216,2,
217,2,
218,2,
219,6,
220,2,
221,3,
223,2,
224,2,
228,4,
229,2,
230,1,
232,4,
233,1,
234,1,
235,2,
236,1,
237,5,
239,1,
240,2,
241,1,
242,1,
243,1,
244,1,
245,1,
246,1,
247,1,
248,1,
249,1,
250,1,
251,1,
252,1,
253,4,
254,1,
