id,pocket_id,name
1,7,Stat boosts
2,5,Effort drop
3,5,Medicine
4,5,Other
5,5,In a pinch
6,5,Picky healing
7,5,Type protection
8,5,Baking only
9,1,Collectibles
10,1,Evolution
11,1,Training
12,1,Held items
13,1,Choice
14,1,Effort training
15,1,Bad held items
16,1,Training
17,1,Plates
18,1,Species-specific
19,1,Type enhancement
20,8,Event items
21,8,Gameplay
22,8,Plot advancement
23,8,Unused
24,1,Loot
25,6,
26,2,Vitamins
27,2,Healing
28,2,PP recovery
29,2,Revival
30,2,Status cures
32,1,Mulch
33,3,Special balls
34,3,Standard balls
35,1,Dex completion
36,1,Scarves
37,4,
38,7,Flutes
39,3,Apricorn balls
40,8,Apricorn Box
41,8,Data Cards
