item_category_id,local_language_id,name
1,9,Stat boosts
2,9,Effort drop
3,9,Medicine
4,9,Other
5,9,In a pinch
6,9,Picky healing
7,9,Type protection
8,9,Baking only
9,9,Collectibles
10,9,Evolution
11,9,Spelunking
12,9,Held items
13,9,Choice
14,9,Effort training
15,9,Bad held items
16,9,Training
17,9,Plates
18,9,Species-specific
19,9,Type enhancement
20,9,Event items
21,9,Gameplay
22,9,Plot advancement
23,9,Unused
24,9,Loot
25,9,All mail
26,9,Vitamins
27,9,Healing
28,9,PP recovery
29,9,Revival
30,9,Status cures
32,9,Mulch
33,9,Special balls
34,9,Standard balls
35,9,Dex completion
36,9,Scarves
37,9,All machines
38,9,Flutes
39,9,Apricorn balls
40,9,Apricorn Box
41,9,Data Cards
42,9,Jewels
43,9,Miracle Shooter
44,9,Mega Stones
10001,9,X/Y unknown
1,6,Statuswert Boost
2,6,senkt EV
3,6,Medizin
4,6,Sonstige
5,6,Im Notfall
6,6,Heilung
7,6,Typ Schwächung
8,6,Backzutaten
9,6,Sammelbares
10,6,Entwicklung
11,6,Höhlensuche
12,6,Getragene Items
13,6,Wahl
14,6,EV Training
15,6,Negative getragene Items
16,6,Training
17,6,Tafeln
18,6,Pokémon-Spezies spezifisch
19,6,Typ Vorteil
20,6,Event Items
21,6,Spiel
22,6,Story Item
23,6,Unbenutzt
24,6,Sammelbares
25,6,Briefe
26,6,Vitamine
27,6,Heilung
28,6,AP Heilung
29,6,Wiederbelebung
30,6,Statusheilung
32,6,Mulch
33,6,Spezialbälle
34,6,Standard Bälle
35,6,Pokedex-Komplettierung
36,7,Schal
37,6,Maschinen
38,6,Flöten
39,6,Aprikoko Bälle
40,6,Aprikoko Box
41,6,Datenkarten
42,6,Juwelen
43,6,Wunderwerfer
44,6,Mega Steine
10001,6,X/Y unbekannt
