item_id,item_flag_id
1,4
2,4
3,4
4,4
6,4
7,4
8,4
9,4
10,4
11,4
12,4
13,4
14,4
15,4
16,4
28,8
29,8
55,4
56,4
57,4
58,4
59,4
60,4
61,4
62,4
72,8
73,8
74,8
75,8
80,8
81,8
82,8
83,8
84,8
85,8
91,8
93,8
99,8
100,8
101,8
102,8
103,8
104,8
105,8
106,8
110,8
111,8
112,5
113,5
126,7
127,7
128,7
129,7
130,7
131,7
132,7
133,7
134,7
135,7
136,7
137,7
138,7
139,7
140,7
161,7
162,7
163,7
164,7
165,7
166,7
167,7
168,7
169,7
170,7
171,7
172,7
173,7
174,7
175,7
176,7
177,7
178,7
179,7
180,7
181,7
182,7
183,7
184,7
185,7
186,7
187,7
188,7
189,7
190,5
190,7
191,5
191,7
192,5
192,7
193,5
193,7
194,5
194,7
195,5
195,7
196,5
196,7
197,5
197,7
198,5
198,7
199,5
199,7
200,5
200,7
201,5
202,5
203,5
204,5
205,5
205,7
206,5
206,7
206,8
207,5
207,7
208,5
208,7
209,5
209,7
210,5
210,7
211,5
211,7
213,5
214,5
214,7
215,5
215,7
215,8
216,5
216,7
217,5
217,7
218,5
218,7
219,5
219,7
220,5
220,7
221,5
221,7
222,5
222,7
223,5
223,7
224,5
224,7
225,5
225,7
226,5
226,7
227,5
227,7
228,5
228,7
230,5
230,7
231,5
231,7
232,5
232,7
233,5
234,5
235,5
236,5
237,7
238,7
239,7
240,7
241,7
242,5
242,7
243,5
243,7
244,5
244,7
245,5
245,7
246,5
246,7
247,5
247,7
248,5
248,7
249,5
249,7
250,5
250,7
251,5
252,5
252,7
253,5
253,7
254,5
254,7
255,5
255,7
256,5
256,7
257,5
257,7
258,5
258,7
259,5
259,7
259,8
260,5
260,7
260,8
261,5
261,7
261,8
262,5
262,7
262,8
263,5
263,7
264,5
264,7
265,5
265,7
266,5
266,7
267,5
267,7
268,5
268,7
269,5
269,7
270,5
270,7
271,5
271,7
272,5
272,7
273,5
273,7
274,5
274,7
275,5
275,7
275,8
276,5
276,7
276,8
277,5
277,7
277,8
278,5
278,7
278,8
279,5
279,7
279,8
280,5
280,7
280,8
281,5
281,7
281,8
282,5
282,7
282,8
283,5
283,7
283,8
284,5
284,7
284,8
285,5
285,7
285,8
286,5
286,7
286,8
287,5
287,7
287,8
288,5
288,7
288,8
289,5
289,7
289,8
290,5
290,7
290,8
291,5
291,7
292,5
292,7
293,5
293,7
294,5
294,7
295,5
295,7
296,5
296,7
297,5
303,5
303,7
304,5
304,7
