item_id,version_group_id,language_id,flavor_text
1,5,9,"The best BALL that
catches a POKéMON
without fail."
1,6,9,"The best BALL that
catches a POKéMON
without fail."
1,7,9,"The best BALL with the ultimate
performance. It will catch any wild
POKéMON without fail."
1,8,9,"The best Ball with the ultimate level of
performance. It will catch any wild
Pokémon without fail."
1,9,9,"The best Ball with the ultimate level of
performance. It will catch any wild
Pokémon without fail."
1,10,9,"The best Ball with the ultimate level of
performance. It will catch any wild
Pokémon without fail."
1,11,5,"Assurément la Ball la plus performante.
Elle permet de capturer à coup sûr un
Pokémon sauvage."
1,11,9,"The best Ball with the ultimate level of
performance. It will catch any wild
Pokémon without fail."
1,14,9,"The best Ball with the ultimate level of
performance. It will catch any wild
Pokémon without fail."
1,15,8,"La Poké Ball dalle prestazioni migliori:
cattura qualsiasi Pokémon selvatico senza
mai fallire."
1,15,9,"The best Poké Ball with the ultimate
level of performance. With it, you will
catch any wild Pokémon without fail."
2,5,9,"A better BALL with
a higher catch rate
than a GREAT BALL."
2,6,9,"A better BALL with
a higher catch rate
than a GREAT BALL."
2,7,9,"A very high-grade BALL that offers
a higher POKéMON catch rate than
a GREAT BALL."
2,8,9,"An ultra-performance Ball that
provides a higher Pokémon catch rate
than a Great Ball."
2,9,9,"An ultra-performance Ball that
provides a higher Pokémon catch rate
than a Great Ball."
2,10,9,"An ultra-performance Ball that
provides a higher Pokémon catch rate
than a Great Ball."
2,11,5,"Une Ball ultraperformante dont le taux
de réussite est supérieur à celui de la
Super Ball."
2,11,9,"An ultra-performance Ball that
provides a higher Pokémon catch rate
than a Great Ball."
2,14,9,"An ultra-performance Ball that
provides a higher Pokémon catch rate
than a Great Ball."
2,15,9,"An ultra-high-performance Poké Ball
that provides a higher success rate for
catching Pokémon than a Great Ball."
3,5,9,"A good BALL with a
higher catch rate
than a POKé BALL."
3,6,9,"A good BALL with a
higher catch rate
than a POKé BALL."
3,7,9,"A good, quality BALL that offers
a higher POKéMON catch rate than
a standard POKé BALL."
3,8,9,"A good, high-performance Ball that
provides a higher Pokémon catch rate
than a standard Poké Ball."
3,9,9,"A good, high-performance Ball that
provides a higher Pokémon catch rate
than a standard Poké Ball."
3,10,9,"A good, high-performance Ball that
provides a higher Pokémon catch rate
than a standard Poké Ball."
3,11,5,"Une Ball très performante dont le taux
de réussite est supérieur à celui de la
Poké Ball."
3,11,9,"A good, high-performance Ball that
provides a higher Pokémon catch rate
than a standard Poké Ball."
3,14,9,"A good, high-performance Ball that
provides a higher Pokémon catch rate
than a standard Poké Ball."
3,15,9,"A good, high-performance Poké Ball
that provides a higher Pokémon catch
rate than a standard Poké Ball can."
4,5,9,"A tool used for
catching wild
POKéMON."
4,6,9,"A tool used for
catching wild
POKéMON."
4,7,9,"A BALL thrown to catch a wild
POKéMON. It is designed in a
capsule style."
4,8,9,"A device for catching wild Pokémon.
It is thrown like a ball at the target.
It is designed as a capsule system."
4,9,9,"A device for catching wild Pokémon.
It is thrown like a ball at the target.
It is designed as a capsule system."
4,10,9,"A device for catching wild Pokémon.
It is thrown like a ball at the target.
It is designed as a capsule system."
4,11,5,"Un objet pareil à une capsule, qui
capture les Pokémon sauvages. Il suffit
pour cela de le jeter comme une balle."
4,11,9,"A device for catching wild Pokémon.
It is thrown like a ball at the target.
It is designed as a capsule system."
4,14,9,"A device for catching wild Pokémon.
It is thrown like a ball at the target.
It is designed as a capsule system."
4,15,9,"A device for catching wild Pokémon.
It's thrown like a ball at a Pokémon,
comfortably encapsulating its target."
5,5,9,"A special BALL that
is used only in the
SAFARI ZONE."
5,6,9,"A special BALL that
is used only in the
SAFARI ZONE."
5,7,9,"A special BALL that is used only in
the SAFARI ZONE. It is finished in
a camouflage pattern."
5,8,9,"A special Poké Ball that is used only in
the Great Marsh. It is decorated in a
camouflage pattern."
5,9,9,"A special Poké Ball that is used only in
the Great Marsh. It is decorated in a
camouflage pattern."
