item_id,generation_id,game_index
1,3,1
1,4,1
1,5,1
2,3,2
2,4,2
2,5,2
3,3,3
3,4,3
3,5,3
4,3,4
4,4,4
4,5,4
5,3,5
5,4,5
5,5,5
6,3,6
6,4,6
6,5,6
7,3,7
7,4,7
7,5,7
8,3,8
8,4,8
8,5,8
9,3,9
9,4,9
9,5,9
10,3,10
10,4,10
10,5,10
11,3,11
11,4,11
11,5,11
12,3,12
12,4,12
12,5,12
13,4,13
13,5,13
14,4,14
14,5,14
15,4,15
15,5,15
16,4,16
16,5,16
17,3,13
17,4,17
17,5,17
18,3,14
18,4,18
18,5,18
19,3,15
19,4,19
19,5,19
20,3,16
20,4,20
20,5,20
21,3,17
21,4,21
21,5,21
22,3,18
22,4,22
22,5,22
23,3,19
23,4,23
23,5,23
24,3,20
24,4,24
24,5,24
25,3,21
25,4,25
25,5,25
26,3,22
26,4,26
26,5,26
27,3,23
27,4,27
27,5,27
28,3,24
28,4,28
28,5,28
29,3,25
29,4,29
29,5,29
30,3,26
30,4,30
30,5,30
31,3,27
31,4,31
31,5,31
32,3,28
32,4,32
32,5,32
33,3,29
33,4,33
33,5,33
34,3,30
34,4,34
34,5,34
35,3,31
35,4,35
35,5,35
36,3,32
36,4,36
36,5,36
37,3,33
37,4,37
37,5,37
38,3,34
38,4,38
38,5,38
39,3,35
39,4,39
39,5,39
40,3,36
40,4,40
40,5,40
41,3,37
41,4,41
41,5,41
42,3,38
42,4,42
42,5,42
43,3,44
43,4,43
43,5,43
44,3,45
44,4,44
44,5,44
45,3,63
45,4,45
45,5,45
46,3,64
46,4,46
46,5,46
47,3,65
47,4,47
47,5,47
48,3,66
48,4,48
48,5,48
49,3,67
49,4,49
49,5,49
50,3,68
50,4,50
50,5,50
51,3,69
51,4,51
51,5,51
52,3,70
52,4,52
52,5,52
53,3,71
53,4,53
53,5,53
54,4,54
54,5,54
55,3,73
55,4,55
55,5,55
56,3,74
56,4,56
56,5,56
57,3,75
57,4,57
57,5,57
58,3,76
58,4,58
58,5,58
59,3,77
59,4,59
59,5,59
60,3,78
60,4,60
60,5,60
61,3,79
61,4,61
61,5,61
62,4,62
62,5,62
63,3,80
63,4,63
63,5,63
64,3,81
64,4,64
64,5,64
65,3,39
65,4,65
65,5,65
66,3,40
66,4,66
66,5,66
67,3,41
67,4,67
67,5,67
68,3,42
68,4,68
68,5,68
69,3,43
69,4,69
69,5,69
70,3,46
70,4,70
70,5,70
71,3,47
71,4,71
71,5,71
72,3,48
72,4,72
72,5,72
73,3,49
73,4,73
73,5,73
74,3,50
74,4,74
74,5,74
75,3,51
75,4,75
75,5,75
76,3,83
76,4,76
76,5,76
77,3,84
77,4,77
77,5,77
78,3,85
78,4,78
78,5,78
79,3,86
79,4,79
79,5,79
80,3,93
80,4,80
80,5,80
81,3,94
81,4,81
81,5,81
82,3,95
82,4,82
82,5,82
83,3,96
83,4,83
83,5,83
84,3,97
84,4,84
84,5,84
85,3,98
85,4,85
85,5,85
86,3,103
86,4,86
86,5,86
87,3,104
87,4,87
87,5,87
88,3,106
88,4,88
88,5,88
89,3,107
89,4,89
89,5,89
90,3,108
90,4,90
90,5,90
91,3,109
91,4,91
91,5,91
92,3,110
92,4,92
92,5,92
93,3,111
93,4,93
93,5,93
94,4,94
94,5,94
95,4,95
95,5,95
96,4,96
96,5,96
97,4,97
97,5,97
98,4,98
98,5,98
99,3,286
99,4,99
99,5,99
100,3,287
100,4,100
100,5,100
101,3,357
101,4,101
101,5,101
102,3,358
102,4,102
102,5,102
103,3,354
103,4,103
103,5,103
104,4,104
104,5,104
105,4,105
105,5,105
106,4,106
106,5,106
107,4,107
107,5,107
108,4,108
108,5,108
109,4,109
109,5,109
110,4,110
110,5,110
111,4,111
111,5,111
112,4,135
112,5,135
113,4,136
113,5,136
114,4,137
115,4,138
116,4,139
117,4,140
118,4,141
119,4,142
120,4,143
121,4,144
122,4,145
123,4,146
124,4,147
125,4,148
126,3,133
126,4,149
126,5,149
127,3,134
127,4,150
127,5,150
128,3,135
128,4,151
128,5,151
129,3,136
129,4,152
129,5,152
130,3,137
130,4,153
130,5,153
131,3,138
131,4,154
131,5,154
132,3,139
132,4,155
132,5,155
133,3,140
133,4,156
133,5,156
134,3,141
134,4,157
134,5,157
135,3,142
135,4,158
135,5,158
136,3,143
136,4,159
136,5,159
137,3,144
137,4,160
137,5,160
138,3,145
138,4,161
138,5,161
139,3,146
139,4,162
139,5,162
140,3,147
140,4,163
140,5,163
141,3,148
141,4,164
141,5,164
142,3,149
142,4,165
142,5,165
143,3,150
143,4,166
143,5,166
144,3,151
144,4,167
144,5,167
145,3,152
145,4,168
145,5,168
146,3,153
146,4,169
146,5,169
147,3,154
147,4,170
147,5,170
148,3,155
148,4,171
148,5,171
149,3,156
149,4,172
149,5,172
150,3,157
150,4,173
150,5,173
151,3,158
151,4,174
151,5,174
152,3,159
152,4,175
152,5,175
153,3,160
153,4,176
153,5,176
154,3,161
154,4,177
154,5,177
155,3,162
155,4,178
155,5,178
156,3,163
156,4,179
156,5,179
157,3,164
157,4,180
157,5,180
158,3,165
158,4,181
158,5,181
159,3,166
159,4,182
159,5,182
