item_id,generation_id,internal_id
1,3,1
1,4,1
2,3,2
2,4,2
3,3,3
3,4,3
4,3,4
4,4,4
5,3,5
5,4,5
6,3,6
6,4,6
7,3,7
7,4,7
8,3,8
8,4,8
9,3,9
9,4,9
10,3,10
10,4,10
11,3,11
11,4,11
12,3,12
12,4,12
13,4,13
14,4,14
15,4,15
16,4,16
17,3,13
17,4,17
18,3,14
18,4,18
19,3,15
19,4,19
20,3,16
20,4,20
21,3,17
21,4,21
22,3,18
22,4,22
23,3,19
23,4,23
24,3,20
24,4,24
25,3,21
25,4,25
26,3,22
26,4,26
27,3,23
27,4,27
28,3,24
28,4,28
29,3,25
29,4,29
30,3,26
30,4,30
31,3,27
31,4,31
32,3,28
32,4,32
33,3,29
33,4,33
34,3,30
34,4,34
35,3,31
35,4,35
36,3,32
36,4,36
37,3,33
37,4,37
38,3,34
38,4,38
39,3,35
39,4,39
40,3,36
40,4,40
41,3,37
41,4,41
42,3,38
42,4,42
43,3,44
43,4,43
44,3,45
44,4,44
45,3,63
45,4,45
46,3,64
46,4,46
47,3,65
47,4,47
48,3,66
48,4,48
49,3,67
49,4,49
50,3,68
50,4,50
51,3,69
51,4,51
52,3,70
52,4,52
53,3,71
53,4,53
54,4,54
55,3,73
55,4,55
56,3,74
56,4,56
57,3,75
57,4,57
58,3,76
58,4,58
59,3,77
59,4,59
60,3,78
60,4,60
61,3,79
61,4,61
62,4,62
63,3,80
63,4,63
64,3,81
64,4,64
65,3,39
65,4,65
66,3,40
66,4,66
67,3,41
67,4,67
68,3,42
68,4,68
69,3,43
69,4,69
70,3,46
70,4,70
71,3,47
71,4,71
72,3,48
72,4,72
73,3,49
73,4,73
74,3,50
74,4,74
75,3,51
75,4,75
76,3,83
76,4,76
77,3,84
77,4,77
78,3,85
78,4,78
79,3,86
79,4,79
80,3,93
80,4,80
81,3,94
81,4,81
82,3,95
82,4,82
83,3,96
83,4,83
84,3,97
84,4,84
85,3,98
85,4,85
86,3,103
86,4,86
87,3,104
87,4,87
88,3,106
88,4,88
89,3,107
89,4,89
90,3,108
90,4,90
91,3,109
91,4,91
92,3,110
92,4,92
93,3,111
93,4,93
94,4,94
95,4,95
96,4,96
97,4,97
98,4,98
99,3,286
99,4,99
100,3,287
100,4,100
101,3,357
101,4,101
102,3,358
102,4,102
103,3,354
103,4,103
104,4,104
105,4,105
106,4,106
107,4,107
108,4,108
109,4,109
110,4,110
111,4,111
112,4,135
113,4,136
114,4,137
115,4,138
116,4,139
117,4,140
118,4,141
119,4,142
120,4,143
121,4,144
122,4,145
123,4,146
124,4,147
125,4,148
126,3,133
126,4,149
127,3,134
127,4,150
128,3,135
128,4,151
129,3,136
129,4,152
130,3,137
130,4,153
131,3,138
131,4,154
132,3,139
132,4,155
133,3,140
133,4,156
134,3,141
134,4,157
135,3,142
135,4,158
136,3,143
136,4,159
137,3,144
137,4,160
138,3,145
138,4,161
139,3,146
139,4,162
140,3,147
140,4,163
141,3,148
141,4,164
142,3,149
142,4,165
143,3,150
143,4,166
144,3,151
144,4,167
145,3,152
145,4,168
146,3,153
146,4,169
147,3,154
147,4,170
148,3,155
148,4,171
149,3,156
149,4,172
150,3,157
150,4,173
151,3,158
151,4,174
152,3,159
152,4,175
153,3,160
153,4,176
154,3,161
154,4,177
155,3,162
155,4,178
156,3,163
156,4,179
157,3,164
157,4,180
158,3,165
158,4,181
159,3,166
159,4,182
160,3,167
160,4,183
161,4,184
162,4,185
163,4,186
164,4,187
165,4,188
166,4,189
167,4,190
168,4,191
169,4,192
170,4,193
171,4,194
172,4,195
173,4,196
174,4,197
175,4,198
176,4,199
177,4,200
178,3,168
178,4,201
179,3,169
179,4,202
180,3,170
180,4,203
181,3,171
181,4,204
182,3,172
182,4,205
183,3,173
183,4,206
184,3,174
184,4,207
185,3,175
185,4,208
186,4,209
187,4,210
188,4,211
189,4,212
190,3,179
190,4,213
191,3,180
191,4,214
192,3,181
192,4,215
193,3,182
193,4,216
194,3,183
194,4,217
195,3,184
195,4,218
196,3,185
196,4,219
197,3,186
197,4,220
198,3,187
198,4,221
199,3,188
199,4,222
200,3,189
200,4,223
201,3,190
201,4,224
202,3,191
202,4,225
203,3,192
203,4,226
204,3,193
204,4,227
205,3,194
205,4,228
206,3,195
206,4,229
207,3,196
207,4,230
208,3,197
208,4,231
209,3,198
209,4,232
210,3,199
210,4,233
211,3,200
211,4,234
212,3,201
212,4,235
213,3,202
213,4,236
214,3,203
214,4,237
215,3,204
215,4,238
216,3,205
216,4,239
217,3,206
217,4,240
218,3,207
218,4,241
219,3,208
219,4,242
220,3,209
220,4,243
221,3,210
221,4,244
222,3,211
222,4,245
223,3,212
223,4,246
224,3,213
224,4,247
225,3,214
225,4,248
226,3,215
226,4,249
227,3,216
227,4,250
228,3,217
228,4,251
229,3,218
229,4,252
230,3,219
230,4,253
231,3,220
231,4,254
232,3,221
232,4,255
233,3,222
233,4,256
234,3,223
234,4,257
235,3,224
235,4,258
236,3,225
236,4,259
237,3,254
237,4,260
238,3,255
238,4,261
239,3,256
239,4,262
240,3,257
240,4,263
241,3,258
241,4,264
242,4,265
243,4,266
244,4,267
245,4,268
