item_id,local_language_id,short_effect,effect
1,9,Catches a wild Pokémon every time.,"Used in battle
:   [Catches]{mechanic:catch} a wild Pokémon without fail.

    If used in a trainer battle, nothing happens and the ball is lost."
2,9,Tries to catch a wild Pokémon.  Success rate is 2×.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon, using a catch rate of 2×.

    If used in a trainer battle, nothing happens and the ball is lost."
3,9,Tries to catch a wild Pokémon.  Success rate is 1.5×.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon, using a catch rate of 1.5×.

    If used in a trainer battle, nothing happens and the ball is lost."
4,9,Tries to catch a wild Pokémon.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon, using a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost."
5,9,Tries to catch a wild Pokémon in the Great Marsh or Safari Zone.  Success rate is 1.5×.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon, using a catch rate of 1.5×.

This item can only be used in the [Great Marsh]{location:great-marsh} or [Safari Zone]{location:Safari Zone}."
6,9,Tries to catch a wild Pokémon.  Success rate is 3× for water and bug Pokémon.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon.  If the wild Pokémon is [water]{type:water}- or [bug]{type:bug}-type, this ball has a catch rate of 3×.  Otherwise, it has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost."
7,9,Tries to catch a wild Pokémon.  Success rate is 3.5× when fishing or surfing.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon.  If the wild Pokémon was encountered by surfing or fishing, this ball has a catch rate of 3.5×.  Otherwise, it has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost."
8,9,"Tries to catch a wild Pokémon.  Success rate is 3.9× for level 1 Pokémon, and drops steadily to 1× at level 30.","Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon.  Has a catch rate of given by `(40 - level) / 10`, where `level` is the wild Pokémon's level, to a maximum of 3.9× for level 1 Pokémon.  If the wild Pokémon's level is higher than 30, this ball has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost."
9,9,Tries to catch a wild Pokémon.  Success rate is 3× for previously-caught Pokémon.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon.  If the wild Pokémon's species is marked as caught in the trainer's Pokédex, this ball has a catch rate of 3×.  Otherwise, it has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost."
10,9,"Tries to catch a wild Pokémon.  Success rate increases by 0.1× every turn, to a max of 4×.","Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon.  Has a catch rate of 1.1× on the first turn of the battle and increases by 0.1× every turn, to a maximum of 4× on turn 30.

    If used in a trainer battle, nothing happens and the ball is lost."
11,9,Tries to catch a wild Pokémon.  Caught Pokémon start with 200 happiness.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon, using a catch rate of 1×.  Whenever the caught Pokémon's [happiness]{mechanic:happiness} increases, it increases by one extra point.

    If used in a trainer battle, nothing happens and the ball is lost."
12,9,Tries to catch a wild Pokémon.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon, using a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost."
13,9,Tries to catch a wild Pokémon.  Success rate is 3.5× at night and in caves.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon.  If it's currently nighttime or the wild Pokémon was encountered while walking in a cave, this ball has a catch rate of 3.5×.  Otherwise, it has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost."
14,9,Tries to catch a wild Pokémon.  Caught Pokémon are immediately healed.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon, using a catch rate of 1×.  The caught Pokémon's [HP]{mechanic:hp} is immediately restored, [PP]{mechanic:pp} for all its moves is restored, and any [status ailment]{mechanic:status ailment} is cured.

    If used in a trainer battle, nothing happens and the ball is lost."
15,9,"Tries to catch a wild Pokémon.  Success rate is 4×, but only on the first turn.","Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon, using a catch rate of 4× on the first turn of a battle, but 1× any other time.

    If used in a trainer battle, nothing happens and the ball is lost."
16,9,Tries to catch a wild Pokémon.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon, using a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost."
17,9,Restores 20 HP.,"Used on a friendly Pokémon
:   Restores 20 [HP]{mechanic:hp}."
18,9,Cures poison.,"Used on a party Pokémon
:   Cures [poison]{mechanic:poison}."
19,9,Cures a burn.,"Used on a party Pokémon
:   Cures a [burn]{mechanic:burn}."
20,9,Cures freezing.,"Used on a party Pokémon
:   Cures [freezing]{mechanic:freezing}."
21,9,Cures sleep.,"Used on a party Pokémon
:   Cures [sleep]{mechanic:sleep}."
22,9,Cures paralysis.,"Used on a party Pokémon
:   Cures [paralysis]{mechanic:paralysis}."
23,9,Restores HP to full and cures any status ailment and confusion.,"Used on a party Pokémon
:   Restores [HP]{mechanic:hp} to full and cures any [status ailment]{mechanic:status ailment} and [confusion]{mechanic:confusion}."
24,9,Restores HP to full.,"Used on a party Pokémon
:   Restores [HP]{mechanic:hp} to full."
25,9,Restores 200 HP.,"Used on a party Pokémon
:   Restores 200 [HP]{mechanic:hp}."
26,9,Restores 50 HP.,"Used on a party Pokémon
:   Restores 50 [HP]{mechanic:hp}."
27,9,Cures any status ailment and confusion.,"Used on a party Pokémon
:   Cures any [status ailment]{mechanic:status ailment} and [confusion]{mechanic:confusion}."
28,9,Revives with half HP.,"Used on a party Pokémon
:   Revives the Pokémon and restores half its [HP]{mechanic:hp}."
29,9,Revives with full HP.,"Used on a party Pokémon
:   Revives the Pokémon and restores its [HP]{mechanic:hp} to full."
30,9,Restores 50 HP.,"Used on a party Pokémon
:   Restores 50 [HP]{mechanic:hp}."
31,9,Restores 60 HP.,"Used on a party Pokémon
:   Restores 60 [HP]{mechanic:hp}."
32,9,Restores 80 HP.,"Used on a party Pokémon
:   Restores 80 [HP]{mechanic:hp}."
33,9,Restores 100 HP.,"Used on a party Pokémon
:   Restores 100 [HP]{mechanic:hp}."
34,9,"Restores 50 HP, but lowers happiness.","Used on a party Pokémon
:   Restores 50 [HP]{mechanic:hp}.  Decreases [happiness]{mechanic:happiness} by 5/5/10."
35,9,"Restores 200 HP, but lowers happiness.","Used on a party Pokémon
:   Restores 200 [HP]{mechanic:hp}.  Decreases [happiness]{mechanic:happiness} by 10/10/15."
36,9,"Cures any status ailment, but lowers happiness.","Used on a party Pokémon
:   Cures any [status ailment]{mechanic:status ailment}.  Decreases [happiness]{mechanic:happiness} by 5/5/10."
37,9,"Revives with full HP, but lowers happiness.","Used on a party Pokémon
:   Revives a [fainted]{mechanic:faint} Pokémon and restores its [HP]{mechanic:hp} to full.  Decreases [happiness]{mechanic:happiness} by 10/10/15."
38,9,Restores 10 PP for one move.,"Used on a party Pokémon
:   Restores 10 [PP]{mechanic:pp} for a selected move."
39,9,Restores PP to full for one move.,"Used on a party Pokémon
:   Restores [PP]{mechanic:pp} to full for a selected move."
40,9,Restores 10 PP for each move.,"Used on a party Pokémon
:   Restores 10 [PP]{mechanic:pp} for each move."
41,9,Restores PP to full for each move.,"Used on a party Pokémon
:   Restores [PP]{mechanic:pp} to full for each move."
42,9,Cures any status ailment and confusion.,"Used on a party Pokémon
:   Cures any [status ailment]{mechanic:status ailment} and [confusion]{mechanic:confusion}."
43,9,Restores 20 HP.,"Used on a party Pokémon
:   Restores 20 [HP]{mechanic:hp}."
44,9,Revives all fainted Pokémon with full HP.,"Used
:   Revives all [fainted]{mechanic:faint} Pokémon in the party and restores their [HP]{mechanic:hp} to full."
45,9,Raises HP effort and happiness.,"Used on a party Pokémon
:   Increases [HP]{mechanic:hp} [effort]{mechanic:effort} by 10, but won't increase it beyond 100.  Increases [happiness]{mechanic:happiness} by 5/3/2."
46,9,Raises Attack effort and happiness.,"Used on a party Pokémon
:   Increases [Attack]{mechanic:attack} [effort]{mechanic:effort} by 10, but won't increase it beyond 100.  Increases [happiness]{mechanic:happiness} by 5/3/2."
47,9,Raises Defense effort and happiness.,"Used on a party Pokémon
:   Increases [Defense]{mechanic:defense} [effort]{mechanic:effort} by 10, but won't increase it beyond 100.  Increases [happiness]{mechanic:happiness} by 5/3/2."
48,9,Raises Speed effort and happiness.,"Used on a party Pokémon
:   Increases [Speed]{mechanic:speed} [effort]{mechanic:effort} by 10, but won't increase it beyond 100.  Increases [happiness]{mechanic:happiness} by 5/3/2."
49,9,Raises Special Attack effort and happiness.,"Used on a party Pokémon
:   Increases [Special Attack]{mechanic:special attack} [effort]{mechanic:effort} by 10, but won't increase it beyond 100.  Increases [happiness]{mechanic:happiness} by 5/3/2."
50,9,Causes a level-up and raises happiness.,"Used on a party Pokémon
:   Increases level by 1.  Increases [happiness]{mechanic:happiness} by 5/3/2."
51,9,Raises a move's max PP by 20%.,"Used on a party Pokémon
:   Increases a selected move's max [PP]{mechanic:pp} by 20% its original max PP, to a maximum of 1.6×.  Increases [happiness]{mechanic:happiness} by 5/3/2."
52,9,Raises Special Defense and happiness.,"Used on a party Pokémon
:   Increases [Special Defense]{mechanic:special defense} [effort]{mechanic:effort} by 10, but won't increase it beyond 100.  Increases [happiness]{mechanic:happiness} by 5/3/2."
53,9,Raises a move's max PP by 60%.,"Used on a party Pokémon
:   Increases a selected move's max [PP]{mechanic:pp} to 1.6× its original max PP.  Increases [happiness]{mechanic:happiness} by 5/3/2."
54,9,Cures any status ailment and confusion.,"Used on a party Pokémon
:   Cures any [status ailment]{mechanic:status ailment} and [confusion]{mechanic:confusion}."
55,9,Prevents stat changes in battle for five turns in battle.  Raises happiness.,"Used on a party Pokémon in battle
:   Protects the target's stats from being [lowered]{mechanic:lower} for the next five turns.  Increases happiness by 1/1/0."
56,9,Increases the chance of a critical hit in battle.  Raises happiness.,"Used on a party Pokémon in battle
:   Increases the target's [critical hit chance]{mechanic:critical hit chance} by one stage until it leaves the field.  Increases happiness by 1/1/0."
57,9,Raises Attack by one stage in battle.  Raises happiness.,"Used on a party Pokémon in battle
:   [Raises]{mechanic:raise} the target's [Attack]{mechanic:attack} by one stage.  Increases happiness by 1/1/0."
58,9,Raises Defense by one stage in battle.  Raises happiness.,"Used on a party Pokémon in battle
:   [Raises]{mechanic:raise} the target's [Defense]{mechanic:defense} by one stage.  Increases happiness by 1/1/0."
59,9,Raises Speed by one stage in battle.  Raises happiness.,"Used on a party Pokémon in battle
:   [Raises]{mechanic:raise} the target's [Speed]{mechanic:speed} by one stage.  Increases happiness by 1/1/0."
60,9,Raises accuracy by one stage in battle.  Raises happiness.,"Used on a party Pokémon in battle
:   [Raises]{mechanic:raise} the target's [accuracy]{mechanic:accuracy} by one stage.  Increases happiness by 1/1/0."
61,9,Raises Special Attack by one stage in battle.  Raises happiness.,"Used on a party Pokémon in battle
:   [Raises]{mechanic:raise} the target's [Special Attack]{mechanic:special attack} by one stage.  Increases happiness by 1/1/0."
62,9,Raises Special Defense by one stage in battle.  Raises happiness.,"Used on a party Pokémon in battle
:   [Raises]{mechanic:raise} the target's [Special Defense]{mechanic:special defense} by one stage.  Increases happiness by 1/1/0."
63,9,Ends a wild battle.,"Used in battle
:   Ends a wild battle.  Cannot be used in trainer battles."
64,9,Ends a wild battle.,"Used in battle
:   Ends a wild battle.  Cannot be used in trainer battles."
65,9,Cures sleep.,"Used on a party Pokémon
:   Cures [sleep]{mechanic:sleep}."
66,9,Cures confusion.,"Used on a party Pokémon in battle
:   Cures [confusion]{mechanic:confusion}."
67,9,Cures attraction.,"Used on a party Pokémon in battle
:   Cures [attraction]{mechanic:attraction}."
68,9,Halves the wild Pokémon encounter rate.,"Used outside of battle
:   Decreases the wild Pokémon encounter rate by 50%."
69,9,Doubles the wild Pokémon encounter rate.,"Used outside of battle
:   Doubles the wild Pokémon encounter rate."
70,9,No effect.,No effect.
71,9,No effect.,No effect.
72,9,No effect.,"No effect.

In Diamond and Pearl, trade ten for a [Sunny Day]{move:sunny-day} [TM]{item:tm11} in the house midway along the southern section of [Route 212]{location:sinnoh-route-212}.

In Platinum, trade to [move tutors]{mechanic:move tutor} on [Route 212]{location:sinnoh-route-212}, in [Snowpoint City]{location:snowpoint-city}, and in the [Survival Area]{location:survival-area}.  Eight shards total are required per tutelage, but the particular combination of colors varies by move.

In HeartGold and SoulSilver, trade one for a [Cheri Berry]{item:cheri-berry}, a [Leppa Berry]{item:leppa-berry}, and a [Pecha Berry]{item:pecha-berry} with the Juggler near the Pokémon Center in [Violet City]{location:violet-city}.

In HeartGold and SoulSilver, trade one for a [Persim Berry]{item:persim-berry}, a [Pomeg Berry]{item:pomeg-berry}, and a [Razz Berry]{item:razz-berry} with the Juggler near the [Pal Park]{location:pal-park} entrance in [Fuchsia City]{location:fuchsia-city}."
