id,region_id,identifier
1,4,canalave-city
2,4,eterna-city
3,4,pastoria-city
4,4,sunyshore-city
5,4,pokemon-league
6,4,oreburgh-mine
7,4,valley-windworks
8,4,eterna-forest
9,4,fuego-ironworks
10,4,mt-coronet
11,4,great-marsh
12,4,solaceon-ruins
13,4,victory-road
14,4,ravaged-path
15,4,oreburgh-gate
16,4,stark-mountain
17,4,spring-path
18,4,turnback-cave
19,4,snowpoint-temple
20,4,wayward-cave
22,4,ruin-maniac-cave
23,4,trophy-garden
24,4,iron-island
25,4,old-chateau
26,4,lake-verity
27,4,lake-valor
28,4,lake-acuity
29,4,valor-lakefront
30,4,acuity-lakefront
31,4,route-201
32,4,route-202
33,4,route-203
34,4,route-204
35,4,route-205
36,4,route-206
37,4,route-207
38,4,route-208
39,4,route-209
40,4,lost-tower
41,4,route-210
42,4,route-211
43,4,route-212
44,4,route-213
45,4,route-214
46,4,route-215
47,4,route-216
48,4,route-217
49,4,route-218
50,4,route-219
51,4,route-221
52,4,route-222
53,4,route-224
54,4,route-225
55,4,route-227
56,4,route-228
57,4,route-229
58,4,twinleaf-town
59,4,celestic-town
60,4,resort-area
61,4,sea-route-220
62,4,sea-route-223
63,4,sea-route-226
64,4,sea-route-230
65,2,blackthorn-city
66,2,burned-tower
67,1,celadon-city
68,1,cerulean-city
69,2,cherrygrove-city
70,2,cianwood-city
71,1,cinnabar-island
72,2,dark-cave
73,1,digletts-cave
74,2,dragons-den
75,2,ecruteak-city
76,1,fuchsia-city
77,2,ice-path
78,2,ilex-forest
79,2,lake-of-rage
80,1,mt-moon
81,2,mt-mortar
82,2,mt-silver
83,2,national-park
84,2,new-bark-town
85,2,olivine-city
86,1,pallet-town
87,1,rock-tunnel
88,1,route-1
89,1,route-10
90,1,route-11
91,1,route-12
92,1,route-13
93,1,route-14
94,1,route-15
95,1,route-16
96,1,route-17
97,1,route-18
98,1,sea-route-19
99,1,route-2
100,1,sea-route-20
101,1,sea-route-21
102,1,route-22
103,1,route-24
104,1,route-25
105,1,route-26
106,1,route-27
107,1,route-28
108,2,route-29
109,1,route-3
110,2,route-30
111,2,route-31
112,2,route-32
113,2,route-33
114,2,route-34
115,2,route-35
116,2,route-36
117,2,route-37
118,2,route-38
119,2,route-39
120,1,route-4
121,2,sea-route-40
122,2,sea-route-41
123,2,route-42
124,2,route-43
125,2,route-44
126,2,route-45
127,2,route-46
128,2,route-47
129,2,route-48
130,1,route-5
131,1,route-6
132,1,route-7
133,1,route-8
134,1,route-9
135,2,ruins-of-alph
136,1,seafoam-islands
137,2,slowpoke-well
138,2,sprout-tower
139,2,bell-tower
140,2,tohjo-falls
141,2,union-cave
147,1,cerulean-cave
148,2,unknown-all-poliwag
149,2,unknown-all-rattata
150,2,unknown-all-bugs
151,1,vermilion-city
152,1,victory-road
153,2,violet-city
154,1,viridian-city
155,1,viridian-forest
156,2,whirl-islands
157,1,route-23
158,1,power-plant
159,1,victory-road
160,1,pokemon-tower
161,1,pokemon-mansion
162,1,safari-zone
163,4,sandgem-town
164,4,floaroma-town
165,4,solaceon-town
167,4,jubilife-city
168,4,oreburgh-city
169,4,hearthome-city
170,4,veilstone-city
171,4,snowpoint-city
172,4,spear-pillar
173,4,pal-park
174,4,amity-square
175,4,floaroma-meadow
177,4,fullmoon-island
178,4,sendoff-spring
179,4,flower-paradise
180,4,maniac-tunnel
181,4,galactic-hq
182,4,verity-lakefront
183,4,newmoon-island
184,4,battle-tower
185,4,fight-area
186,4,survival-area
187,4,seabreak-path
188,4,hall-of-origin
189,4,hall-of-origin
190,4,verity-cavern
191,4,valor-cavern
192,4,acuity-cavern
193,4,jubilife-tv
194,4,poketch-co
195,4,gts
196,4,trainers-school
197,4,mining-museum
198,4,flower-shop
199,4,cycle-shop
200,4,contest-hall
201,4,poffin-house
202,4,foreign-building
203,4,pokemon-day-care
204,4,veilstone-store
205,4,game-corner
206,4,canalave-library
207,4,vista-lighthouse
208,4,sunyshore-market
209,4,footstep-house
210,4,cafe
211,4,grand-lake
212,4,restaurant
213,4,battle-park
214,4,battle-frontier
215,4,battle-factory
216,4,battle-castle
217,4,battle-arcade
218,4,battle-hall
