machine_number,version_group_id,move_id
1,1,5
1,2,5
1,3,223
1,4,223
1,5,264
1,6,264
1,7,264
1,8,264
1,9,264
1,10,264
2,1,13
2,2,13
2,3,29
2,4,29
2,5,337
2,6,337
2,7,337
2,8,337
2,9,337
2,10,337
3,1,14
3,2,14
3,3,174
3,4,174
3,5,352
3,6,352
3,7,352
3,8,352
3,9,352
3,10,352
4,1,18
4,2,18
4,3,205
4,4,205
4,5,347
4,6,347
4,7,347
4,8,347
4,9,347
4,10,347
5,1,25
5,2,25
5,3,46
5,4,46
5,5,46
5,6,46
5,7,46
5,8,46
5,9,46
5,10,46
6,1,92
6,2,92
6,3,92
6,4,92
6,5,92
6,6,92
6,7,92
6,8,92
6,9,92
6,10,92
7,1,32
7,2,32
7,3,192
7,4,192
7,5,258
7,6,258
7,7,258
7,8,258
7,9,258
7,10,258
8,1,34
8,2,34
8,3,249
8,4,249
8,5,339
8,6,339
8,7,339
8,8,339
8,9,339
8,10,339
9,1,36
9,2,36
9,3,244
9,4,244
9,5,331
9,6,331
9,7,331
9,8,331
9,9,331
9,10,331
10,1,38
10,2,38
10,3,237
10,4,237
10,5,237
10,6,237
10,7,237
10,8,237
10,9,237
10,10,237
11,1,61
11,2,61
11,3,241
11,4,241
11,5,241
11,6,241
11,7,241
11,8,241
11,9,241
11,10,241
12,1,55
12,2,55
12,3,230
12,4,230
12,5,269
12,6,269
12,7,269
12,8,269
12,9,269
12,10,269
13,1,58
13,2,58
13,3,173
13,4,173
13,5,58
13,6,58
13,7,58
13,8,58
13,9,58
13,10,58
14,1,59
14,2,59
14,3,59
14,4,59
14,5,59
14,6,59
14,7,59
14,8,59
14,9,59
14,10,59
15,1,63
15,2,63
15,3,63
15,4,63
15,5,63
15,6,63
15,7,63
15,8,63
15,9,63
15,10,63
16,1,6
16,2,6
16,3,196
16,4,196
16,5,113
16,6,113
16,7,113
16,8,113
16,9,113
16,10,113
17,1,66
17,2,66
17,3,182
17,4,182
17,5,182
17,6,182
17,7,182
17,8,182
17,9,182
17,10,182
18,1,68
18,2,68
18,3,240
18,4,240
18,5,240
18,6,240
18,7,240
18,8,240
18,9,240
18,10,240
19,1,69
19,2,69
19,3,202
19,4,202
19,5,202
19,6,202
19,7,202
19,8,202
19,9,202
19,10,202
20,1,99
20,2,99
20,3,203
20,4,203
20,5,219
20,6,219
20,7,219
20,8,219
20,9,219
20,10,219
21,1,72
21,2,72
21,3,218
21,4,218
21,5,218
21,6,218
21,7,218
21,8,218
21,9,218
21,10,218
22,1,76
22,2,76
22,3,76
22,4,76
22,5,76
22,6,76
22,7,76
22,8,76
22,9,76
22,10,76
23,1,82
23,2,82
23,3,231
23,4,231
23,5,231
23,6,231
23,7,231
23,8,231
23,9,231
23,10,231
24,1,85
24,2,85
24,3,225
24,4,225
24,5,85
24,6,85
24,7,85
24,8,85
24,9,85
24,10,85
25,1,87
25,2,87
25,3,87
25,4,87
25,5,87
25,6,87
25,7,87
25,8,87
25,9,87
25,10,87
26,1,89
26,2,89
26,3,89
26,4,89
26,5,89
26,6,89
26,7,89
26,8,89
26,9,89
26,10,89
27,1,90
27,2,90
27,3,216
27,4,216
27,5,216
27,6,216
27,7,216
27,8,216
27,9,216
27,10,216
28,1,91
28,2,91
28,3,91
28,4,91
28,5,91
28,6,91
28,7,91
28,8,91
28,9,91
28,10,91
29,1,94
29,2,94
29,3,94
29,4,94
29,5,94
29,6,94
29,7,94
29,8,94
29,9,94
29,10,94
30,1,100
30,2,100
30,3,247
30,4,247
30,5,247
30,6,247
30,7,247
30,8,247
30,9,247
30,10,247
31,1,102
31,2,102
31,3,189
31,4,189
31,5,280
31,6,280
31,7,280
31,8,280
31,9,280
31,10,280
32,1,104
