move_id,changed_in_version_group_id,type_id,power,pp,accuracy,effect_id,effect_chance
2,3,1,,,,,
13,3,,,,75,,
16,3,1,,,,1,
17,3,,35,,,,
20,11,,,,75,,
23,3,,,,,32,
26,11,,85,25,,,
33,11,,35,,95,,
35,11,,,,85,,
37,11,,90,20,,,
38,3,,100,,,49,
40,3,,,,,,20
44,3,1,,,,,10
50,11,,,,80,,
57,5,,,,,1,
59,3,,,,90,,
59,8,,,,,6,
67,3,,50,,90,1,
74,11,,,,,14,
76,3,,,,,81,
80,11,,90,20,,,
83,11,,15,,70,,
87,3,,,,,7,10
89,3,,,,,1,
92,11,,,,85,,
94,3,,,,,,30
95,8,,,,60,,
95,9,,,,70,,
107,3,,,,,17,
111,3,,,,,12,
120,3,,130,,,,
126,3,,,,,,30
128,11,,,,75,,
130,3,,,,,81,
136,11,,100,20,,,
137,11,,,,75,,
139,11,,,,55,,
143,3,,,,,81,0
146,3,,,,,1,0
152,11,,,,85,,
153,3,,170,,,,
157,3,,,,,1,0
161,3,,,,,1,0
170,11,,,40,,,
174,11,10001,,,,,
178,11,,,,85,,
202,11,,60,,,,
210,11,,10,,,,
248,11,,80,15,90,,
250,11,,15,,70,,
251,11,,10,,,,
253,11,,50,,,,
294,11,,,,,54,
328,11,,15,,70,,
331,11,,10,,,,
333,11,,10,,,,
343,11,,40,,,,
350,11,,,,80,,
353,11,,120,,85,,
382,11,,0,,,,
386,11,,60,,,,
387,11,,130,,,,
409,11,,60,5,,,
463,11,,,,70,,
