move_effect_changelog_id,local_language_id,effect
1,9,"Halves the target's [Defense]{mechanic} for damage calculation, which is similar to doubling the attack's [power]{mechanic}."
2,9,Hits Pokémon under the effects of [Dig]{move} and [Fly]{move}.
3,9,Does nothing in trainer battles.
4,9,Works while asleep through [Sleep Talk]{move} if not at full health.
5,9,"If this move misses, the user takes 1 point of damage in recoil."
6,9,"If this move misses, the user takes half of the damage it would have inflicted in recoil."
7,9,"Locks the user into this move.  Due to a bug, if this move misses, its [accuracy]{mechanic} drops to 1/256 as long as the user is still locked in."
8,9,Can call any move except for [Struggle]{move} and itself.
9,9,Does not interact with [Stomp]{move}.
10,9,Raises [evasion]{mechanic} by one stage.
11,9,Does not raise [Defense]{mechanic}.
12,9,Does not hit Pokémon under the effects of [Dig]{move}.
13,9,Does not hit Pokémon under the effects of [Fly]{move}.
14,9,Does not interact with [Minimize]{move}.
15,9,Does not hit Pokémon under the effects of [Fly]{move}.
16,9,Determines damage using each participant's base [Attack]{mechanic} and the opponent's base [Defense]{mechanic} in place of calculated stats.
17,9,"[Swift]{move} can hit the user while in the air, and no other moves can.  Due to a bug, if the user fails to carry out the move's second turn, e.g. due to [paralysis]{mechanic}, it remains in the air until it switches out or uses Fly again successfully.  It can act as if it were on the ground in the meantime, but moves still miss it."
18,9,Does not raise [Defense]{mechanic} or [Special Defense]{mechanic}.
19,9,Does not raise the user's [Special Defense]{mechanic}.
20,9,Heals replacement Pokémon by half of their max HP.
21,9,Inflicts [normal]{type}-type damage and the user receives 1/2 of damage dealt in recoil.
22,9,"[Swift]{move} can hit the user while underground, and no other moves can.  Due to a bug, if the user fails to carry out the move's second turn, e.g. due to [paralysis]{mechanic}, it remains underground until it switches out or uses Dig again successfully.  It can act as if it were aboveground in the meantime, but moves still miss it."
23,9,Does not interact with [Hail]{move}.
24,9,Ignores [Wonder Guard]{ability}.
