move_effect_id,local_language_id,short_effect,effect
1,9,Inflicts regular damage with no additional effect.,Inflicts [regular damage]{mechanic:regular damage}.
2,9,Puts the target to sleep.,Puts the target to [sleep]{mechanic:sleep}.
3,9,Has a $effect_chance% chance to poison the target.,Inflicts [regular damage]{mechanic:regular damage}.  Has a $effect_chance% chance to [poison]{mechanic:poison} the target.
4,9,Heals the user by half the damage inflicted.,Inflicts [regular damage]{mechanic:regular damage}.  Heals the user for half the damage inflicted.
5,9,Has a $effect_chance% chance to [burn]{mechanic} the target.,Inflicts [regular damage]{mechanic:regular damage}.  Has a $effect_chance% chance to [burn]{mechanic:burn} the target.
6,9,Has a $effect_chance% chance to freeze the target.,Inflicts [regular damage]{mechanic:regular damage}.  Has a $effect_chance% chance to [freeze]{mechanic:freeze} the target.
7,9,Has a $effect_chance% chance to paralyze the target.,Inflicts [regular damage]{mechanic:regular damage}.  Has a $effect_chance% chance to [paralyze]{mechanic:paralyze} the target.
8,9,User faints.,"User [faint]{mechanic:faint}s, even if the attack [fail]{mechanic:fail}s or [miss]{mechanic:miss}es.  Inflicts [regular damage]{mechanic:regular damage}."
9,9,Only works on sleeping Pokémon.  Heals the user by half the damage inflicted.,Only works on [sleep]{mechanic:sleep}ing Pokémon.  Inflicts [regular damage]{mechanic:regular damage}.  Heals the user for half the damage inflicted.
10,9,Uses the target's last used move.,"Uses the last move targeted at the user by a Pokémon still on the [field]{mechanic:field}.  A move counts as targeting the user even if it hit multiple Pokémon, as long as the user was one of them; however, moves targeting the [field]{mechanic:field} itself do not count.  If the user has not been targeted by an appropriate move since entering the [field]{mechanic:field}, or if no Pokémon that targeted the user remains on the [field]{mechanic:field}, this move will [fail]{mechanic:fail}.

Moves that [fail]{mechanic:fail}ed, [miss]{mechanic:miss}ed, had [no effect]{mechanic:no effect}, or were [block]{mechanic:block}ed are still copied.

Assist moves, time-delayed moves, “meta” moves that operate on other moves/Pokémon/abilities, and some other special moves cannot be copied and are ignored; if the last move to hit the user was such a move, the previous move will be used instead.  The full list of ignored moves is: [Acupressure]{move:acupressure}, [Assist]{move:assist}, [Chatter]{move:chatter}, [Copycat]{move:copycat}, [Counter]{move:counter}, [Curse]{move:curse}, [Doom Desire]{move:doom-desire}, [Feint]{move:feint}, [Focus Punch]{move:focus-punch}, [Future Sight]{move:future-sight}, [Helping Hand]{move:helping-hand}, [Magic Coat]{move:magic-coat}, [Me First]{move:me-first}, [Metronome]{move:metronome}, [Mimic]{move:mimic}, [Mirror Coat]{move:mirror-coat}, [Mirror Move]{move:mirror-move}, [Nature Power]{move:nature-power}, [Perish Song]{move:perish-song}, [Psych Up]{move:psych-up}, [Role Play]{move:role-play}, [Sketch]{move:sketch}, [Sleep Talk]{move:sleep-talk}, [Snatch]{move:snatch}, [Spit Up]{move:spit-up}, [Struggle]{move:struggle}, and [Transform]{move:transform}.

This move cannot be selected by [Assist]{move:assist}, [Metronome]{move:metronome}, or [Sleep Talk]{move:sleep-talk}, nor forced by [Encore]{move:encore}."
11,9,Raises the user's Attack by one stage.,Raises the user's [Attack]{mechanic:attack} by one [stage]{mechanic:stage}.
12,9,Raises the user's Defense by one stage.,Raises the user's [Defense]{mechanic:defense} by one [stage]{mechanic:stage}.
14,9,Raises the user's Special Attack by one stage.,Raises the user's [Special Attack]{mechanic:special attack} by one [stage]{mechanic:stage}.
17,9,Raises the user's evasion by one stage.,Raises the user's [evasion]{mechanic:evasion} by one [stage]{mechanic:stage}.
18,9,Never misses.,Inflicts [regular damage]{mechanic:regular damage}.  Ignores [accuracy]{mechanic:accuracy} and [evasion]{mechanic:evasion} modifiers.
19,9,Lowers the target's Attack by one stage.,Lowers the target's [Attack]{mechanic:attack} by one [stage]{mechanic:stage}.
20,9,Lowers the target's Defense by one stage.,Lowers the target's [Defense]{mechanic:defense} by one [stage]{mechanic:stage}.
21,9,Lowers the target's Speed by one stage.,Lowers the target's [Speed]{mechanic:speed} by one [stage]{mechanic:stage}.
24,9,Lowers the target's accuracy by one stage.,Lowers the target's [accuracy]{mechanic:accuracy} by one [stage]{mechanic:stage}.
25,9,Lowers the target's evasion by one stage.,Lowers the target's [evasion]{mechanic:evasion} by one [stage]{mechanic:stage}.
26,9,"Resets all Pokémon's stats, accuracy, and evasion.","Removes [stat]{mechanic:stat}, [accuracy]{mechanic:accuracy}, and [evasion]{mechanic:evasion} modifiers from every Pokémon on the [field]{mechanic:field}.

This does not count as a stat reduction for the purposes of [Clear Body]{ability:clear-body} or [White Smoke]{ability:white-smoke}."
27,9,"User waits for two turns, then hits back for twice the damage it took.","User waits for two turns.  On the second turn, the user inflicts twice the damage it accumulated on the last Pokémon to hit it.  Damage inflicted is [typeless]{mechanic:typeless}.

This move cannot be selected by [Sleep Talk]{move:sleep-talk}."
28,9,"Hits every turn for 2-3 turns, then confuses the user.","Inflicts [regular damage]{mechanic:regular damage}.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes [confused]{mechanic:confused}.

[Safeguard]{move:safeguard} does not protect against the [confusion]{mechanic:confusion} from this move."
29,9,Immediately ends wild battles.  Forces trainers to switch Pokémon.,"[Switch]{mechanic:switch}es the target out for another of its trainer's Pokémon selected at random.  Wild battles end immediately.

Doesn't affect Pokémon with [Suction Cups]{ability:suction-cups} or under the effect of [Ingrain]{move:ingrain}."
30,9,Hits 2-5 times in one turn.,"Inflicts [regular damage]{mechanic:regular damage}.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
31,9,User's type changes to the type of one of its moves at random.,"User's [type]{mechanic:type} changes to the [type]{mechanic:type} of one of its moves, selected at random.  [Hidden Power]{move:hidden-power} and [Weather Ball]{move:weather-ball} are treated as [Normal]{type:normal}.  Only moves with a different [type]{mechanic:type} are eligible, and [Curse]{move:curse} is never eligible.  If the user has no suitable moves, this move will fail."
32,9,Has a $effect_chance% chance to make the target flinch.,Inflicts [regular damage]{mechanic:regular damage}.  Has a $effect_chance% chance to make the target flinch.
33,9,Heals the user by half its max HP.,Heals the user for half its max [HP]{mechanic:hp}.
34,9,"Badly poisons the target, inflicting more damage every turn.",[Badly poisons]{mechanic:badly poisons} the target.
35,9,Scatters money on the ground worth five times the user's level.,"Inflicts [regular damage]{mechanic:regular damage}.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used."
36,9,Reduces damage from special attacks by 50% for five turns..,"Erects a barrier around the user's side of the field that reduces damage from [special]{mechanic:special} attacks by half for five turns.  In double battles, the reduction is 1/3.  [Critical hit]{mechanic:critical hit}s are not affected by the barrier.

If the user is holding [Light Clay]{item:light-clay}, the barrier lasts for eight turns.

[Brick Break]{move:brick-break} or [Defog]{move:defog} used by an opponent will destroy the barrier."
37,9,"Has a $effect_chance% chance to [burn]{mechanic}, [freeze]{mechanic}, or [paralyze]{mechanic} the target.","Inflicts [regular damage]{mechanic:regular damage}.  Has a $effect_chance% chance to [burn]{mechanic:burn}, [freeze]{mechanic:freeze}, or [paralyze]{mechanic:paralyze} the target.  One of these effects is selected at random; they do not each have independent chances to occur."
38,9,"User sleeps for two turns, completely healing itself.","User falls to [sleep]{mechanic:sleep} and immediately regains all its [HP]{mechanic:hp}.  If the user has another [major status effect]{mechanic:major status effect}, [sleep]{mechanic:sleep} will replace it.  The user will always wake up after two turns, or one turn with [Early Bird]{ability:early-bird}.

This move fails if the Pokémon cannot fall asleep due to [Uproar]{move:uproar}, [Insomnia]{ability:insomnia}, or [Vital Spirit]{ability:vital-spirit}.  It also fails if the Pokémon is at full health or is already asleep."
