id,identifier,name,description
1,contact,Makes contact,"User touches the target.  This triggers some abilities (e.g., [Static]{ability}) and items (e.g., [Sticky Barb]{item})."
2,charge,Has a charging turn,"This move has a charging turn that can be skipped with a [Power Herb]{item}."
3,recharge,Must recharge,"The turn after this move is used, the Pokémon's action is skipped so it can recharge."
4,protect,Blocked by Detect and Protect,"This move will not work if the target has used [Detect]{move} or [Protect]{move} this turn."
5,magic,Reflectable with Magic Coat,"This move will be reflected back at the user if the target has used [Magic Coat]{move} this turn."
6,snatch,Snatchable,"This move will be stolen if another Pokémon has used [Snatch]{move} this turn."
7,mirror,Copied by Mirror Move,"A Pokémon targeted by this move can use [Mirror Move]{move} to copy it."
8,punch,Punch-based,"This move has 1.2× its usual power when used by a Pokémon with [Iron Fist]{ability}."
9,sound,Sound-based,"Pokémon with [Soundproof]{ability} are immune to this move."
10,gravity,Unusable during Gravity,"This move cannot be used in high [Gravity]{move}."
11,defrost,Defrosts when used,"This move can be used while frozen to force the Pokémon to defrost."
12,distance,Targets opposite side in triples,"In triple battles, this move can be used on either side to target the farthest away opposing Pokémon."
13,heal,Heals,"This move is blocked by [Heal Block]{move}."
14,mystery,Does ... something.,"This flag exists."
