move_id,move_flag_type_id
1,1
1,2
1,5
1,6
2,1
2,2
2,5
2,6
3,1
3,2
3,5
3,6
4,1
4,2
4,5
4,6
5,1
5,2
5,5
5,6
6,2
6,5
6,6
7,1
7,2
7,5
8,1
8,2
8,5
9,1
9,2
9,5
10,1
10,2
10,5
10,6
11,1
11,2
11,5
11,6
12,1
12,2
12,5
13,2
13,5
13,6
14,4
15,1
15,2
15,5
15,6
16,2
16,5
16,6
17,1
17,2
17,5
17,6
18,2
18,5
19,1
19,2
19,5
19,6
20,1
20,2
20,5
20,6
21,1
21,2
21,5
21,6
22,1
22,2
22,5
22,6
23,1
23,2
23,5
24,1
24,2
24,5
24,6
25,1
25,2
25,5
25,6
26,1
26,2
26,5
26,6
27,1
27,2
27,5
27,6
28,2
28,3
28,5
29,1
29,2
29,5
30,1
30,2
30,5
30,6
31,1
31,2
31,5
31,6
32,1
32,2
32,5
33,1
33,2
33,5
33,6
34,1
34,2
34,5
35,1
35,2
35,5
35,6
36,1
36,2
36,5
36,6
37,1
37,2
37,5
37,6
38,1
38,2
38,5
38,6
39,2
39,3
39,5
40,2
40,5
41,2
41,5
42,2
42,5
42,6
43,2
43,3
43,5
44,1
44,2
44,5
45,2
45,3
45,5
46,2
46,5
47,2
47,3
47,5
48,2
48,3
48,5
49,2
49,5
49,6
50,2
50,5
51,2
51,5
52,2
52,5
53,2
53,5
54,4
55,2
55,5
55,6
56,2
56,5
56,6
57,2
57,5
57,6
58,2
58,5
59,2
59,5
60,2
60,5
61,2
61,5
62,2
62,5
63,2
63,5
63,6
64,1
64,2
64,5
64,6
65,1
65,2
65,5
65,6
66,1
66,2
66,5
66,6
67,1
67,2
67,5
67,6
68,1
69,1
69,2
69,5
69,6
70,1
70,2
70,5
70,6
71,2
71,5
72,2
72,5
73,2
73,3
73,5
74,4
75,2
75,5
75,6
76,2
76,5
76,6
77,2
77,3
77,5
78,2
78,3
78,5
79,2
79,3
79,5
80,1
80,2
80,5
80,6
81,2
81,3
81,5
82,2
82,5
82,6
83,2
83,5
83,6
84,2
84,5
85,2
85,5
86,2
86,3
86,5
87,2
87,5
88,2
88,5
88,6
89,2
89,5
89,6
90,2
90,5
91,1
91,2
91,5
91,6
92,2
92,3
92,5
93,2
93,5
94,2
94,5
95,2
95,3
95,5
96,4
97,4
98,1
98,2
98,5
98,6
99,1
99,2
99,5
99,6
101,2
101,5
101,6
102,2
103,2
103,3
103,5
104,4
105,4
106,4
107,4
108,2
108,3
108,5
109,2
109,3
109,5
110,4
111,4
112,4
113,4
115,4
116,4
117,1
117,2
117,6
120,2
120,5
120,6
121,2
121,5
121,6
122,1
122,2
122,5
123,2
123,5
124,2
124,5
125,2
125,5
126,2
126,5
127,1
127,2
127,5
127,6
128,1
128,2
128,5
128,6
129,2
129,5
129,6
130,1
130,2
130,5
130,6
131,2
131,5
131,6
132,1
132,2
132,5
133,4
134,2
134,3
134,5
135,4
136,1
136,2
136,5
136,6
137,2
137,3
137,5
138,2
138,5
139,2
139,3
139,5
140,2
140,5
140,6
141,1
141,2
141,5
142,2
142,3
142,5
143,2
143,5
143,6
145,2
145,5
146,1
146,2
146,5
147,2
147,3
147,5
148,2
148,3
148,5
149,2
149,5
149,6
151,4
152,1
152,2
152,5
152,6
153,2
153,5
153,6
154,1
154,2
154,5
154,6
155,2
155,5
155,6
156,4
157,2
157,5
158,1
158,2
158,5
159,4
161,2
161,5
162,1
162,2
162,5
163,1
163,2
163,5
163,6
164,4
165,1
165,2
165,6
167,1
167,2
167,5
167,6
168,1
168,2
168,5
169,2
169,3
169,5
170,2
170,5
171,2
171,5
172,1
172,2
172,5
173,2
173,5
173,6
175,1
175,2
175,5
175,6
177,2
177,5
177,6
178,2
178,3
178,5
179,1
179,2
179,5
179,6
180,2
180,5
181,2
181,5
183,1
183,2
183,5
183,6
184,2
184,3
184,5
185,1
185,2
185,5
185,6
186,2
186,3
186,5
187,4
188,2
188,5
189,2
189,5
190,2
190,5
192,2
192,5
193,2
193,5
196,2
196,5
198,2
198,5
198,6
199,2
199,5
200,1
200,2
200,5
200,6
202,2
202,5
204,2
204,3
204,5
205,1
205,2
205,5
205,6
206,1
206,2
206,5
206,6
207,2
207,3
207,5
208,4
209,1
209,2
209,5
210,1
210,2
210,5
210,6
211,1
211,2
211,5
211,6
212,2
212,3
212,5
213,2
213,3
213,5
215,4
216,1
216,2
216,5
216,6
217,2
217,5
218,1
218,2
218,5
218,6
219,4
220,2
220,5
221,2
221,5
222,2
222,5
222,6
223,1
223,2
223,5
224,1
224,2
224,5
224,6
225,2
225,5
225,6
227,2
227,5
228,1
228,2
228,5
229,1
229,2
229,5
229,6
230,2
230,3
230,5
231,1
231,2
231,5
232,1
232,2
232,5
233,1
233,2
233,5
233,6
234,4
235,4
236,4
237,2
237,5
237,6
238,1
238,2
238,5
238,6
239,2
239,5
239,6
242,1
242,2
242,5
244,4
245,1
245,2
245,5
245,6
246,2
246,5
247,2
247,5
249,1
249,2
249,5
250,2
250,5
250,6
251,2
251,5
251,6
252,1
252,2
252,5
253,2
253,5
253,6
254,4
255,2
255,6
256,4
257,2
257,5
258,2
259,2
259,5
260,2
260,3
260,5
261,2
261,3
261,5
262,2
262,5
263,1
263,2
263,5
264,1
264,2
265,1
265,2
265,5
268,4
269,2
269,5
271,2
271,5
275,4
276,1
276,2
276,5
279,1
279,2
279,5
279,6
280,1
280,2
280,5
280,6
281,2
281,3
281,5
282,1
282,2
282,5
283,1
283,2
283,5
283,6
284,2
284,5
284,6
285,2
285,5
287,4
290,2
290,5
291,1
291,2
291,5
291,6
292,1
292,2
292,5
292,6
293,4
294,4
295,2
295,5
296,2
296,5
297,2
297,3
297,5
298,2
298,5
299,1
299,2
299,5
301,1
301,2
301,5
301,6
302,1
302,2
302,5
303,4
304,2
304,5
305,1
305,2
305,5
306,1
306,2
306,5
307,2
307,5
307,6
308,2
308,5
308,6
309,1
309,2
309,5
309,6
310,1
310,2
310,5
311,2
311,5
311,6
312,4
313,2
313,3
313,5
314,2
314,5
314,6
315,2
315,5
315,6
316,2
316,5
317,2
317,5
318,2
318,5
318,6
319,2
319,3
319,5
320,2
320,3
320,5
321,2
321,3
321,5
322,4
323,2
323,5
324,2
324,5
324,6
325,1
325,2
325,5
325,6
326,2
326,5
327,1
327,2
327,5
327,6
328,2
328,5
328,6
329,2
329,5
330,2
330,5
330,6
331,2
331,5
331,6
332,1
332,2
332,5
332,6
333,2
333,5
333,6
334,4
335,2
335,3
335,5
336,4
337,1
337,2
337,5
337,6
338,2
338,5
338,6
339,4
340,1
340,2
340,5
340,6
341,2
341,5
341,6
342,1
342,2
342,5
342,6
343,1
343,2
343,5
344,1
344,2
344,5
344,6
345,2
345,5
345,6
347,4
348,1
348,2
348,5
348,6
349,4
350,2
350,5
350,6
351,2
351,5
351,6
352,2
352,5
352,6
354,2
354,5
354,6
355,4
357,2
357,5
358,1
358,2
358,5
358,6
359,1
359,2
359,5
359,6
360,1
360,2
360,5
360,6
362,2
362,5
362,6
363,2
363,5
365,1
365,2
365,5
365,6
366,4
367,4
368,5
369,1
369,2
369,5
369,6
370,1
370,2
370,5
370,6
371,1
371,2
371,5
371,6
372,1
372,2
372,5
372,6
373,2
373,5
374,2
374,5
375,2
375,5
376,1
376,2
376,5
376,6
377,2
377,5
378,1
378,2
378,5
378,6
380,2
380,3
380,5
382,2
384,2
384,5
385,2
385,5
386,1
386,2
386,5
386,6
387,1
387,2
387,5
387,6
388,2
388,3
388,5
389,1
389,2
389,5
389,6
391,2
391,5
394,1
394,2
394,5
395,1
395,2
395,5
395,6
396,2
396,5
396,6
397,4
398,1
398,2
398,5
398,6
399,2
399,5
399,6
400,1
400,2
400,5
400,6
401,1
401,2
401,5
401,6
402,2
402,5
402,6
403,2
403,5
403,6
404,1
404,2
404,5
404,6
405,2
405,5
406,2
406,5
406,6
407,1
407,2
407,5
407,6
408,2
408,5
408,6
409,1
409,2
409,5
409,6
410,2
410,5
410,6
411,2
411,5
412,2
412,5
413,1
413,2
413,5
413,6
414,2
414,5
414,6
415,2
415,5
416,1
416,2
416,5
416,6
417,4
418,1
418,2
418,5
418,6
419,1
419,2
419,5
419,6
420,2
420,5
420,6
421,1
421,2
421,5
421,6
422,1
422,2
422,5
422,6
423,1
423,2
423,5
423,6
424,1
424,2
424,5
424,6
425,1
425,2
425,5
425,6
426,2
426,5
426,6
427,2
427,5
427,6
428,1
428,2
428,5
428,6
429,2
429,5
429,6
430,2
430,5
430,6
431,1
431,2
431,5
431,6
432,2
432,5
433,5
434,2
434,5
434,6
435,2
435,5
435,6
436,2
436,5
436,6
437,2
437,5
437,6
438,1
438,2
438,5
438,6
439,2
439,5
439,6
440,1
440,2
440,5
440,6
441,2
441,5
441,6
442,1
442,2
442,5
442,6
443,2
443,5
443,6
444,2
444,5
444,6
445,2
445,3
445,5
447,1
447,2
447,5
447,6
448,2
449,2
449,5
449,6
450,1
450,2
450,5
450,6
451,2
451,5
451,6
452,1
452,2
452,5
452,6
453,1
453,2
453,5
453,6
454,2
454,5
454,6
455,4
456,4
457,1
457,2
457,5
457,6
458,1
458,2
458,5
458,6
459,2
459,5
459,6
460,2
460,5
460,6
462,1
462,2
462,5
462,6
463,2
463,5
463,6
464,2
464,3
464,5
465,2
465,5
465,6
466,2
466,5
466,6
467,1
467,5
467,6
