move_target_id,local_language_id,name,description
1,9,Specific move,One specific move.  How this move is chosen depends upon on the move being used.
2,9,Selected Pokémon,"One other Pokémon on the field, selected by the trainer.  Stolen moves reuse the same target."
3,9,Ally,The user's ally (if any).
4,9,User's field,The user's side of the field.  Affects the user and its ally (if any).
5,9,User or ally,"Either the user or its ally, selected by the trainer."
6,9,Opponent's field,The opposing side of the field.  Affects opposing Pokémon.
7,9,User,The user.
8,9,Random opponent,"One opposing Pokémon, selected at random."
9,9,All other Pokémon,Every other Pokémon on the field.
10,9,Selected Pokémon,"One other Pokémon on the field, selected by the trainer."
11,9,All opponents,All opposing Pokémon.
12,9,Entire field,The entire field.  Affects all Pokémon.
13,9,User and allies,The user and its allies.
14,9,All Pokémon,Every Pokémon on the field.
