id,identifier,generation_id,type_id,power,pp,accuracy,priority,target_id,damage_class_id,effect_id,effect_chance,contest_type_id,contest_effect_id,super_contest_effect_id,z_power,z_effect_id,dynamax_power
1,pound,1,1,40,35,100,0,10,2,1,,5,1,5,100,,90
2,karate-chop,1,2,50,25,100,0,10,2,44,,5,2,5,100,,75
3,double-slap,1,1,15,10,85,0,10,2,30,,5,10,7,100,,90
4,comet-punch,1,1,18,15,85,0,10,2,30,,5,12,7,100,,100
5,mega-punch,1,1,80,20,85,0,10,2,1,,5,1,18,160,,130
6,pay-day,1,1,40,20,100,0,10,2,35,,4,11,23,100,,90
7,fire-punch,1,10,75,15,100,0,10,2,5,10,2,1,17,140,,130
8,ice-punch,1,15,75,15,100,0,10,2,6,10,2,1,17,140,,130
9,thunder-punch,1,13,75,15,100,0,10,2,7,10,1,1,17,140,,130
10,scratch,1,1,40,35,100,0,10,2,1,,5,1,5,100,,90
11,vice-grip,1,1,55,30,100,0,10,2,1,,5,1,5,100,,110
12,guillotine,1,1,,5,30,0,10,2,39,,1,14,9,180,,130
13,razor-wind,1,1,80,10,100,0,11,3,40,,1,2,6,160,,130
14,swords-dance,1,1,,20,,0,7,1,51,,2,32,11,,26,
15,cut,1,1,50,30,95,0,10,2,1,,1,14,5,100,,100
16,gust,1,3,40,35,100,0,10,3,150,,4,21,5,100,,90
17,wing-attack,1,3,60,35,100,0,10,2,1,,1,12,5,120,,110
18,whirlwind,1,1,,20,,-6,10,1,29,,4,21,9,,10,
19,fly,1,3,90,15,95,0,10,2,156,,4,15,6,175,,130
20,bind,1,1,15,20,85,0,10,2,43,100,5,24,21,100,,90
21,slam,1,1,80,20,75,0,10,2,1,,5,23,5,160,,130
22,vine-whip,1,12,45,25,100,0,10,2,1,,1,1,5,100,,100
23,stomp,1,1,65,20,100,0,10,2,151,30,5,4,5,120,,120
24,double-kick,1,2,30,30,100,0,10,2,45,,1,12,7,100,,80
25,mega-kick,1,1,120,5,75,0,10,2,1,,1,1,18,190,,140
26,jump-kick,1,2,100,10,95,0,10,2,46,,1,3,5,180,,90
27,rolling-kick,1,2,60,15,85,0,10,2,32,30,1,5,5,120,,80
28,sand-attack,1,5,,15,100,0,10,1,24,,3,10,19,,19,
29,headbutt,1,1,70,15,100,0,10,2,32,30,5,9,5,140,,120
30,horn-attack,1,1,65,25,100,0,10,2,1,,1,1,5,120,,120
31,fury-attack,1,1,15,20,85,0,10,2,30,,1,10,7,100,,90
32,horn-drill,1,1,,5,30,0,10,2,39,,1,14,9,180,,130
33,tackle,1,1,40,35,100,0,10,2,1,,5,1,5,100,,90
34,body-slam,1,1,85,15,100,0,10,2,7,30,5,4,5,160,,130
35,wrap,1,1,15,20,90,0,10,2,43,100,5,24,21,100,,90
36,take-down,1,1,90,20,85,0,10,2,49,,5,3,5,175,,130
37,thrash,1,1,120,10,100,0,8,2,28,,5,6,7,190,,140
38,double-edge,1,1,120,15,100,0,10,2,199,,5,3,9,190,,140
39,tail-whip,1,1,,30,100,0,11,1,20,,3,28,19,,1,
40,poison-sting,1,4,15,35,100,0,10,2,3,30,4,9,19,100,,70
41,twineedle,1,7,25,20,100,0,10,2,78,20,1,9,7,100,,100
42,pin-missile,1,7,25,20,95,0,10,2,30,,1,10,7,140,,130
43,leer,1,1,,30,100,0,11,1,20,100,1,24,19,,1,
44,bite,1,17,60,25,100,0,10,2,32,30,5,5,5,120,,110
45,growl,1,1,,40,100,0,11,1,19,,3,28,19,,4,
46,roar,1,1,,20,,-6,10,1,29,,1,21,19,,4,
47,sing,1,1,,15,55,0,10,1,2,,3,18,19,,13,
48,supersonic,1,1,,20,55,0,10,1,50,,4,21,19,,13,
49,sonic-boom,1,1,,20,90,0,10,3,131,,1,12,5,100,,100
50,disable,1,1,,20,100,0,10,1,87,,4,18,19,,26,
51,acid,1,4,40,30,100,0,11,3,73,10,4,4,5,100,,70
52,ember,1,10,40,25,100,0,10,3,5,10,2,1,5,100,,90
53,flamethrower,1,10,90,15,100,0,10,3,5,10,2,1,17,175,,130
54,mist,1,15,,30,,0,4,1,47,,2,15,13,,27,
55,water-gun,1,11,40,25,100,0,10,3,1,,3,1,5,100,,90
56,hydro-pump,1,11,110,5,80,0,10,3,1,,2,1,17,185,,140
57,surf,1,11,90,15,100,0,9,3,258,,2,2,17,175,,130
58,ice-beam,1,15,90,10,100,0,10,3,6,10,2,23,17,175,,130
59,blizzard,1,15,110,5,70,0,11,3,261,10,2,1,17,185,,140
60,psybeam,1,14,65,20,100,0,10,3,77,10,2,21,17,120,,120
61,bubble-beam,1,11,65,20,100,0,10,3,71,10,2,5,2,120,,120
62,aurora-beam,1,15,65,20,100,0,10,3,69,10,2,23,17,120,,120
63,hyper-beam,1,1,150,5,90,0,10,3,81,,1,6,22,200,,150
64,peck,1,3,35,35,100,0,10,2,1,,1,1,5,100,,90
65,drill-peck,1,3,80,20,100,0,10,2,1,,1,1,5,160,,130
66,submission,1,2,80,20,80,0,10,2,49,,1,3,5,160,,90
67,low-kick,1,2,,20,100,0,10,2,197,,5,4,5,160,,100
68,counter,1,2,,20,100,-5,1,2,90,,5,16,15,100,,75
69,seismic-toss,1,2,,20,100,0,10,2,88,,5,23,5,100,,75
70,strength,1,1,80,15,100,0,10,2,1,,5,23,5,160,,130
71,absorb,1,12,20,25,100,0,10,3,4,,4,9,20,100,,90
72,mega-drain,1,12,40,15,100,0,10,3,4,,4,4,20,120,,90
73,leech-seed,1,12,,10,90,0,10,1,85,,4,8,21,,26,
74,growth,1,1,,20,,0,7,1,317,,2,32,11,,7,
