nature_id,language_id,name
1,1,がんばりや
1,5,Hardi
1,6,Robust
1,7,Fuerte
1,8,Ardita
2,1,ずぶとい
2,5,Assuré
2,6,Kühn
2,7,Osada
2,8,Sicura
3,1,ひかえめ
3,5,Modeste
3,6,Mäßig
3,7,Modesta
3,8,Modesta
4,1,おだやか
4,5,Calme
4,6,Still
4,7,Serena
4,8,Calma
5,1,おくびょう
5,5,Timide
5,6,Scheu
5,7,Miedosa
5,8,Timida
6,1,さみしがり
6,5,Solo
6,6,Solo
6,7,Huraña
6,8,Schiva
7,1,すなお
7,5,Docile
7,6,Sanft
7,7,Dócil
7,8,Docile
8,1,おっとり
8,5,Doux
8,6,Mild
8,7,Afable
8,8,Mite
9,1,おとなしい
9,5,Gentil
9,6,Zart
9,7,Amable
9,8,Gentile
10,1,せっかち
10,5,Pressé
10,6,Hastig
10,7,Activa
10,8,Lesta
11,1,いじっぱり
11,5,Rigide
11,6,Hart
11,7,Firme
11,8,Decisa
12,1,わんぱく
12,5,Malin
12,6,Pfiffig
12,7,Agitada
12,8,Scaltra
13,1,てれや
13,5,Pudique
13,6,Zaghaft
13,7,Tímida
13,8,Ritrosa
14,1,しんちょう
14,5,Prudent
14,6,Sacht
14,7,Cauta
14,8,Cauta
15,1,うっかりや
15,5,Foufou
15,6,Hitzig
15,7,Alocada
15,8,Ardente
16,1,ようき
16,5,Jovial
16,6,Froh
16,7,Alegre
16,8,Allegra
17,1,やんちゃ
17,5,Mauvais
17,6,Frech
17,7,Pícara
17,8,Birbona
18,1,のうてんき
18,5,Lâche
18,6,Lasch
18,7,Floja
18,8,Fiacca
19,1,きまぐれ
19,5,Bizarre
19,6,Kauzig
19,7,Rara
19,8,Furba
20,1,むじゃき
20,5,Naïf
20,6,Naiv
20,7,Ingenua
20,8,Ingenua
21,1,ゆうかん
21,5,Brave
21,6,Mutig
21,7,Audaz
21,8,Audace
22,1,のんき
22,5,Relax
22,6,Locker
22,7,Plácida
22,8,Placida
23,1,れいせい
23,5,Discret
23,6,Ruhig
23,7,Mansa
23,8,Quieta
24,1,なまいき
24,5,Malpoli
24,6,Forsch
24,7,Grosera
24,8,Vivace
25,1,まじめ
25,5,Sérieux
25,6,Ernst
25,7,Seria
25,8,Seria
