version_group_id,min_level,max_level,slot,item_id,rarity
6,1,10,0,17,30
6,1,10,1,18,10
6,1,10,2,26,10
6,1,10,3,3,10
6,1,10,4,79,10
6,1,10,5,78,10
6,1,10,6,57,10
6,1,10,7,27,5
6,1,10,8,2,3
6,1,10,9,92,1
6,1,10,10,25,1
6,11,20,0,18,30
6,11,20,1,26,10
6,11,20,2,3,10
6,11,20,3,79,10
6,11,20,4,78,10
6,11,20,5,57,10
6,11,20,6,27,10
6,11,20,7,2,5
6,11,20,8,25,3
6,11,20,9,198,1
6,11,20,10,92,1
6,21,30,0,26,30
6,21,30,1,3,10
6,21,30,2,79,10
6,21,30,3,78,10
6,21,30,4,57,10
6,21,30,5,27,10
6,21,30,6,2,10
6,21,30,7,25,5
6,21,30,8,50,3
6,21,30,9,23,1
6,21,30,10,198,1
6,31,40,0,3,30
6,31,40,1,79,10
6,31,40,2,78,10
6,31,40,3,57,10
6,31,40,4,27,10
6,31,40,5,2,10
6,31,40,6,25,10
6,31,40,7,50,5
6,31,40,8,46,3
6,31,40,9,38,1
6,31,40,10,23,1
6,41,50,0,79,30
6,41,50,1,78,10
6,41,50,2,57,10
6,41,50,3,27,10
6,41,50,4,2,10
6,41,50,5,25,10
6,41,50,6,50,10
6,41,50,7,46,5
6,41,50,8,28,3
6,41,50,9,191,1
6,41,50,10,38,1
6,51,60,0,78,30
6,51,60,1,57,10
6,51,60,2,27,10
6,51,60,3,2,10
6,51,60,4,25,10
6,51,60,5,50,10
6,51,60,6,46,10
6,51,60,7,28,5
6,51,60,8,45,3
6,51,60,9,348,1
6,51,60,10,191,1
6,61,70,0,57,30
6,61,70,1,27,10
6,61,70,2,2,10
6,61,70,3,25,10
6,61,70,4,50,10
6,61,70,5,46,10
6,61,70,6,28,10
6,61,70,7,45,5
6,61,70,8,23,3
6,61,70,9,40,1
6,61,70,10,348,1
6,71,80,0,27,30
6,71,80,1,2,10
6,71,80,2,25,10
6,71,80,3,50,10
6,71,80,4,46,10
6,71,80,5,28,10
6,71,80,6,45,10
6,71,80,7,23,5
6,71,80,8,29,3
6,71,80,9,305,1
6,71,80,10,40,1
6,81,90,0,2,30
6,81,90,1,25,10
6,81,90,2,50,10
6,81,90,3,46,10
6,81,90,4,28,10
6,81,90,5,45,10
6,81,90,6,23,10
6,81,90,7,29,5
6,81,90,8,51,3
6,81,90,9,211,1
6,81,90,10,305,1
6,91,100,0,25,30
6,91,100,1,50,10
6,91,100,2,46,10
6,91,100,3,28,10
6,91,100,4,45,10
6,91,100,5,23,10
6,91,100,6,29,10
6,91,100,7,51,5
6,91,100,8,41,3
6,91,100,9,330,1
6,91,100,10,211,1
8,1,10,0,17,30
8,1,10,1,18,10
8,1,10,2,26,10
8,1,10,3,3,10
8,1,10,4,79,10
8,1,10,5,78,10
8,1,10,6,27,10
8,1,10,7,25,5
8,1,10,8,2,3
8,1,10,9,92,1
8,1,10,10,25,1
8,11,20,0,18,30
8,11,20,1,26,10
8,11,20,2,3,10
8,11,20,3,79,10
8,11,20,4,78,10
8,11,20,5,27,10
8,11,20,6,25,10
8,11,20,7,2,5
8,11,20,8,28,3
8,11,20,9,198,1
8,11,20,10,92,1
8,21,30,0,26,30
8,21,30,1,3,10
8,21,30,2,79,10
8,21,30,3,78,10
8,21,30,4,27,10
8,21,30,5,25,10
8,21,30,6,2,10
8,21,30,7,28,5
8,21,30,8,50,3
8,21,30,9,23,1
8,21,30,10,198,1
8,31,40,0,3,30
8,31,40,1,79,10
8,31,40,2,78,10
8,31,40,3,27,10
8,31,40,4,25,10
8,31,40,5,2,10
8,31,40,6,28,10
8,31,40,7,50,5
8,31,40,8,108,3
8,31,40,9,38,1
8,31,40,10,23,1
8,41,50,0,79,30
8,41,50,1,78,10
8,41,50,2,27,10
8,41,50,3,25,10
8,41,50,4,2,10
8,41,50,5,28,10
8,41,50,6,50,10
8,41,50,7,108,5
8,41,50,8,107,3
8,41,50,9,191,1
8,41,50,10,38,1
8,51,60,0,78,30
8,51,60,1,27,10
8,51,60,2,25,10
8,51,60,3,2,10
8,51,60,4,28,10
8,51,60,5,50,10
8,51,60,6,108,10
8,51,60,7,107,5
8,51,60,8,109,3
8,51,60,9,348,1
8,51,60,10,191,1
8,61,70,0,27,30
8,61,70,1,25,10
8,61,70,2,2,10
8,61,70,3,28,10
8,61,70,4,50,10
8,61,70,5,108,10
8,61,70,6,107,10
8,61,70,7,109,5
8,61,70,8,23,3
8,61,70,9,40,1
8,61,70,10,348,1
8,71,80,0,25,30
8,71,80,1,2,10
8,71,80,2,28,10
8,71,80,3,50,10
8,71,80,4,108,10
8,71,80,5,107,10
8,71,80,6,109,10
8,71,80,7,23,5
8,71,80,8,29,3
8,71,80,9,305,1
8,71,80,10,40,1
8,81,90,0,2,30
8,81,90,1,28,10
8,81,90,2,50,10
8,81,90,3,108,10
8,81,90,4,107,10
8,81,90,5,109,10
8,81,90,6,23,10
8,81,90,7,29,5
8,81,90,8,51,3
8,81,90,9,211,1
8,81,90,10,305,1
8,91,100,0,28,30
8,91,100,1,50,10
8,91,100,2,108,10
8,91,100,3,107,10
8,91,100,4,109,10
8,91,100,5,23,10
8,91,100,6,29,10
8,91,100,7,51,5
8,91,100,8,41,3
8,91,100,9,330,1
8,91,100,10,211,1
9,1,10,0,17,30
9,1,10,1,18,10
9,1,10,2,26,10
9,1,10,3,3,10
9,1,10,4,79,10
9,1,10,5,78,10
9,1,10,6,27,10
9,1,10,7,25,5
9,1,10,8,2,3
9,1,10,9,92,1
9,1,10,10,25,1
9,11,20,0,18,30
9,11,20,1,26,10
9,11,20,2,3,10
9,11,20,3,79,10
9,11,20,4,78,10
9,11,20,5,27,10
9,11,20,6,25,10
9,11,20,7,2,5
9,11,20,8,28,3
9,11,20,9,198,1
9,11,20,10,92,1
9,21,30,0,26,30
9,21,30,1,3,10
9,21,30,2,79,10
9,21,30,3,78,10
9,21,30,4,27,10
9,21,30,5,25,10
9,21,30,6,2,10
9,21,30,7,28,5
9,21,30,8,50,3
9,21,30,9,23,1
9,21,30,10,198,1
9,31,40,0,3,30
9,31,40,1,79,10
9,31,40,2,78,10
9,31,40,3,27,10
9,31,40,4,25,10
9,31,40,5,2,10
9,31,40,6,28,10
9,31,40,7,50,5
9,31,40,8,108,3
9,31,40,9,38,1
9,31,40,10,23,1
9,41,50,0,79,30
9,41,50,1,78,10
9,41,50,2,27,10
9,41,50,3,25,10
