id,version_group_id,slot,rarity
1,6,0,30
2,6,1,10
3,6,2,10
4,6,3,10
5,6,4,10
6,6,5,10
7,6,6,10
8,6,7,5
9,6,8,3
10,6,9,1
11,6,10,1
12,8,0,30
13,8,1,10
14,8,2,10
15,8,3,10
16,8,4,10
17,8,5,10
18,8,6,10
19,8,7,5
20,8,8,3
21,8,9,1
22,8,10,1
23,9,0,30
24,9,1,10
25,9,2,10
26,9,3,10
27,9,4,10
28,9,5,10
29,9,6,10
30,9,7,5
31,9,8,3
32,9,9,1
33,9,10,1
34,10,0,30
35,10,1,10
36,10,2,10
37,10,3,10
38,10,4,10
39,10,5,10
40,10,6,10
41,10,7,5
42,10,8,3
43,10,9,1
44,10,10,1
45,11,0,30
46,11,1,10
47,11,2,10
48,11,3,10
49,11,4,10
50,11,5,10
51,11,6,10
52,11,7,4
53,11,8,4
54,11,9,1
55,11,10,1
56,14,0,30
57,14,1,10
58,14,2,10
59,14,3,10
60,14,4,10
61,14,5,10
62,14,6,10
63,14,7,4
64,14,8,4
65,14,9,1
66,14,10,1
