pokedex_id,local_language_id,name,description
1,9,National,Entire National dex
2,9,Kanto,Red/Blue/Yellow Kanto dex
3,9,Original Johto,"Gold/Silver/Crystal Johto dex—called the ""New"" Pokédex in-game"
4,9,Original Hoenn,Ruby/Sapphire/Emerald Hoenn dex
5,9,Original Sinnoh,Diamond/Pearl Sinnoh dex
6,9,Extended Sinnoh,Platinum Sinnoh dex—an extended version of Diamond and Pearl's
7,9,Updated Johto,"HeartGold/SoulSilver Johto dex—Gold/Silver/Crystal's, extended to add move-based Generation IV evolutions"
8,9,Original Unova,Black/White Unova dex
9,9,Updated Unova,Black 2/White 2 Unova dex
11,9,Gallery,Pokémon Conquest gallery order
12,9,Central Kalos,
13,9,Coastal Kalos,
14,9,Mountain Kalos,
15,9,New Hoenn,"Omega Ruby/Alpha Sapphire Hoenn Dex—Ruby/Sapphire/Emerald's, updated to add new evolutions"
16,9,Original Alola,Sun/Moon Alola dex
17,9,Original Melemele,Sun/Moon Melemele dex
18,9,Original Akala,Sun/Moon Akala dex
19,9,Original Ula'ula,Sun/Moon Ula'ula dex
20,9,Original Poni,Sun/Moon Poni dex
21,9,Updated Alola,Ultra Sun/Ultra Moon Alola dex
22,9,Updated Melemele,Ultra Sun/Ultra Moon Melemele dex
23,9,Updated Akala,Ultra Sun/Ultra Moon Akala dex
24,9,Updated Ula'ula,Ultra Sun/Ultra Moon Ula'ula dex
25,9,Updated Poni,Ultra Sun/Ultra Moon Poni dex
26,9,Let’s Go Kanto,Let’s Go: Pikachu/Let’s Go: Eevee Kanto dex
27,9,Galar,
28,9,Isle of Armor,
29,9,Crown Tundra,
