pokemon_id,pokedex_id,pokedex_number
1,1,1
1,2,1
1,3,226
1,7,231
2,1,2
2,2,2
2,3,227
2,7,232
3,1,3
3,2,3
3,3,228
3,7,233
4,1,4
4,2,4
4,3,229
4,7,234
5,1,5
5,2,5
5,3,230
5,7,235
6,1,6
6,2,6
6,3,231
6,7,236
7,1,7
7,2,7
7,3,232
7,7,237
8,1,8
8,2,8
8,3,233
8,7,238
9,1,9
9,2,9
9,3,234
9,7,239
10,1,10
10,2,10
10,3,24
10,7,24
11,1,11
11,2,11
11,3,25
11,7,25
12,1,12
12,2,12
12,3,26
12,7,26
13,1,13
13,2,13
13,3,27
13,7,27
14,1,14
14,2,14
14,3,28
14,7,28
15,1,15
15,2,15
15,3,29
15,7,29
16,1,16
16,2,16
16,3,10
16,7,10
17,1,17
17,2,17
17,3,11
17,7,11
18,1,18
18,2,18
18,3,12
18,7,12
19,1,19
19,2,19
19,3,17
19,7,17
20,1,20
20,2,20
20,3,18
20,7,18
21,1,21
21,2,21
21,3,13
21,7,13
22,1,22
22,2,22
22,3,14
22,7,14
23,1,23
23,2,23
23,3,50
23,7,50
24,1,24
24,2,24
24,3,51
24,7,51
25,1,25
25,2,25
25,3,22
25,4,156
25,5,104
25,6,104
25,7,22
26,1,26
26,2,26
26,3,23
26,4,157
26,5,105
26,6,105
26,7,23
27,1,27
27,2,27
27,3,48
27,4,112
27,7,48
28,1,28
28,2,28
28,3,49
28,4,113
28,7,49
29,1,29
29,2,29
29,3,95
29,7,95
30,1,30
30,2,30
30,3,96
30,7,96
31,1,31
31,2,31
31,3,97
31,7,97
32,1,32
32,2,32
32,3,98
32,7,98
33,1,33
33,2,33
33,3,99
33,7,99
34,1,34
34,2,34
34,3,100
34,7,100
35,1,35
35,2,35
35,3,41
35,5,100
35,6,100
35,7,41
36,1,36
36,2,36
36,3,42
36,5,101
36,6,101
36,7,42
37,1,37
37,2,37
37,3,125
37,4,153
37,7,127
38,1,38
38,2,38
38,3,126
38,4,154
38,7,128
39,1,39
39,2,39
39,3,44
39,4,138
39,7,44
40,1,40
40,2,40
40,3,45
40,4,139
40,7,45
41,1,41
41,2,41
41,3,37
41,4,63
41,5,28
41,6,28
41,7,37
42,1,42
42,2,42
42,3,38
42,4,64
42,5,29
42,6,29
42,7,38
43,1,43
43,2,43
43,3,83
43,4,88
43,7,83
44,1,44
44,2,44
44,3,84
44,4,89
44,7,84
45,1,45
45,2,45
45,3,85
45,4,90
45,7,85
46,1,46
46,2,46
46,3,70
46,7,70
47,1,47
47,2,47
47,3,71
47,7,71
48,1,48
48,2,48
48,3,108
48,7,109
49,1,49
49,2,49
49,3,109
49,7,110
50,1,50
50,2,50
50,3,132
50,7,134
51,1,51
51,2,51
51,3,133
51,7,135
52,1,52
52,2,52
52,3,136
52,7,138
53,1,53
53,2,53
53,3,137
53,7,139
54,1,54
54,2,54
54,3,138
54,4,158
54,5,43
54,6,43
54,7,140
55,1,55
55,2,55
55,3,139
55,4,159
55,5,44
55,6,44
55,7,141
56,1,56
56,2,56
56,3,134
56,7,136
57,1,57
57,2,57
57,3,135
57,7,137
58,1,58
58,2,58
58,3,127
58,7,129
59,1,59
59,2,59
59,3,128
59,7,130
60,1,60
60,2,60
60,3,72
60,7,72
61,1,61
61,2,61
61,3,73
61,7,73
62,1,62
62,2,62
62,3,74
62,7,74
63,1,63
63,2,63
63,3,89
63,4,39
63,5,20
63,6,20
63,7,89
64,1,64
64,2,64
64,3,90
64,4,40
64,5,21
64,6,21
64,7,90
65,1,65
65,2,65
65,3,91
