pokemon_id,version_id,flavor_text
1,1,"A strange seed was
planted on its
back at birth.The plant sprouts
and grows with
this POKéMON."
1,2,"A strange seed was
planted on its
back at birth.The plant sprouts
and grows with
this POKéMON."
1,3,"It can go for days
without eating a
single morsel.In the bulb on
its back, it
stores energy."
1,4,"The seed on its
back is filled
with nutrients.The seed grows
steadily larger as
its body grows."
1,5,"It carries a seed
on its back right
from birth. As itgrows older, the
seed also grows
larger."
1,6,"While it is young,
it uses the
nutrients that arestored in the
seeds on its back
in order to grow."
1,7,"BULBASAUR can be seen napping in
bright sunlight.
There is a seed on its back.By soaking up the sun’s rays, the seed
grows progressively larger."
1,8,"BULBASAUR can be seen napping in
bright sunlight.
There is a seed on its back.By soaking up the sun’s rays, the seed
grows progressively larger."
1,9,"BULBASAUR can be seen napping in bright
sunlight. There is a seed on its back.
By soaking up the sun’s rays, the seed
grows progressively larger."
1,10,"There is a plant seed on its back right
from the day this POKéMON is born.
The seed slowly grows larger."
1,11,"A strange seed was planted on its back at
birth. The plant sprouts and grows with
this POKéMON."
1,12,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back."
1,13,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back."
1,14,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back."
1,15,"The seed on its back is filled
with nutrients. The seed grows
steadily larger as its body grows."
1,16,"It carries a seed on its back right
from birth. As it grows older, the
seed also grows larger."
2,1,"When the bulb on
its back grows
large, it appearsto lose the
ability to stand
on its hind legs."
2,2,"When the bulb on
its back grows
large, it appearsto lose the
ability to stand
on its hind legs."
2,3,"The bulb on its
back grows by
drawing energy.It gives off an
aroma when it is
ready to bloom."
2,4,"Exposure to sun­
light adds to its
strength. Sunlightalso makes the bud
on its back grow
larger."
2,5,"If the bud on its
back starts to
smell sweet, itis evidence that
the large flower
will soon bloom."
2,6,"The bulb on its
back grows as it
absorbs nutrients.The bulb gives off
a pleasant aroma
when it blooms."
2,7,"There is a bud on this POKéMON’s back.
To support its weight, IVYSAUR’s legs
and trunk grow thick and strong.If it starts spending more time lying
in the sunlight, it’s a sign that the
bud will bloom into a large flower soon."
2,8,"There is a bud on this POKéMON’s back.
To support its weight, IVYSAUR’s legs
and trunk grow thick and strong.If it starts spending more time lying
in the sunlight, it’s a sign that the
bud will bloom into a large flower soon."
2,9,"To support its bulb, IVYSAUR’s legs
grow sturdy. If it spends more time lying in
the sunlight, the bud will soon bloom into
a large flower."
2,10,"There is a plant bulb on its back.
When it absorbs nutrients, the bulb is said
to blossom into a large flower."
2,11,"When the bulb on its back grows large, it
appears to lose the ability to stand on
its hind legs."
2,12,"When the bud on its back starts
swelling, a sweet aroma wafts to
indicate the flower’s coming bloom."
2,13,"When the bud on its back starts
swelling, a sweet aroma wafts to
indicate the flower’s coming bloom."
2,14,"When the bud on its back starts
swelling, a sweet aroma wafts to
indicate the flower’s coming bloom."
2,15,"Exposure to sunlight adds to its
strength. Sunlight also makes the
bud on its back grow larger."
2,16,"If the bud on its back starts to
smell sweet, it is evidence that
the large flower will soon bloom."
3,1,"The plant blooms
when it is
absorbing solarenergy. It stays
on the move to
seek sunlight."
3,2,"The plant blooms
when it is
absorbing solarenergy. It stays
on the move to
seek sunlight."
3,3,"The flower on its
back catches the
sun's rays.The sunlight is
then absorbed and
used for energy."
3,4,"By spreading the
broad petals of
its flower andcatching the sun's
rays, it fills its
body with power."
3,5,"It is able to con­
vert sunlight into
energy. As aresult, it is more
powerful in the
summertime."
3,6,"As it warms it­
self and absorbs
the sunlight, itsflower petals
release a pleasant
fragrance."
3,7,"There is a large flower on VENUSAUR’s
back. The flower is said to take on vivid
colors if it gets plenty of nutritionand sunlight. The flower’s aroma
soothes the emotions of people."
3,8,"There is a large flower on VENUSAUR’s
back. The flower is said to take on vivid
colors if it gets plenty of nutritionand sunlight. The flower’s aroma
soothes the emotions of people."
3,9,"VENUSAUR’s flower is said to take on vivid
colors if it gets plenty of nutrition and
sunlight. The flower’s aroma soothes the
emotions of people."
