pokemon_id,generation_id,game_index
1,1,153
1,2,1
1,3,1
1,4,1
1,5,1
2,1,9
2,2,2
2,3,2
2,4,2
2,5,2
3,1,154
3,2,3
3,3,3
3,4,3
3,5,3
4,1,176
4,2,4
4,3,4
4,4,4
4,5,4
5,1,178
5,2,5
5,3,5
5,4,5
5,5,5
6,1,180
6,2,6
6,3,6
6,4,6
6,5,6
7,1,177
7,2,7
7,3,7
7,4,7
7,5,7
8,1,179
8,2,8
8,3,8
8,4,8
8,5,8
9,1,28
9,2,9
9,3,9
9,4,9
9,5,9
10,1,123
10,2,10
10,3,10
10,4,10
10,5,10
11,1,124
11,2,11
11,3,11
11,4,11
11,5,11
12,1,125
12,2,12
12,3,12
12,4,12
12,5,12
13,1,112
13,2,13
13,3,13
13,4,13
13,5,13
14,1,113
14,2,14
14,3,14
14,4,14
14,5,14
15,1,114
15,2,15
15,3,15
15,4,15
15,5,15
16,1,36
16,2,16
16,3,16
16,4,16
16,5,16
17,1,150
17,2,17
17,3,17
17,4,17
17,5,17
18,1,151
18,2,18
18,3,18
18,4,18
18,5,18
19,1,165
19,2,19
19,3,19
19,4,19
19,5,19
20,1,166
20,2,20
20,3,20
20,4,20
20,5,20
21,1,5
21,2,21
21,3,21
21,4,21
21,5,21
22,1,35
22,2,22
22,3,22
22,4,22
22,5,22
23,1,108
23,2,23
23,3,23
23,4,23
23,5,23
24,1,45
24,2,24
24,3,24
24,4,24
24,5,24
25,1,84
25,2,25
25,3,25
25,4,25
25,5,25
26,1,85
26,2,26
26,3,26
26,4,26
26,5,26
27,1,96
27,2,27
27,3,27
27,4,27
27,5,27
28,1,97
28,2,28
28,3,28
28,4,28
28,5,28
29,1,15
29,2,29
29,3,29
29,4,29
29,5,29
30,1,168
30,2,30
30,3,30
30,4,30
30,5,30
31,1,16
31,2,31
31,3,31
31,4,31
31,5,31
32,1,3
32,2,32
32,3,32
32,4,32
32,5,32
33,1,167
33,2,33
33,3,33
33,4,33
33,5,33
34,1,7
34,2,34
34,3,34
34,4,34
34,5,34
35,1,4
35,2,35
35,3,35
35,4,35
35,5,35
36,1,142
36,2,36
36,3,36
36,4,36
36,5,36
37,1,82
37,2,37
37,3,37
37,4,37
37,5,37
38,1,83
38,2,38
38,3,38
38,4,38
38,5,38
39,1,100
39,2,39
39,3,39
39,4,39
39,5,39
40,1,101
40,2,40
40,3,40
40,4,40
40,5,40
41,1,107
41,2,41
41,3,41
41,4,41
41,5,41
42,1,130
42,2,42
42,3,42
42,4,42
42,5,42
43,1,185
43,2,43
43,3,43
43,4,43
43,5,43
44,1,186
44,2,44
44,3,44
44,4,44
44,5,44
45,1,187
45,2,45
45,3,45
45,4,45
45,5,45
46,1,109
46,2,46
46,3,46
46,4,46
46,5,46
47,1,46
47,2,47
47,3,47
47,4,47
47,5,47
48,1,65
48,2,48
48,3,48
48,4,48
48,5,48
49,1,119
49,2,49
49,3,49
49,4,49
49,5,49
50,1,59
50,2,50
50,3,50
50,4,50
50,5,50
51,1,118
51,2,51
51,3,51
51,4,51
51,5,51
52,1,77
52,2,52
52,3,52
52,4,52
52,5,52
53,1,144
53,2,53
53,3,53
53,4,53
53,5,53
54,1,47
54,2,54
54,3,54
54,4,54
54,5,54
55,1,128
55,2,55
55,3,55
55,4,55
55,5,55
56,1,57
56,2,56
56,3,56
56,4,56
56,5,56
57,1,117
57,2,57
57,3,57
57,4,57
57,5,57
58,1,33
58,2,58
58,3,58
58,4,58
58,5,58
59,1,20
59,2,59
59,3,59
59,4,59
59,5,59
60,1,71
60,2,60
60,3,60
60,4,60
60,5,60
61,1,110
61,2,61
61,3,61
61,4,61
61,5,61
62,1,111
62,2,62
62,3,62
62,4,62
62,5,62
63,1,148
63,2,63
63,3,63
63,4,63
63,5,63
64,1,38
64,2,64
64,3,64
64,4,64
64,5,64
65,1,149
65,2,65
65,3,65
65,4,65
65,5,65
66,1,106
66,2,66
66,3,66
66,4,66
66,5,66
67,1,41
67,2,67
67,3,67
67,4,67
67,5,67
68,1,126
68,2,68
68,3,68
68,4,68
68,5,68
69,1,188
69,2,69
69,3,69
69,4,69
69,5,69
70,1,189
70,2,70
70,3,70
70,4,70
70,5,70
71,1,190
71,2,71
71,3,71
71,4,71
71,5,71
72,1,24
72,2,72
72,3,72
72,4,72
72,5,72
73,1,155
73,2,73
73,3,73
73,4,73
73,5,73
74,1,169
74,2,74
74,3,74
74,4,74
74,5,74
75,1,39
75,2,75
75,3,75
75,4,75
75,5,75
76,1,49
76,2,76
76,3,76
76,4,76
76,5,76
77,1,163
77,2,77
77,3,77
77,4,77
77,5,77
78,1,164
78,2,78
78,3,78
78,4,78
78,5,78
79,1,37
79,2,79
79,3,79
79,4,79
79,5,79
80,1,8
80,2,80
80,3,80
80,4,80
80,5,80
81,1,173
81,2,81
81,3,81
81,4,81
81,5,81
82,1,54
82,2,82
82,3,82
82,4,82
82,5,82
83,1,64
83,2,83
83,3,83
83,4,83
83,5,83
84,1,70
84,2,84
84,3,84
84,4,84
84,5,84
85,1,116
85,2,85
85,3,85
85,4,85
85,5,85
86,1,58
86,2,86
86,3,86
86,4,86
86,5,86
87,1,120
87,2,87
87,3,87
87,4,87
87,5,87
88,1,13
88,2,88
88,3,88
88,4,88
88,5,88
89,1,136
89,2,89
89,3,89
89,4,89
89,5,89
90,1,23
90,2,90
90,3,90
90,4,90
90,5,90
91,1,139
91,2,91
91,3,91
91,4,91
91,5,91
92,1,25
92,2,92
92,3,92
92,4,92
92,5,92
93,1,147
93,2,93
93,3,93
93,4,93
93,5,93
94,1,14
94,2,94
94,3,94
94,4,94
94,5,94
95,1,34
95,2,95
95,3,95
95,4,95
95,5,95
96,1,48
96,2,96
96,3,96
96,4,96
96,5,96
97,1,129
97,2,97
97,3,97
97,4,97
97,5,97
98,1,78
98,2,98
98,3,98
98,4,98
98,5,98
99,1,138
99,2,99
99,3,99
99,4,99
99,5,99
100,1,6
100,2,100
100,3,100
100,4,100
100,5,100
101,1,141
101,2,101
101,3,101
101,4,101
101,5,101
102,1,12
102,2,102
102,3,102
102,4,102
102,5,102
103,1,10
103,2,103
103,3,103
103,4,103
103,5,103
104,1,17
104,2,104
104,3,104
104,4,104
104,5,104
105,1,145
105,2,105
105,3,105
105,4,105
105,5,105
106,1,43
106,2,106
106,3,106
106,4,106
106,5,106
107,1,44
107,2,107
107,3,107
107,4,107
107,5,107
108,1,11
108,2,108
108,3,108
108,4,108
108,5,108
109,1,55
109,2,109
109,3,109
109,4,109
109,5,109
110,1,143
110,2,110
110,3,110
110,4,110
110,5,110
111,1,18
111,2,111
111,3,111
111,4,111
111,5,111
112,1,1
112,2,112
112,3,112
112,4,112
112,5,112
113,1,40
113,2,113
113,3,113
113,4,113
113,5,113
114,1,30
114,2,114
114,3,114
114,4,114
114,5,114
115,1,2
115,2,115
115,3,115
115,4,115
115,5,115
116,1,92
116,2,116
116,3,116
116,4,116
116,5,116
117,1,93
117,2,117
117,3,117
117,4,117
117,5,117
118,1,157
118,2,118
118,3,118
118,4,118
118,5,118
119,1,158
119,2,119
119,3,119
119,4,119
119,5,119
120,1,27
120,2,120
120,3,120
120,4,120
120,5,120
121,1,152
121,2,121
121,3,121
121,4,121
121,5,121
122,1,42
122,2,122
122,3,122
122,4,122
122,5,122
123,1,26
123,2,123
123,3,123
123,4,123
123,5,123
124,1,72
124,2,124
124,3,124
124,4,124
124,5,124
125,1,53
125,2,125
125,3,125
125,4,125
125,5,125
126,1,51
126,2,126
126,3,126
126,4,126
126,5,126
127,1,29
127,2,127
127,3,127
127,4,127
127,5,127
128,1,60
128,2,128
128,3,128
128,4,128
128,5,128
129,1,133
129,2,129
129,3,129
129,4,129
129,5,129
130,1,22
130,2,130
130,3,130
130,4,130
130,5,130
131,1,19
131,2,131
131,3,131
131,4,131
131,5,131
132,1,76
132,2,132
132,3,132
132,4,132
132,5,132
133,1,102
133,2,133
133,3,133
133,4,133
133,5,133
134,1,105
134,2,134
134,3,134
134,4,134
134,5,134
135,1,104
135,2,135
135,3,135
135,4,135
135,5,135
136,1,103
136,2,136
136,3,136
136,4,136
136,5,136
137,1,170
137,2,137
137,3,137
137,4,137
137,5,137
138,1,98
138,2,138
138,3,138
138,4,138
138,5,138
139,1,99
139,2,139
139,3,139
139,4,139
139,5,139
140,1,90
140,2,140
140,3,140
140,4,140
140,5,140
141,1,91
141,2,141
141,3,141
141,4,141
141,5,141
142,1,171
142,2,142
142,3,142
142,4,142
142,5,142
143,1,132
143,2,143
143,3,143
143,4,143
143,5,143
144,1,74
144,2,144
144,3,144
144,4,144
144,5,144
145,1,75
145,2,145
145,3,145
145,4,145
145,5,145
146,1,73
146,2,146
146,3,146
146,4,146
146,5,146
147,1,88
147,2,147
147,3,147
147,4,147
147,5,147
148,1,89
148,2,148
148,3,148
148,4,148
148,5,148
149,1,66
149,2,149
149,3,149
149,4,149
149,5,149
150,1,131
150,2,150
150,3,150
150,4,150
150,5,150
151,1,21
151,2,151
151,3,151
151,4,151
151,5,151
152,2,152
152,3,152
152,4,152
152,5,152
153,2,153
153,3,153
153,4,153
153,5,153
154,2,154
154,3,154
154,4,154
154,5,154
155,2,155
155,3,155
155,4,155
155,5,155
156,2,156
156,3,156
156,4,156
156,5,156
157,2,157
157,3,157
157,4,157
157,5,157
158,2,158
158,3,158
158,4,158
158,5,158
159,2,159
159,3,159
159,4,159
159,5,159
160,2,160
160,3,160
160,4,160
160,5,160
161,2,161
161,3,161
161,4,161
161,5,161
162,2,162
162,3,162
162,4,162
162,5,162
163,2,163
163,3,163
163,4,163
163,5,163
164,2,164
164,3,164
164,4,164
164,5,164
165,2,165
165,3,165
165,4,165
165,5,165
166,2,166
166,3,166
166,4,166
166,5,166
167,2,167
167,3,167
167,4,167
167,5,167
168,2,168
168,3,168
168,4,168
168,5,168
169,2,169
169,3,169
169,4,169
169,5,169
170,2,170
170,3,170
170,4,170
170,5,170
171,2,171
171,3,171
171,4,171
171,5,171
172,2,172
172,3,172
172,4,172
172,5,172
173,2,173
173,3,173
173,4,173
173,5,173
174,2,174
174,3,174
174,4,174
174,5,174
175,2,175
175,3,175
175,4,175
175,5,175
176,2,176
176,3,176
176,4,176
176,5,176
177,2,177
177,3,177
177,4,177
177,5,177
178,2,178
178,3,178
178,4,178
178,5,178
179,2,179
179,3,179
179,4,179
179,5,179
180,2,180
180,3,180
180,4,180
180,5,180
181,2,181
181,3,181
181,4,181
181,5,181
182,2,182
182,3,182
182,4,182
182,5,182
183,2,183
183,3,183
183,4,183
183,5,183
184,2,184
184,3,184
184,4,184
184,5,184
185,2,185
185,3,185
185,4,185
185,5,185
186,2,186
186,3,186
186,4,186
186,5,186
187,2,187
187,3,187
187,4,187
187,5,187
188,2,188
188,3,188
188,4,188
188,5,188
189,2,189
189,3,189
189,4,189
189,5,189
190,2,190
190,3,190
190,4,190
190,5,190
191,2,191
191,3,191
191,4,191
191,5,191
192,2,192
192,3,192
192,4,192
192,5,192
193,2,193
193,3,193
193,4,193
193,5,193
194,2,194
194,3,194
194,4,194
194,5,194
195,2,195
195,3,195
195,4,195
195,5,195
196,2,196
196,3,196
196,4,196
196,5,196
197,2,197
197,3,197
197,4,197
197,5,197
198,2,198
198,3,198
198,4,198
198,5,198
199,2,199
199,3,199
199,4,199
199,5,199
200,2,200
200,3,200
200,4,200
200,5,200
201,2,201
201,3,201
201,4,201
201,5,201
202,2,202
202,3,202
202,4,202
202,5,202
203,2,203
203,3,203
203,4,203
203,5,203
204,2,204
204,3,204
204,4,204
204,5,204
205,2,205
205,3,205
205,4,205
205,5,205
206,2,206
206,3,206
206,4,206
206,5,206
207,2,207
207,3,207
207,4,207
207,5,207
208,2,208
208,3,208
208,4,208
208,5,208
209,2,209
209,3,209
209,4,209
209,5,209
210,2,210
210,3,210
210,4,210
210,5,210
211,2,211
211,3,211
211,4,211
211,5,211
212,2,212
212,3,212
212,4,212
212,5,212
213,2,213
213,3,213
213,4,213
213,5,213
214,2,214
214,3,214
214,4,214
214,5,214
215,2,215
215,3,215
215,4,215
215,5,215
216,2,216
216,3,216
216,4,216
216,5,216
217,2,217
217,3,217
217,4,217
217,5,217
218,2,218
218,3,218
218,4,218
218,5,218
219,2,219
219,3,219
219,4,219
219,5,219
220,2,220
220,3,220
220,4,220
220,5,220
221,2,221
221,3,221
221,4,221
221,5,221
222,2,222
222,3,222
222,4,222
222,5,222
223,2,223
223,3,223
223,4,223
223,5,223
224,2,224
224,3,224
224,4,224
224,5,224
225,2,225
225,3,225
225,4,225
225,5,225
226,2,226
226,3,226
226,4,226
226,5,226
227,2,227
227,3,227
227,4,227
227,5,227
228,2,228
228,3,228
228,4,228
228,5,228
229,2,229
229,3,229
229,4,229
229,5,229
230,2,230
230,3,230
230,4,230
230,5,230
231,2,231
231,3,231
231,4,231
231,5,231
232,2,232
232,3,232
232,4,232
232,5,232
233,2,233
233,3,233
233,4,233
233,5,233
234,2,234
234,3,234
234,4,234
234,5,234
235,2,235
235,3,235
235,4,235
235,5,235
236,2,236
236,3,236
236,4,236
236,5,236
237,2,237
237,3,237
237,4,237
237,5,237
238,2,238
238,3,238
238,4,238
238,5,238
239,2,239
239,3,239
239,4,239
239,5,239
240,2,240
240,3,240
240,4,240
240,5,240
241,2,241
241,3,241
241,4,241
241,5,241
242,2,242
242,3,242
242,4,242
242,5,242
243,2,243
243,3,243
243,4,243
243,5,243
244,2,244
244,3,244
244,4,244
244,5,244
245,2,245
245,3,245
245,4,245
245,5,245
246,2,246
246,3,246
246,4,246
246,5,246
247,2,247
247,3,247
247,4,247
247,5,247
248,2,248
248,3,248
248,4,248
248,5,248
249,2,249
249,3,249
249,4,249
249,5,249
250,2,250
250,3,250
250,4,250
250,5,250
251,2,251
251,3,251
251,4,251
251,5,251
252,3,277
252,4,252
252,5,252
253,3,278
253,4,253
253,5,253
254,3,279
254,4,254
254,5,254
255,3,280
255,4,255
255,5,255
256,3,281
256,4,256
256,5,256
257,3,282
257,4,257
257,5,257
258,3,283
258,4,258
258,5,258
259,3,284
259,4,259
259,5,259
260,3,285
260,4,260
260,5,260
261,3,286
261,4,261
261,5,261
262,3,287
262,4,262
262,5,262
263,3,288
263,4,263
263,5,263
264,3,289
264,4,264
264,5,264
265,3,290
265,4,265
265,5,265
266,3,291
266,4,266
266,5,266
267,3,292
267,4,267
267,5,267
268,3,293
268,4,268
268,5,268
269,3,294
269,4,269
269,5,269
270,3,295
270,4,270
270,5,270
271,3,296
271,4,271
271,5,271
272,3,297
272,4,272
272,5,272
273,3,298
273,4,273
273,5,273
274,3,299
274,4,274
274,5,274
275,3,300
275,4,275
275,5,275
276,3,304
276,4,276
276,5,276
277,3,305
277,4,277
277,5,277
278,3,309
278,4,278
278,5,278
279,3,310
279,4,279
279,5,279
280,3,392
280,4,280
280,5,280
281,3,393
281,4,281
281,5,281
282,3,394
282,4,282
282,5,282
283,3,311
283,4,283
283,5,283
284,3,312
284,4,284
284,5,284
285,3,306
285,4,285
285,5,285
286,3,307
286,4,286
286,5,286
287,3,364
287,4,287
287,5,287
288,3,365
288,4,288
288,5,288
289,3,366
289,4,289
289,5,289
290,3,301
290,4,290
290,5,290
291,3,302
291,4,291
291,5,291
292,3,303
292,4,292
292,5,292
293,3,370
293,4,293
293,5,293
294,3,371
294,4,294
294,5,294
295,3,372
295,4,295
295,5,295
296,3,335
296,4,296
296,5,296
297,3,336
297,4,297
297,5,297
298,3,350
298,4,298
298,5,298
299,3,320
299,4,299
299,5,299
300,3,315
300,4,300
300,5,300
301,3,316
301,4,301
301,5,301
302,3,322
302,4,302
302,5,302
303,3,355
303,4,303
303,5,303
304,3,382
304,4,304
304,5,304
305,3,383
305,4,305
305,5,305
306,3,384
306,4,306
306,5,306
307,3,356
307,4,307
307,5,307
308,3,357
308,4,308
308,5,308
309,3,337
309,4,309
309,5,309
310,3,338
310,4,310
310,5,310
311,3,353
311,4,311
311,5,311
312,3,354
312,4,312
312,5,312
313,3,386
313,4,313
313,5,313
314,3,387
314,4,314
314,5,314
315,3,363
315,4,315
315,5,315
316,3,367
316,4,316
316,5,316
317,3,368
317,4,317
317,5,317
318,3,330
318,4,318
318,5,318
319,3,331
319,4,319
319,5,319
320,3,313
320,4,320
320,5,320
321,3,314
321,4,321
321,5,321
322,3,339
322,4,322
322,5,322
323,3,340
323,4,323
323,5,323
324,3,321
324,4,324
324,5,324
325,3,351
325,4,325
325,5,325
326,3,352
326,4,326
326,5,326
327,3,308
327,4,327
327,5,327
328,3,332
328,4,328
328,5,328
329,3,333
329,4,329
329,5,329
330,3,334
330,4,330
330,5,330
331,3,344
331,4,331
331,5,331
332,3,345
332,4,332
332,5,332
333,3,358
333,4,333
333,5,333
334,3,359
334,4,334
334,5,334
335,3,380
335,4,335
335,5,335
336,3,379
336,4,336
336,5,336
337,3,348
337,4,337
337,5,337
338,3,349
338,4,338
338,5,338
339,3,323
339,4,339
339,5,339
340,3,324
340,4,340
340,5,340
341,3,326
341,4,341
341,5,341
342,3,327
342,4,342
342,5,342
343,3,318
343,4,343
343,5,343
344,3,319
344,4,344
344,5,344
345,3,388
345,4,345
345,5,345
346,3,389
346,4,346
346,5,346
347,3,390
347,4,347
347,5,347
348,3,391
348,4,348
348,5,348
349,3,328
349,4,349
349,5,349
350,3,329
350,4,350
350,5,350
351,3,385
351,4,351
351,5,351
352,3,317
352,4,352
352,5,352
353,3,377
353,4,353
353,5,353
354,3,378
354,4,354
354,5,354
355,3,361
355,4,355
355,5,355
356,3,362
356,4,356
356,5,356
357,3,369
357,4,357
357,5,357
358,3,411
358,4,358
358,5,358
359,3,376
359,4,359
359,5,359
360,3,360
360,4,360
360,5,360
361,3,346
361,4,361
361,5,361
362,3,347
362,4,362
362,5,362
363,3,341
363,4,363
363,5,363
364,3,342
364,4,364
364,5,364
365,3,343
365,4,365
365,5,365
366,3,373
366,4,366
366,5,366
367,3,374
367,4,367
367,5,367
368,3,375
368,4,368
368,5,368
369,3,381
369,4,369
369,5,369
370,3,325
370,4,370
370,5,370
371,3,395
371,4,371
371,5,371
372,3,396
372,4,372
372,5,372
373,3,397
373,4,373
373,5,373
374,3,398
374,4,374
374,5,374
375,3,399
375,4,375
375,5,375
376,3,400
376,4,376
376,5,376
377,3,401
377,4,377
377,5,377
378,3,402
378,4,378
378,5,378
379,3,403
379,4,379
379,5,379
380,3,407
380,4,380
380,5,380
381,3,408
381,4,381
381,5,381
382,3,404
382,4,382
382,5,382
383,3,405
383,4,383
383,5,383
384,3,406
384,4,384
384,5,384
385,3,409
385,4,385
385,5,385
386,3,410
386,4,386
386,5,386
387,4,387
387,5,387
388,4,388
388,5,388
389,4,389
389,5,389
390,4,390
390,5,390
391,4,391
391,5,391
392,4,392
392,5,392
393,4,393
393,5,393
394,4,394
394,5,394
395,4,395
395,5,395
396,4,396
396,5,396
397,4,397
397,5,397
398,4,398
398,5,398
399,4,399
399,5,399
400,4,400
400,5,400
401,4,401
401,5,401
402,4,402
402,5,402
403,4,403
403,5,403
404,4,404
404,5,404
405,4,405
405,5,405
406,4,406
406,5,406
407,4,407
407,5,407
408,4,408
408,5,408
409,4,409
409,5,409
410,4,410
410,5,410
411,4,411
411,5,411
412,4,412
412,5,412
413,4,413
413,5,413
414,4,414
414,5,414
415,4,415
415,5,415
416,4,416
416,5,416
417,4,417
417,5,417
418,4,418
418,5,418
419,4,419
419,5,419
420,4,420
420,5,420
421,4,421
421,5,421
422,4,422
422,5,422
423,4,423
423,5,423
424,4,424
424,5,424
425,4,425
425,5,425
426,4,426
426,5,426
427,4,427
427,5,427
428,4,428
428,5,428
429,4,429
429,5,429
430,4,430
430,5,430
431,4,431
431,5,431
432,4,432
432,5,432
433,4,433
433,5,433
434,4,434
434,5,434
435,4,435
435,5,435
436,4,436
436,5,436
437,4,437
437,5,437
438,4,438
438,5,438
439,4,439
439,5,439
440,4,440
440,5,440
441,4,441
441,5,441
442,4,442
442,5,442
443,4,443
443,5,443
444,4,444
444,5,444
445,4,445
445,5,445
446,4,446
446,5,446
447,4,447
447,5,447
448,4,448
448,5,448
449,4,449
449,5,449
450,4,450
450,5,450
451,4,451
451,5,451
452,4,452
452,5,452
453,4,453
453,5,453
454,4,454
454,5,454
455,4,455
455,5,455
456,4,456
456,5,456
457,4,457
457,5,457
458,4,458
458,5,458
459,4,459
459,5,459
460,4,460
460,5,460
461,4,461
461,5,461
462,4,462
462,5,462
463,4,463
463,5,463
464,4,464
464,5,464
465,4,465
465,5,465
466,4,466
466,5,466
467,4,467
467,5,467
468,4,468
468,5,468
469,4,469
469,5,469
470,4,470
470,5,470
471,4,471
471,5,471
472,4,472
472,5,472
473,4,473
473,5,473
474,4,474
474,5,474
475,4,475
475,5,475
476,4,476
476,5,476
477,4,477
477,5,477
478,4,478
478,5,478
479,4,479
479,5,479
480,4,480
480,5,480
481,4,481
481,5,481
482,4,482
482,5,482
483,4,483
483,5,483
484,4,484
484,5,484
485,4,485
485,5,485
486,4,486
486,5,486
487,4,487
487,5,487
488,4,488
488,5,488
489,4,489
489,5,489
490,4,490
490,5,490
491,4,491
491,5,491
492,4,492
492,5,492
493,4,493
493,5,493
494,5,494
495,5,495
496,5,496
497,5,497
498,5,498
499,5,499
500,5,500
501,5,501
502,5,502
503,5,503
504,5,504
505,5,505
506,5,506
507,5,507
508,5,508
509,5,509
510,5,510
511,5,511
512,5,512
513,5,513
514,5,514
515,5,515
516,5,516
517,5,517
518,5,518
519,5,519
520,5,520
521,5,521
522,5,522
523,5,523
524,5,524
525,5,525
526,5,526
527,5,527
528,5,528
529,5,529
530,5,530
531,5,531
532,5,532
533,5,533
534,5,534
535,5,535
536,5,536
537,5,537
538,5,538
539,5,539
540,5,540
541,5,541
542,5,542
543,5,543
544,5,544
545,5,545
546,5,546
547,5,547
548,5,548
549,5,549
550,5,550
551,5,551
552,5,552
553,5,553
554,5,554
555,5,555
556,5,556
557,5,557
558,5,558
559,5,559
560,5,560
561,5,561
562,5,562
563,5,563
564,5,564
565,5,565
566,5,566
567,5,567
568,5,568
569,5,569
570,5,570
571,5,571
572,5,572
573,5,573
574,5,574
575,5,575
576,5,576
577,5,577
578,5,578
579,5,579
580,5,580
581,5,581
582,5,582
583,5,583
584,5,584
585,5,585
586,5,586
587,5,587
588,5,588
589,5,589
590,5,590
591,5,591
592,5,592
593,5,593
594,5,594
595,5,595
596,5,596
597,5,597
598,5,598
599,5,599
600,5,600
601,5,601
602,5,602
603,5,603
604,5,604
605,5,605
606,5,606
607,5,607
608,5,608
609,5,609
610,5,610
611,5,611
612,5,612
613,5,613
614,5,614
615,5,615
616,5,616
617,5,617
618,5,618
619,5,619
620,5,620
621,5,621
622,5,622
623,5,623
624,5,624
625,5,625
626,5,626
627,5,627
628,5,628
629,5,629
630,5,630
631,5,631
632,5,632
633,5,633
634,5,634
635,5,635
636,5,636
637,5,637
638,5,638
639,5,639
640,5,640
641,5,641
642,5,642
643,5,643
644,5,644
645,5,645
646,5,646
647,5,647
648,5,648
649,5,649
650,4,496
650,5,650
651,4,497
651,5,651
652,4,498
652,5,652
653,4,499
653,5,653
654,4,500
654,5,654
655,4,502
655,5,655
656,4,501
656,5,656
657,4,503
657,5,657
658,4,504
658,5,658
659,4,505
659,5,659
660,4,506
660,5,660
661,4,507
661,5,661
662,5,662
663,5,663
664,5,664
665,5,665
666,5,666
667,5,667
