pokemon_id,version_id,item_id,rarity
12,12,199,5
12,13,199,5
12,14,199,5
15,12,222,5
15,13,222,5
15,14,222,5
19,12,177,5
19,13,177,5
19,14,177,5
20,12,177,5
20,13,177,5
20,14,177,5
22,12,221,5
22,13,221,5
22,14,221,5
25,12,132,50
25,12,213,5
25,13,132,50
25,13,213,5
25,14,132,50
25,14,213,5
26,12,132,5
26,13,132,5
26,14,132,5
27,12,194,5
27,13,194,5
27,14,194,5
28,12,194,5
28,13,194,5
28,14,194,5
35,12,81,5
35,12,131,50
35,13,81,5
35,13,131,50
35,14,81,5
35,14,131,50
36,12,81,5
36,12,131,50
36,13,81,5
36,13,131,50
36,14,81,5
36,14,131,50
37,12,129,100
37,13,129,100
37,14,129,100
38,12,129,100
38,13,129,100
38,14,129,100
46,12,86,50
46,12,87,5
46,13,86,50
46,13,87,5
46,14,86,50
46,14,87,5
47,12,86,50
47,12,87,5
47,13,86,50
47,13,87,5
47,14,86,50
47,14,87,5
49,12,272,5
49,13,272,5
49,14,272,5
50,12,214,5
50,13,214,5
50,14,214,5
51,12,214,5
51,13,214,5
51,14,214,5
52,12,194,5
52,13,194,5
52,14,194,5
53,12,194,5
53,13,194,5
53,14,194,5
56,12,170,5
56,13,170,5
56,14,170,5
57,12,170,5
57,13,170,5
57,14,170,5
58,12,129,100
58,13,129,100
58,14,129,100
59,12,129,100
59,13,129,100
59,14,129,100
61,12,198,5
61,13,198,5
61,14,198,5
62,12,198,5
62,13,198,5
62,14,198,5
63,12,225,5
63,13,225,5
63,14,225,5
64,12,225,5
64,13,225,5
64,14,225,5
65,12,225,5
65,13,225,5
65,14,225,5
72,12,222,5
72,13,222,5
72,14,222,5
73,12,222,5
73,13,222,5
73,14,222,5
74,12,206,5
74,13,206,5
74,14,206,5
75,12,206,5
75,13,206,5
75,14,206,5
76,12,206,5
76,13,206,5
76,14,206,5
77,12,168,5
77,13,168,5
77,14,168,5
78,12,168,5
78,13,168,5
78,14,168,5
79,12,256,5
79,13,256,5
79,14,256,5
80,12,198,5
80,13,198,5
80,14,198,5
81,12,210,5
81,13,210,5
81,14,210,5
82,12,210,5
82,13,210,5
82,14,210,5
83,12,236,5
83,13,236,5
83,14,236,5
84,12,221,5
84,13,221,5
84,14,221,5
85,12,221,5
85,13,221,5
85,14,221,5
88,12,92,5
88,13,92,5
88,14,92,5
89,12,92,5
89,13,92,5
89,14,92,5
90,12,88,50
90,12,89,5
90,13,88,50
90,13,89,5
90,14,88,50
90,14,89,5
91,12,88,50
91,12,89,5
91,13,88,50
91,13,89,5
91,14,88,50
91,14,89,5
104,12,235,5
104,13,235,5
104,14,235,5
105,12,235,5
105,13,235,5
105,14,235,5
108,12,256,5
108,13,256,5
108,14,256,5
109,12,205,5
109,13,205,5
109,14,205,5
110,12,205,5
110,13,205,5
110,14,205,5
113,12,110,50
113,12,208,5
113,13,110,50
113,13,208,5
113,14,110,50
113,14,208,5
116,12,212,5
116,13,212,5
116,14,212,5
117,12,212,5
117,13,212,5
117,14,212,5
120,12,90,50
120,12,91,5
120,13,90,50
120,13,91,5
120,14,90,50
120,14,91,5
121,12,90,50
121,12,91,5
121,13,90,50
121,13,91,5
121,14,90,50
121,14,91,5
122,12,131,5
122,13,131,5
122,14,131,5
124,12,130,100
124,13,130,100
124,14,130,100
125,12,299,50
125,13,299,5
125,14,299,50
126,12,300,5
126,13,300,50
126,14,300,50
132,12,234,5
132,12,251,50
132,13,234,5
132,13,251,50
132,14,234,5
132,14,251,50
143,12,211,100
143,13,211,100
143,14,211,100
147,12,212,5
147,13,212,5
147,14,212,5
148,12,212,5
148,13,212,5
148,14,212,5
149,12,212,5
149,13,212,5
149,14,212,5
151,12,134,100
151,13,134,100
151,14,134,100
161,12,132,5
161,13,132,5
161,14,132,5
162,12,132,50
162,12,135,5
162,13,132,50
162,13,135,5
162,14,132,50
162,14,135,5
170,12,204,5
170,13,204,5
170,14,204,5
171,12,204,5
171,13,204,5
171,14,204,5
172,12,132,5
172,13,132,5
172,14,132,5
173,12,81,5
173,12,131,50
173,13,81,5
173,13,131,50
173,14,81,5
173,14,131,50
186,12,198,5
186,13,198,5
186,14,198,5
191,12,169,5
191,13,169,5
191,14,169,5
193,12,242,5
193,13,242,5
193,14,242,5
199,12,198,5
199,13,198,5
199,14,198,5
203,12,133,5
203,13,133,5
203,14,133,5
208,12,210,5
208,13,210,5
208,14,210,5
211,12,222,5
211,13,222,5
211,14,222,5
213,12,132,100
213,13,132,100
213,14,132,100
215,12,194,5
215,12,263,50
215,13,194,5
215,13,263,50
215,14,194,5
215,14,263,50
222,12,215,5
222,13,215,5
222,14,215,5
230,12,212,5
230,13,212,5
230,14,212,5
231,12,162,5
231,13,162,5
231,14,162,5
232,12,162,5
232,13,162,5
232,14,162,5
238,12,130,100
238,13,130,100
238,14,130,100
239,12,299,50
239,13,299,5
239,14,299,50
240,12,300,5
240,13,300,50
240,14,300,50
241,12,33,100
241,13,33,100
241,14,33,100
242,12,110,50
242,12,208,5
242,13,110,50
242,13,208,5
242,14,110,50
242,14,208,5
250,12,44,100
250,13,44,100
250,14,44,100
251,12,134,100
251,13,134,100
251,14,134,100
261,12,128,5
261,13,128,5
261,14,128,5
262,12,128,5
262,13,128,5
262,14,128,5
263,12,132,5
263,13,132,5
263,14,132,5
264,12,132,50
264,12,135,5
264,13,132,50
264,13,135,5
264,14,132,50
264,14,135,5
267,12,272,5
267,13,272,5
267,14,272,5
269,12,272,5
269,13,272,5
269,14,272,5
276,12,172,5
276,13,172,5
276,14,172,5
277,12,172,5
277,13,172,5
277,14,172,5
284,12,199,5
284,13,199,5
284,14,199,5
285,12,167,5
285,13,167,5
285,14,167,5
286,12,167,5
286,13,167,5
286,14,167,5
293,12,127,5
293,13,127,5
293,14,127,5
294,12,127,5
294,13,127,5
294,14,127,5
295,12,127,5
295,13,127,5
295,14,127,5
297,12,198,5
297,13,198,5
297,14,198,5
299,12,215,5
299,13,215,5
299,14,215,5
300,12,131,5
300,13,131,5
300,14,131,5
301,12,131,5
301,13,131,5
301,14,131,5
303,12,161,5
303,13,161,5
303,14,161,5
304,12,215,5
304,13,215,5
304,14,215,5
305,12,215,5
305,13,215,5
305,14,215,5
306,12,215,5
306,13,215,5
306,14,215,5
315,12,222,5
315,13,222,5
315,14,222,5
316,12,89,5
316,13,89,5
316,14,89,5
317,12,89,5
317,13,89,5
317,14,89,5
318,12,203,5
318,13,203,5
318,14,203,5
319,12,203,5
319,13,203,5
319,14,203,5
322,12,129,100
322,13,129,100
322,14,129,100
323,12,129,100
323,13,129,100
323,14,129,100
325,12,171,5
325,13,171,5
325,14,171,5
326,12,171,5
326,13,171,5
326,14,171,5
327,12,127,5
327,13,127,5
327,14,127,5
328,12,214,5
328,13,214,5
328,14,214,5
331,12,265,5
331,13,265,5
331,14,265,5
332,12,265,5
332,13,265,5
332,14,265,5
335,12,194,5
335,13,194,5
335,14,194,5
337,12,81,5
337,13,81,5
337,14,81,5
338,12,80,5
338,13,80,5
338,14,80,5
345,12,273,5
345,13,273,5
345,14,273,5
346,12,273,5
346,13,273,5
346,14,273,5
351,12,220,100
351,13,220,100
351,14,220,100
352,12,133,5
352,13,133,5
352,14,133,5
353,12,224,5
353,13,224,5
353,14,224,5
354,12,224,5
354,13,224,5
354,14,224,5
355,12,173,5
355,13,173,5
355,14,173,5
356,12,173,5
356,13,173,5
356,14,173,5
358,12,175,5
358,13,175,5
358,14,175,5
361,12,176,5
361,13,176,5
361,14,176,5
362,12,176,5
362,13,176,5
362,14,176,5
366,12,89,5
366,13,89,5
366,14,89,5
367,12,203,5
367,13,203,5
367,14,203,5
368,12,204,5
368,13,204,5
368,14,204,5
369,12,204,5
369,13,204,5
369,14,204,5
370,12,93,50
370,13,93,50
370,14,93,50
371,12,227,5
371,13,227,5
371,14,227,5
372,12,227,5
372,13,227,5
372,14,227,5
373,12,227,5
373,13,227,5
373,14,227,5
374,12,210,5
374,13,210,5
374,14,210,5
375,12,210,5
375,13,210,5
375,14,210,5
376,12,210,5
376,13,210,5
376,14,210,5
385,12,91,100
385,13,91,100
385,14,91,100
396,12,165,5
396,13,165,5
396,14,165,5
397,12,165,5
397,13,165,5
397,14,165,5
398,12,165,5
398,13,165,5
398,14,165,5
400,12,132,50
400,12,135,5
400,13,132,50
400,13,135,5
400,14,132,50
400,14,135,5
401,12,254,5
401,13,254,5
401,14,254,5
402,12,254,5
402,13,254,5
402,14,254,5
406,12,222,5
406,13,222,5
406,14,222,5
407,12,222,5
407,13,222,5
407,14,222,5
413,12,199,5
413,13,199,5
413,14,199,5
414,12,199,5
414,13,199,5
414,14,199,5
415,12,94,100
415,13,94,100
415,14,94,100
416,12,222,5
416,13,222,5
416,14,222,5
