moveset_id,version_group_id
1,1
1,2
2,3
2,4
3,5
3,6
3,7
3,12
3,13
4,8
4,9
4,10
5,11
5,14
6,15
7,3
7,4
8,3
9,5
9,6
9,7
10,8
10,9
10,10
11,10
12,11
12,14
13,15
14,6
14,7
14,13
15,6
16,13
17,7
18,9
18,10
19,10
20,11
20,14
21,14
22,15
23,1
23,2
24,3
24,4
25,5
25,6
25,7
25,8
25,9
25,10
25,12
25,13
26,8
26,9
26,10
27,11
27,14
27,15
28,15
29,1
29,2
30,3
30,4
31,5
31,6
31,7
31,12
31,13
32,8
32,9
32,10
33,11
33,14
34,15
35,6
35,7
35,13
36,6
37,13
38,7
39,9
39,10
40,10
41,11
41,14
42,14
43,15
44,1
44,2
45,3
45,4
46,5
46,6
46,7
46,8
46,9
46,10
46,12
46,13
47,8
47,9
47,10
48,11
48,14
48,15
49,15
50,1
50,2
51,3
51,4
52,5
52,6
52,7
52,12
52,13
53,8
53,9
53,10
54,11
54,14
55,15
56,6
56,7
56,13
57,6
58,13
59,7
60,8
60,9
60,10
61,9
61,10
62,10
63,11
63,14
64,14
65,15
66,1
66,2
67,3
67,4
68,5
68,6
68,7
68,8
68,9
68,10
68,12
68,13
69,8
69,9
69,10
70,11
70,14
70,15
71,15
72,1
72,2
73,3
73,4
74,5
74,6
74,7
74,12
74,13
75,5
75,6
75,12
75,13
76,7
77,8
77,9
77,10
78,11
78,14
79,15
80,3
80,4
81,5
81,6
81,7
82,8
82,9
82,10
83,10
84,11
84,14
85,15
86,4
87,6
87,7
87,13
88,6
89,13
90,7
91,9
91,10
92,10
93,11
93,14
94,14
95,15
96,1
96,2
97,3
97,4
98,5
98,6
98,7
98,8
98,9
98,10
98,12
98,13
99,8
99,9
99,10
100,11
100,14
100,15
101,15
102,1
102,2
103,3
103,4
104,5
104,6
104,7
104,12
104,13
105,5
105,6
105,12
105,13
106,7
107,8
107,9
107,10
108,11
108,14
109,15
110,4
111,6
111,7
111,13
112,6
113,13
114,7
115,9
115,10
116,10
117,11
117,14
118,14
119,15
120,1
120,2
121,3
121,4
122,5
122,6
122,7
122,8
122,9
122,10
122,12
122,13
123,8
123,9
123,10
124,11
124,14
124,15
125,15
126,1
126,2
127,3
127,4
128,5
128,6
128,7
128,12
128,13
129,5
129,6
129,12
129,13
130,7
131,8
131,9
131,10
132,11
132,14
133,15
134,4
135,6
135,7
135,13
136,6
137,13
138,7
139,8
139,9
139,10
140,9
140,10
141,10
142,11
142,14
143,14
144,15
145,1
145,2
146,2
147,3
147,4
148,5
148,6
148,7
148,8
148,9
148,10
148,12
148,13
149,8
149,9
150,10
151,11
151,14
151,15
152,15
153,1
153,2
154,3
154,4
155,5
155,6
155,7
155,12
155,13
156,8
156,9
156,10
157,8
158,9
158,10
159,11
159,14
160,15
161,3
161,4
162,5
162,6
162,7
163,8
163,9
163,10
164,10
165,11
165,14
166,15
167,4
168,6
168,7
168,13
169,6
170,13
171,7
172,9
172,10
173,10
174,11
174,14
175,14
176,15
177,1
177,2
178,3
178,4
179,5
179,6
179,7
179,8
179,9
179,10
179,12
179,13
180,5
180,6
180,7
180,12
180,13
181,8
181,9
181,10
182,10
183,11
183,14
183,15
184,11
184,14
185,15
186,1
186,2
187,3
187,4
188,5
188,6
188,7
188,12
188,13
189,8
189,9
189,10
190,8
191,9
191,10
192,11
192,14
193,15
194,4
195,6
195,7
195,13
196,6
197,13
198,7
199,9
199,10
200,10
201,11
201,14
202,14
203,15
204,1
204,2
205,3
205,4
206,5
206,6
206,7
206,8
206,9
206,10
206,12
206,13
207,5
207,6
207,7
207,12
207,13
208,8
208,9
208,10
209,10
210,11
210,14
210,15
211,11
211,14
212,15
213,1
213,2
214,3
214,4
215,5
215,6
215,7
215,12
215,13
216,8
216,9
216,10
217,8
218,9
218,10
219,11
219,14
220,15
221,4
222,6
222,7
222,13
223,6
224,13
225,7
226,8
226,9
226,10
227,9
227,10
228,10
229,11
229,14
230,14
231,15
232,1
232,2
233,3
233,4
234,5
234,6
234,7
234,8
234,9
234,10
234,12
234,13
235,5
235,6
235,7
235,12
235,13
236,8
236,9
236,10
237,10
238,11
238,14
238,15
239,11
239,14
240,15
241,1
241,2
242,3
242,4
243,5
243,6
243,7
243,12
243,13
244,8
244,9
244,10
245,9
245,10
246,11
246,14
247,15
248,9
248,10
249,10
250,14
251,1
251,2
252,2
253,3
253,4
254,5
254,6
254,7
254,12
254,13
255,8
255,9
255,10
256,11
256,14
257,15
258,9
258,10
259,10
260,14
261,1
261,2
262,1
263,2
264,3
264,4
265,5
265,6
265,7
265,12
265,13
266,8
266,9
266,10
267,11
267,14
268,15
269,6
269,7
269,13
270,6
271,13
272,9
272,10
273,10
274,14
275,1
275,2
276,2
277,3
277,4
278,5
278,6
278,7
278,8
278,9
278,10
278,12
278,13
279,8
279,9
280,10
281,11
281,14
281,15
282,15
283,1
283,2
284,3
284,4
285,5
285,6
285,7
285,12
285,13
286,8
286,9
286,10
287,9
287,10
288,11
288,14
289,15
290,10
291,14
292,1
292,2
293,3
293,4
294,5
294,6
294,7
294,12
294,13
295,8
295,9
295,10
296,11
296,14
297,15
298,9
298,10
299,10
300,14
301,1
301,2
302,3
302,4
303,5
303,6
303,7
303,12
303,13
304,8
304,9
304,10
305,11
305,14
306,15
307,6
307,7
307,13
308,6
309,13
310,7
311,9
311,10
312,10
313,14
314,1
314,2
315,3
315,4
316,5
316,6
316,7
316,8
316,9
316,10
316,12
316,13
317,8
317,9
318,10
319,11
319,14
319,15
320,15
321,1
321,2
322,3
322,4
323,5
323,6
323,7
323,12
323,13
324,8
324,9
324,10
325,11
325,14
326,15
327,3
327,4
328,3
329,5
329,6
329,7
330,8
330,9
330,10
331,11
331,14
332,15
333,6
333,7
333,13
334,6
335,13
336,9
336,10
337,10
338,14
339,1
339,2
340,3
340,4
341,5
341,6
341,7
341,8
341,9
341,10
341,12
341,13
342,8
342,9
343,10
344,11
344,14
344,15
345,11
345,14
346,15
347,1
347,2
348,3
348,4
349,5
349,6
349,7
349,12
349,13
350,8
350,9
350,10
351,11
351,14
352,15
353,6
353,7
353,13
354,6
355,13
356,9
356,10
357,10
358,14
359,1
359,2
360,3
360,4
361,5
361,6
361,7
361,8
361,9
361,10
361,12
361,13
362,8
362,9
363,10
364,11
364,14
364,15
365,11
365,14
366,15
367,1
367,2
368,3
368,4
369,5
369,6
369,7
369,12
369,13
370,8
370,9
370,10
371,11
371,14
372,15
373,6
373,7
373,13
374,6
375,13
376,9
376,10
377,10
378,14
379,1
379,2
380,3
380,4
381,5
381,6
381,7
381,8
381,9
381,10
381,12
381,13
382,8
382,9
383,10
384,11
384,14
384,15
385,11
385,14
386,15
387,1
387,2
388,3
388,4
389,5
389,6
389,7
389,12
389,13
390,8
390,9
390,10
391,11
391,14
392,15
393,3
393,4
394,5
394,6
394,7
395,8
395,9
395,10
396,11
396,14
397,15
398,6
398,7
398,13
399,6
400,13
401,7
402,9
402,10
403,10
404,14
405,1
405,2
406,3
406,4
407,5
407,6
407,7
407,8
407,9
407,10
407,12
407,13
408,8
408,9
408,10
409,11
409,14
409,15
410,11
410,14
411,15
412,1
412,2
413,3
413,4
414,5
414,6
414,7
414,12
414,13
415,8
415,9
415,10
416,11
416,14
417,15
418,4
419,6
419,7
419,13
420,6
421,13
422,7
423,9
423,10
424,10
425,14
426,1
426,2
427,3
427,4
428,5
428,6
428,7
428,8
428,9
428,10
428,12
428,13
429,8
429,9
429,10
430,11
430,14
430,15
431,11
431,14
432,15
433,1
433,2
434,3
434,4
435,5
435,6
435,7
435,12
435,13
436,8
436,9
436,10
437,11
437,14
438,15
439,3
439,4
440,5
440,6
440,7
441,8
441,9
441,10
442,10
443,11
443,14
444,15
445,6
445,7
445,13
446,6
447,13
448,9
448,10
449,10
450,14
451,1
451,2
452,3
452,4
453,5
453,6
453,7
453,8
453,9
453,10
453,12
453,13
454,8
454,9
455,10
456,11
456,14
456,15
457,11
457,14
458,15
459,1
459,2
460,3
460,4
461,5
461,6
461,7
461,12
461,13
462,8
462,9
462,10
463,11
463,14
464,15
465,6
465,7
465,13
466,6
467,13
468,9
468,10
469,10
470,14
471,1
471,2
472,3
472,4
473,5
473,6
473,7
473,8
473,9
473,10
473,12
473,13
474,8
474,9
475,10
476,11
476,14
476,15
477,11
477,14
478,15
479,1
479,2
480,3
480,4
481,5
481,6
481,7
481,12
481,13
482,8
482,9
482,10
483,11
483,14
484,15
485,3
485,4
486,4
487,5
487,6
487,7
488,8
488,9
488,10
489,10
490,11
490,14
491,15
492,6
492,7
492,13
493,6
494,13
495,7
496,9
496,10
497,10
498,14
499,1
499,2
500,3
500,4
501,5
501,6
501,7
501,8
501,9
501,10
501,12
501,13
502,8
502,9
502,10
503,11
503,14
503,15
504,15
505,1
505,2
506,3
506,4
507,5
507,6
507,7
507,12
507,13
508,8
508,9
508,10
509,11
509,14
510,15
511,6
511,7
511,13
512,6
513,13
514,7
515,9
515,10
516,10
517,14
518,1
518,2
519,3
519,4
520,5
520,6
520,7
520,8
520,9
520,10
520,12
520,13
521,8
521,9
521,10
522,11
522,14
522,15
523,15
524,1
524,2
525,1
526,2
527,3
527,4
528,5
528,6
528,7
528,12
528,13
529,8
529,9
529,10
530,11
530,14
531,15
532,4
533,6
533,7
533,13
534,6
535,13
536,7
537,9
537,10
538,10
539,14
540,1
540,2
541,3
541,4
542,5
542,6
542,7
542,8
542,9
542,10
542,12
542,13
543,8
543,9
543,10
544,11
544,14
544,15
545,15
546,1
546,2
547,1
547,2
548,3
548,4
549,5
549,6
549,7
549,12
549,13
550,8
550,9
550,10
551,11
551,14
552,15
553,4
554,6
554,7
554,13
555,6
556,13
557,7
558,9
558,10
559,10
560,14
561,1
561,2
562,3
562,4
563,5
563,6
563,7
563,8
563,9
563,10
563,12
563,13
564,8
564,9
564,10
565,11
565,14
565,15
566,15
567,1
567,2
568,3
568,4
569,5
569,6
569,7
569,12
569,13
570,8
570,9
570,10
571,11
572,14
573,15
574,3
574,4
575,4
576,5
576,6
576,7
577,8
577,9
577,10
578,10
579,11
579,14
580,15
581,6
581,7
581,13
582,6
583,13
584,7
585,9
585,10
586,10
587,14
588,1
588,2
589,3
589,4
590,5
590,6
590,7
590,8
590,9
590,10
590,12
590,13
591,8
591,9
591,10
592,11
592,14
592,15
593,15
594,1
594,2
595,3
595,4
596,5
596,6
596,7
596,12
596,13
597,8
597,9
597,10
598,11
598,14
599,11
600,14
601,15
602,6
602,7
602,13
603,6
604,13
605,7
606,9
606,10
607,10
608,14
609,1
609,2
610,3
610,4
611,5
611,6
611,7
611,8
611,9
611,10
611,12
611,13
612,8
612,9
612,10
613,11
613,14
613,15
614,15
615,1
615,2
616,1
617,2
618,3
618,4
619,5
619,6
619,7
619,12
619,13
620,8
620,9
620,10
621,11
621,14
622,15
623,3
623,4
624,5
624,6
624,7
625,8
625,9
625,10
626,10
627,11
627,14
628,15
629,4
630,6
630,7
630,13
631,6
632,13
633,7
634,9
634,10
635,10
636,14
637,1
637,2
638,3
638,4
639,5
639,6
639,7
639,8
639,9
639,10
639,12
639,13
640,8
640,9
640,10
641,11
641,14
641,15
642,15
643,1
643,2
644,1
645,2
646,3
646,4
647,5
647,6
647,7
647,12
647,13
648,8
648,9
648,10
649,11
649,14
650,15
651,4
652,6
652,7
652,13
653,6
654,13
655,7
656,9
656,10
657,10
658,14
659,1
659,2
660,3
660,4
661,5
661,6
661,7
661,8
661,9
661,10
661,12
661,13
662,8
662,9
662,10
663,11
663,14
663,15
664,15
665,1
665,2
666,1
667,2
668,3
668,4
669,5
669,6
669,7
669,12
669,13
670,5
670,6
670,12
670,13
671,7
672,8
672,9
672,10
673,11
673,14
674,15
675,4
676,6
676,7
676,13
677,6
678,13
679,7
680,9
680,10
681,10
682,14
683,1
683,2
684,3
684,4
685,5
685,6
685,7
685,8
685,9
685,10
685,12
685,13
686,8
686,9
686,10
687,10
688,11
688,14
688,15
689,15
690,1
690,2
691,1
692,2
693,3
693,4
694,5
694,6
694,7
694,12
694,13
695,8
695,9
695,10
696,11
696,14
697,15
698,3
698,4
699,5
699,6
699,7
700,8
700,9
700,10
701,10
702,11
702,14
703,15
704,4
705,6
705,7
705,13
706,6
707,13
708,7
709,9
709,10
710,10
711,14
712,1
712,2
713,3
713,4
714,5
714,6
714,7
714,8
714,9
714,10
714,12
714,13
715,8
715,9
715,10
716,11
716,14
716,15
717,15
718,1
718,2
719,1
720,2
721,3
721,4
722,5
722,6
722,7
722,12
722,13
723,8
723,9
723,10
724,11
724,14
725,15
726,4
727,6
727,7
727,13
728,6
729,13
730,7
731,9
731,10
732,10
733,14
734,1
734,2
735,3
735,4
736,5
736,6
736,7
736,8
736,9
736,10
736,12
736,13
737,8
737,9
737,10
738,11
738,14
738,15
739,15
740,1
740,2
741,1
742,2
743,3
743,4
744,5
744,6
744,7
744,12
744,13
745,5
745,6
745,12
745,13
746,7
747,8
747,9
747,10
748,11
748,14
749,15
750,4
751,6
751,7
