changed_in_generation_id,pokemon_id,stat_id,base_stat
2,1,9,65
2,1,4,0
2,1,5,0
2,2,9,80
2,2,4,0
2,2,5,0
2,3,9,100
2,3,4,0
2,3,5,0
2,4,9,50
2,4,4,0
2,4,5,0
2,5,9,65
2,5,4,0
2,5,5,0
2,6,9,85
2,6,4,0
2,6,5,0
2,7,9,50
2,7,4,0
2,7,5,0
2,8,9,65
2,8,4,0
2,8,5,0
2,9,9,85
2,9,4,0
2,9,5,0
2,10,9,20
2,10,4,0
2,10,5,0
2,11,9,25
2,11,4,0
2,11,5,0
2,12,9,80
2,12,4,0
2,12,5,0
2,13,9,20
2,13,4,0
2,13,5,0
2,14,9,25
2,14,4,0
2,14,5,0
2,15,2,80
2,15,9,45
2,15,4,0
2,15,5,0
2,16,9,35
2,16,4,0
2,16,5,0
2,17,9,50
2,17,4,0
2,17,5,0
2,18,6,91
2,18,9,70
2,18,4,0
2,18,5,0
2,19,9,25
2,19,4,0
2,19,5,0
2,20,9,50
2,20,4,0
2,20,5,0
2,21,9,31
2,21,4,0
2,21,5,0
2,22,9,61
2,22,4,0
2,22,5,0
2,23,9,40
2,23,4,0
2,23,5,0
2,24,9,65
2,24,4,0
2,24,5,0
2,25,3,30
2,25,9,50
2,25,4,0
2,25,5,0
2,26,6,100
2,26,9,90
2,26,4,0
2,26,5,0
2,27,9,30
2,27,4,0
2,27,5,0
2,28,9,55
2,28,4,0
2,28,5,0
2,29,9,40
2,29,4,0
2,29,5,0
2,30,9,55
2,30,4,0
2,30,5,0
2,31,2,82
2,31,9,75
2,31,4,0
2,31,5,0
2,32,9,40
2,32,4,0
2,32,5,0
2,33,9,55
2,33,4,0
2,33,5,0
2,34,2,92
2,34,9,75
2,34,4,0
2,34,5,0
2,35,9,60
2,35,4,0
2,35,5,0
2,36,9,85
2,36,4,0
2,36,5,0
2,37,9,65
2,37,4,0
2,37,5,0
2,38,9,100
2,38,4,0
2,38,5,0
2,39,9,25
2,39,4,0
2,39,5,0
2,40,9,50
2,40,4,0
2,40,5,0
2,41,9,40
2,41,4,0
2,41,5,0
2,42,9,75
2,42,4,0
2,42,5,0
2,43,9,75
2,43,4,0
2,43,5,0
2,44,9,85
2,44,4,0
2,44,5,0
2,45,9,100
2,45,4,0
2,45,5,0
2,46,9,55
2,46,4,0
2,46,5,0
2,47,9,80
2,47,4,0
2,47,5,0
2,48,9,40
2,48,4,0
2,48,5,0
2,49,9,90
2,49,4,0
2,49,5,0
2,50,9,45
2,50,4,0
2,50,5,0
2,51,9,70
2,51,4,0
2,51,5,0
2,52,9,40
2,52,4,0
2,52,5,0
2,53,9,65
2,53,4,0
2,53,5,0
2,54,9,50
2,54,4,0
2,54,5,0
2,55,9,80
2,55,4,0
2,55,5,0
2,56,9,35
2,56,4,0
2,56,5,0
2,57,9,60
2,57,4,0
2,57,5,0
2,58,9,50
2,58,4,0
2,58,5,0
2,59,9,80
2,59,4,0
2,59,5,0
2,60,9,40
2,60,4,0
2,60,5,0
2,61,9,50
2,61,4,0
2,61,5,0
2,62,2,85
2,62,9,70
2,62,4,0
2,62,5,0
2,63,9,105
2,63,4,0
2,63,5,0
2,64,9,120
2,64,4,0
2,64,5,0
2,65,9,135
2,65,4,0
2,65,5,0
2,66,9,35
2,66,4,0
2,66,5,0
2,67,9,50
2,67,4,0
2,67,5,0
2,68,9,65
2,68,4,0
2,68,5,0
