pokemon_id,type_id,slot,first_generation_id,last_generation_id
1,12,1,1,
1,4,2,1,
2,12,1,1,
2,4,2,1,
3,12,1,1,
3,4,2,1,
4,10,1,1,
5,10,1,1,
6,10,1,1,
6,3,2,1,
7,11,1,1,
8,11,1,1,
9,11,1,1,
10,7,1,1,
11,7,1,1,
12,7,1,1,
12,3,2,1,
13,7,1,1,
13,4,2,1,
14,7,1,1,
14,4,2,1,
15,7,1,1,
15,4,2,1,
16,1,1,1,
16,3,2,1,
17,1,1,1,
17,3,2,1,
18,1,1,1,
18,3,2,1,
19,1,1,1,
20,1,1,1,
21,1,1,1,
21,3,2,1,
22,1,1,1,
22,3,2,1,
23,4,1,1,
24,4,1,1,
25,13,1,1,
26,13,1,1,
27,5,1,1,
28,5,1,1,
29,4,1,1,
30,4,1,1,
31,4,1,1,
31,5,2,1,
32,4,1,1,
33,4,1,1,
34,4,1,1,
34,5,2,1,
35,18,1,6,
35,1,1,1,5
36,18,1,6,
36,1,1,1,5
37,10,1,1,
38,10,1,1,
39,1,1,1,
39,18,2,6,
40,1,1,1,
40,18,2,6,
41,4,1,1,
41,3,2,1,
42,4,1,1,
42,3,2,1,
43,12,1,1,
43,4,2,1,
44,12,1,1,
44,4,2,1,
45,12,1,1,
45,4,2,1,
46,7,1,1,
46,12,2,1,
47,7,1,1,
47,12,2,1,
48,7,1,1,
48,4,2,1,
49,7,1,1,
49,4,2,1,
50,5,1,1,
51,5,1,1,
52,1,1,1,
53,1,1,1,
54,11,1,1,
55,11,1,1,
56,2,1,1,
57,2,1,1,
58,10,1,1,
59,10,1,1,
60,11,1,1,
61,11,1,1,
62,11,1,1,
62,2,2,1,
63,14,1,1,
64,14,1,1,
65,14,1,1,
66,2,1,1,
67,2,1,1,
68,2,1,1,
69,12,1,1,
69,4,2,1,
70,12,1,1,
70,4,2,1,
71,12,1,1,
71,4,2,1,
72,11,1,1,
72,4,2,1,
73,11,1,1,
73,4,2,1,
74,6,1,1,
74,5,2,1,
75,6,1,1,
75,5,2,1,
76,6,1,1,
76,5,2,1,
77,10,1,1,
78,10,1,1,
79,11,1,1,
79,14,2,1,
80,11,1,1,
80,14,2,1,
81,13,1,1,
81,9,2,2,
82,13,1,1,
82,9,2,2,
83,1,1,1,
83,3,2,1,
84,1,1,1,
84,3,2,1,
85,1,1,1,
85,3,2,1,
86,11,1,1,
87,11,1,1,
87,15,2,1,
88,4,1,1,
89,4,1,1,
90,11,1,1,
91,11,1,1,
91,15,2,1,
92,8,1,1,
92,4,2,1,
93,8,1,1,
93,4,2,1,
94,8,1,1,
94,4,2,1,
95,6,1,1,
95,5,2,1,
96,14,1,1,
97,14,1,1,
98,11,1,1,
99,11,1,1,
100,13,1,1,
101,13,1,1,
102,12,1,1,
102,14,2,1,
103,12,1,1,
103,14,2,1,
104,5,1,1,
105,5,1,1,
106,2,1,1,
107,2,1,1,
108,1,1,1,
109,4,1,1,
110,4,1,1,
111,5,1,1,
111,6,2,1,
112,5,1,1,
112,6,2,1,
113,1,1,1,
114,12,1,1,
115,1,1,1,
116,11,1,1,
117,11,1,1,
118,11,1,1,
119,11,1,1,
120,11,1,1,
121,11,1,1,
121,14,2,1,
122,14,1,1,
122,18,2,6,
123,7,1,1,
123,3,2,1,
124,15,1,1,
124,14,2,1,
125,13,1,1,
126,10,1,1,
127,7,1,1,
128,1,1,1,
129,11,1,1,
130,11,1,1,
130,3,2,1,
131,11,1,1,
131,15,2,1,
132,1,1,1,
133,1,1,1,
134,11,1,1,
135,13,1,1,
136,10,1,1,
137,1,1,1,
138,6,1,1,
138,11,2,1,
139,6,1,1,
139,11,2,1,
140,6,1,1,
140,11,2,1,
141,6,1,1,
141,11,2,1,
142,6,1,1,
142,3,2,1,
143,1,1,1,
144,15,1,1,
144,3,2,1,
145,13,1,1,
145,3,2,1,
146,10,1,1,
146,3,2,1,
147,16,1,1,
148,16,1,1,
149,16,1,1,
149,3,2,1,
150,14,1,1,
151,14,1,1,
152,12,1,2,
153,12,1,2,
154,12,1,2,
155,10,1,2,
156,10,1,2,
157,10,1,2,
158,11,1,2,
159,11,1,2,
160,11,1,2,
161,1,1,2,
162,1,1,2,
163,1,1,2,
163,3,2,2,
164,1,1,2,
164,3,2,2,
165,7,1,2,
165,3,2,2,
166,7,1,2,
166,3,2,2,
167,7,1,2,
167,4,2,2,
168,7,1,2,
168,4,2,2,
169,4,1,2,
169,3,2,2,
170,11,1,2,
170,13,2,2,
171,11,1,2,
171,13,2,2,
172,13,1,2,
173,1,1,2,5
173,18,1,6,
174,1,1,2,
174,18,2,6,
175,1,1,2,5
175,18,1,6,
176,1,1,2,5
176,18,1,6,
176,3,2,2,
177,14,1,2,
177,3,2,2,
178,14,1,2,
178,3,2,2,
179,13,1,2,
180,13,1,2,
181,13,1,2,
182,12,1,2,
183,11,1,2,
183,18,2,6,
184,11,1,2,
184,18,2,6,
185,6,1,2,
186,11,1,2,
187,12,1,2,
187,3,2,2,
188,12,1,2,
188,3,2,2,
189,12,1,2,
189,3,2,2,
190,1,1,2,
191,12,1,2,
192,12,1,2,
193,7,1,2,
193,3,2,2,
194,11,1,2,
194,5,2,2,
195,11,1,2,
195,5,2,2,
196,14,1,2,
197,17,1,2,
198,17,1,2,
198,3,2,2,
199,11,1,2,
199,14,2,2,
200,8,1,2,
201,14,1,2,
202,14,1,2,
203,1,1,2,
203,14,2,2,
204,7,1,2,
205,7,1,2,
205,9,2,2,
206,1,1,2,
207,5,1,2,
207,3,2,2,
208,9,1,2,
208,5,2,2,
209,18,1,6,
209,1,1,2,5
210,18,1,6,
210,1,1,2,5
211,11,1,2,
211,4,2,2,
212,7,1,2,
212,9,2,2,
213,7,1,2,
213,6,2,2,
214,7,1,2,
214,2,2,2,
215,17,1,2,
215,15,2,2,
216,1,1,2,
217,1,1,2,
218,10,1,2,
219,10,1,2,
219,6,2,2,
220,15,1,2,
220,5,2,2,
221,15,1,2,
221,5,2,2,
222,11,1,2,
222,6,2,2,
223,11,1,2,
224,11,1,2,
225,15,1,2,
225,3,2,2,
226,11,1,2,
226,3,2,2,
227,9,1,2,
227,3,2,2,
228,17,1,2,
228,10,2,2,
229,17,1,2,
229,10,2,2,
230,11,1,2,
230,16,2,2,
231,5,1,2,
232,5,1,2,
233,1,1,2,
234,1,1,2,
235,1,1,2,
236,2,1,2,
237,2,1,2,
238,15,1,2,
238,14,2,2,
239,13,1,2,
240,10,1,2,
241,1,1,2,
242,1,1,2,
243,13,1,2,
244,10,1,2,
245,11,1,2,
246,6,1,2,
246,5,2,2,
247,6,1,2,
247,5,2,2,
248,6,1,2,
248,17,2,2,
249,14,1,2,
249,3,2,2,
250,10,1,2,
250,3,2,2,
251,14,1,2,
251,12,2,2,
252,12,1,3,
253,12,1,3,
254,12,1,3,
255,10,1,3,
256,10,1,3,
256,2,2,3,
257,10,1,3,
257,2,2,3,
258,11,1,3,
259,11,1,3,
259,5,2,3,
260,11,1,3,
260,5,2,3,
261,17,1,3,
262,17,1,3,
263,1,1,3,
264,1,1,3,
265,7,1,3,
266,7,1,3,
267,7,1,3,
267,3,2,3,
268,7,1,3,
269,7,1,3,
269,4,2,3,
270,11,1,3,
270,12,2,3,
271,11,1,3,
271,12,2,3,
272,11,1,3,
272,12,2,3,
273,12,1,3,
274,12,1,3,
274,17,2,3,
275,12,1,3,
