region_id,local_language_id,name
1,1,カントーちほう
1,3,관동지방
1,4,關都地區
1,5,Kanto
1,6,Kanto
1,7,Kanto
1,8,Kanto
1,9,Kanto
1,11,カントー地方
1,12,关都地区
2,1,ジョウトちほう
2,3,성도지방
2,4,城都地區
2,5,Johto
2,6,Johto
2,7,Johto
2,8,Johto
2,9,Johto
2,11,ジョウト地方
2,12,城都地区
3,1,ホウエンちほう
3,3,호연지방
3,4,豐緣地區
3,5,Hoenn
3,6,Hoenn
3,7,Hoenn
3,8,Hoenn
3,9,Hoenn
3,11,ホウエン地方
3,12,丰缘地区
4,1,シンオウちほう
4,3,신오지방
4,4,神奧地區
4,5,Sinnoh
4,6,Sinnoh
4,7,Sinnoh
4,8,Sinnoh
4,9,Sinnoh
4,11,シンオウ地方
4,12,神奥地区
5,1,イッシュちほう
5,3,하나지방
5,4,合眾地區
5,5,Unys
5,6,Einall
5,7,Teselia
5,8,Unima
5,9,Unova
5,11,イッシュ地方
5,12,合众地区
6,1,カロスちほう
6,3,칼로스지방
6,4,卡洛斯地區
6,5,Kalos
6,6,Kalos
6,7,Kalos
6,8,Kalos
6,9,Kalos
6,11,カロス地方
6,12,卡洛斯地区
7,1,アローラちほう
7,3,알로라지방
7,4,阿羅拉地區
7,5,Alola
7,6,Alola
7,7,Alola
7,8,Alola
7,9,Alola
7,11,アローラ地方
7,12,阿罗拉地区
8,1,ガラルちほう
8,3,가라르지방
8,4,伽勒爾地區
8,5,Galar
8,6,Galar
8,7,Galar
8,8,Galar
8,9,Galar
8,11,ガラル地方
8,12,伽勒尔地区
