id,stat_id,gene_mod_5,text
1,1,0,Loves to eat
2,2,0,Proud of its power
3,3,0,Sturdy body
4,4,0,Highly curious
5,5,0,Strong willed
6,6,0,Likes to run
7,1,1,Often dozes off
8,2,1,Likes to thrash about
9,3,1,Capable of taking hits
10,4,1,Mischievous
11,5,1,Somewhat vain
12,6,1,Alert to sounds
13,1,2,Often scatters things
14,2,2,A little quick tempered
15,3,2,Highly persistent
16,4,2,Thoroughly cunning
17,5,2,Strongly defiant
18,6,2,Impetuous and silly
19,1,3,Scatters things often
20,2,3,Likes to fight
21,3,3,Good endurance
22,4,3,Often lost in thought
23,5,3,Hates to lose
24,6,3,Somewhat of a clown
25,1,4,Likes to relax
26,2,4,Quick tempered
27,3,4,Good perseverance
28,4,4,Very finicky
29,5,4,Somewhat stubborn
30,6,4,Quick to flee
