damage_type_id,target_type_id,damage_modifier,first_generation_id,last_generation_id
1,8,0,1,
1,6,50,1,
1,9,50,2,
2,8,0,1,
2,3,50,1,
2,4,50,1,
2,7,50,1,
2,14,50,1,
2,18,50,6,
2,1,200,1,
2,6,200,1,
2,9,200,2,
2,15,200,1,
2,17,200,2,
3,6,50,1,
3,9,50,2,
3,13,50,1,
3,2,200,1,
3,7,200,1,
3,12,200,1,
4,9,0,2,
4,4,50,1,
4,5,50,1,
4,6,50,1,
4,8,50,1,
4,7,200,1,1
4,12,200,1,
4,18,200,6,
5,3,0,1,
5,7,50,1,
5,12,50,1,
5,4,200,1,
5,6,200,1,
5,9,200,2,
5,10,200,1,
5,13,200,1,
6,2,50,1,
6,5,50,1,
6,9,50,2,
6,3,200,1,
6,7,200,1,
6,10,200,1,
6,15,200,1,
7,2,50,1,
7,3,50,1,
7,4,50,2,
7,8,50,1,
7,9,50,2,
7,10,50,1,
7,18,50,6,
7,4,200,1,1
7,12,200,1,
7,14,200,1,
7,17,200,2,
8,1,0,1,
8,14,0,1,1
8,9,50,2,5
8,17,50,2,
8,8,200,1,
8,14,200,2,
9,9,50,2,
9,10,50,2,
9,11,50,2,
9,13,50,2,
9,6,200,2,
9,15,200,2,
9,18,200,6,
10,6,50,1,
10,10,50,1,
10,11,50,1,
10,16,50,1,
10,7,200,1,
10,9,200,2,
10,12,200,1,
10,15,200,1,
11,11,50,1,
11,12,50,1,
11,16,50,1,
11,5,200,1,
11,6,200,1,
11,10,200,1,
12,3,50,1,
12,4,50,1,
12,7,50,1,
12,9,50,2,
12,10,50,1,
12,12,50,1,
12,16,50,1,
12,5,200,1,
12,6,200,1,
12,11,200,1,
13,5,0,1,
13,12,50,1,
13,13,50,1,
13,16,50,1,
13,3,200,1,
13,11,200,1,
14,17,0,2,
14,9,50,2,
14,14,50,1,
14,2,200,1,
14,4,200,1,
15,9,50,2,
15,10,50,2,
15,11,50,1,
15,15,50,1,
15,3,200,1,
15,5,200,1,
15,12,200,1,
15,16,200,1,
16,18,0,6,
16,9,50,2,
16,16,200,1,
17,2,50,2,
17,9,50,2,5
17,17,50,2,
17,18,50,6,
17,8,200,2,
17,14,200,2,
18,4,50,6,
18,9,50,6,
18,10,50,6,
18,2,200,6,
18,16,200,6,
18,17,200,6,
