id,identifier,generation_id,damage_class_id,color_code
1,normal,1,2,"#FFA8A878"
2,fighting,1,2,"#FF903028"
3,flying,1,2,"#FFA890F0"
4,poison,1,2,"#FFA040A0"
5,ground,1,2,"#FFE0C068"
6,rock,1,2,"#FFB8A038"
7,bug,1,2,"#FFA8B820"
8,ghost,1,2,"#FF705898"
9,steel,2,2,"#FFB8B8D0"
10,fire,1,3,"#FFF05030"
11,water,1,3,"#FF68A090"
12,grass,1,3,"#FF78C850"
13,electric,1,3,"#FFF8D030"
14,psychic,1,3,"#FFF85888"
15,ice,1,3,"#FF98D8D8"
16,dragon,1,3,"#FF7038F8"
17,dark,2,3,"#FF705848"
18,fairy,6,,"#FFF8A0E0"
10001,unknown,2,,"#FF68A090"
10002,shadow,3,,"#FF403246"
