version_id,local_language_id,name
1,1,赤
1,6,Rot
1,9,Red
2,1,緑
2,6,Blau
2,9,Blue
3,1,ピカチュウ
3,6,Gelb
3,9,Yellow
4,1,金
4,6,Gold
4,9,Gold
5,1,銀
5,6,Silber
5,9,Silver
6,1,クリスタル
6,6,Kristall
6,9,Crystal
7,1,ルビー
7,6,Rubin
7,9,Ruby
8,1,サファイア
8,6,Saphir
8,9,Sapphire
9,1,エメラルド
9,6,Smaragd
9,9,Emerald
10,1,ファイアレッド
10,6,Feuerrot
10,9,FireRed
11,1,リーフグリーン
11,6,Blattgrün
11,9,LeafGreen
12,1,ダイヤモンド
12,6,Diamant
12,9,Diamond
13,1,パール
13,6,Perl
13,9,Pearl
14,1,プラチナ
14,6,Platin
14,9,Platinum
15,1,ハートゴールド
15,6,HeartGold
15,9,HeartGold
16,1,ソウルシルバー
16,6,SoulSilver
16,9,SoulSilver
17,1,ブラック
17,6,Schwarz
17,9,Black
18,1,ホワイト
18,6,Weiß
18,9,White
19,1,コロシアム
19,6,Colosseum
19,9,Colosseum
20,1,XD
20,6,XD
20,9,XD
21,1,ブラック2
21,6,Schwarz 2
21,9,Black 2
22,1,ホワイト2
22,6,Weiß 2
22,9,White 2
23,1,X
23,6,X
23,9,X
24,1,Y
24,6,Y
24,9,Y
25,1,オメガルビー
25,6,Omega Rubin
25,9,Omega Ruby
26,1,アルファサファイア
26,6,Alpha Siphir
26,9,Alpha Sapphire
